회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)비츠로테크,042370,2018/06,3.65,5.2,-5.29,  전문 서비스업,2000/08/03,,141.33,100.22,29.1,12.43,56.77,1175.83,7.93,17.92,40.37,2.73,90.12,42.51,17.33,5.5,4.97,4.16,4.04,6.07,0.73,1.1,1.45,7.72,4.31,12.1,30.17,47.26,84.68,0.01,0,14.82,4.67,-80.76,0,117.53,55.47,-15.17,128.61,-42.15,9861.4,,542.86,63.79,0.96,2.41,1.48,1.83,,,,,,58509.27,,,,18.22,50.01,132.51,26.54,61.83,38.17,18.72
(주)비츠로테크,042370,2020/12,7.13,11.11,-1.72,  전문 서비스업,2000/08/03,,228.55,182.57,63.67,28.22,46.81,1523.66,13.07,18.4,19.06,3.98,73.14,50.18,20.91,10.81,9.01,8.6,8.56,12.64,0.79,1.17,1.49,7.53,4.62,16.62,21.96,48.45,79.03,0.01,0,11.49,14.63,10.76,825,-2.76,-1.95,29.05,2.71,-11.05,13760.13,,1487.94,68.12,1.11,2.07,1.69,2.17,,,,,,92692.56,,,,22.62,63.76,189.98,30.13,49.17,50.83,29.9
(주)비케이홀딩스,050090,2013/12,-1.56,-3.97,-1.68,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2004/06/29,,56.57,38.27,4.08,-16.29,134.1,158.07,45.47,0.88,0.4,5.64,184.42,21.22,14.52,4.12,-2.84,2.34,2.27,5.38,0.55,1.31,0.7,8.12,7.53,9.9,36.89,44.94,48.47,0.02,0.17,-7.1,-3.86,0,-32,-7.75,-7.27,-6.48,-4.66,25.31,1065.97,,43.91,42.72,0.94,1.18,2.6,3.83,,,,,,20241.67,,,,19.98,43.6,192.79,34.97,62.6,37.4,-8.13
(주)비케이홀딩스,050090,2014/12,-16.78,-43.41,-77.23,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2004/06/29,,69.34,65.97,1.39,-15.93,188.33,101.52,35.59,0.68,-0.92,4.39,184.46,36.02,17.44,8.47,-115.83,1.29,1.23,3.13,0.14,0.37,0.2,3.15,2.37,4.05,90.01,115.89,154,0.01,0.68,-20.41,-35.78,0,0,-53.15,-35.36,35.1,-79.7,-53.2,242.74,,20.55,34.68,0.2,0.38,0.52,0.62,,,,,,2007.42,,,,2.49,9.11,144.27,15.23,149,-49,-760.5
(주)비케이홀딩스,050090,2019/12,-5.05,-7.12,-12.96,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2004/06/29,,229.78,217.27,117.98,45.72,62.23,78.94,1.11,-0.44,999999999,23.75,30.91,80.94,15.43,-0.2,-15.11,0.62,-0.07,-0.09,0.33,0.47,1.57,5.95,17.1,39.38,9.27,61.32,21.35,0.01,0,31.94,-2.1,0,-29,-4.55,3.28,41.16,-19.21,0,187.93,,-0.37,61.64,0.33,4.52,0.42,0.46,,,,,,5154.04,,,,11.64,184.26,1066.04,39.67,89.37,10.63,-38.09
(주)비케이홀딩스,050090,2020/12,-9.88,-15.87,-22.19,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2004/06/29,,261.11,252.05,152.58,54.63,59.04,70.88,0.5,-88.68,999999999,4.32,18.23,88.54,9.68,-13.57,-43.43,-2.49,-3.09,-4.96,0.23,0.37,1.49,6.09,15.95,27.33,13.36,59.96,22.88,0.01,0,0.75,2.77,0,-57,-65.31,-39.41,10.21,-29.75,0,130.92,,-17.77,62.88,0.19,5.35,0.27,0.28,,,,,,175.62,,,,0.39,18.69,94.76,1.74,1827.9,-1727.9,-2500.12
(주)비트컴퓨터,032850,2011/12,5.17,8.96,-3.36,  출판업,1997/07/04,,211.48,211.13,57.27,20.8,74.16,388.33,23.89,999999999,999999999,0,105.44,39.46,21.85,12.42,8.69,8.21,7.4,12.81,0.6,1.03,0.95,567.49,3.45,9.25,39.48,0.64,105.89,0.01,0,11.4,10.05,-38.74,168,27.74,3.03,27.25,-50.46,5.71,1910.2,,237.29,57.42,1.11,2.18,1.6,1.61,,,,,,10829.57,,,,19.9,68.55,0,35.23,67.23,32.77,24.66
(주)비트컴퓨터,032850,2014/12,2.48,4.3,-1.99,  출판업,1997/07/04,,180.07,179.99,49.34,17.95,64.54,376.03,17.5,4.82,25.22,5.35,98.1,40.38,23.58,7.37,3.8,5.68,4.81,8.34,0.65,1.13,1.11,363.22,3.5,5.27,69.3,1,104.43,0.03,0,-6.11,4.19,0,80,-2.34,-3.68,-9.47,-95.23,92.51,2085.03,,153.58,60.78,0.99,2.33,1.59,1.59,,,,,,8338.73,,,,16.22,56.74,0,24.06,73.97,26.03,15.78
(주)비트컴퓨터,032850,2016/12,8.14,10.97,-6.73,  출판업,1997/07/04,,223.91,223.79,64.28,19.25,30.88,480.1,8.51,16.35,685.53,3.76,85.34,34.79,23.91,10.04,11.95,7.24,6.83,9.22,0.68,0.92,1.06,1089.22,9.61,15.15,24.09,0.34,37.99,0.07,0,4.4,11.1,-10.24,253,-12.71,8,-1.75,-81.43,-30.13,2093.5,,210.16,76.41,1.33,2.1,1.9,1.9,,,,,,13314.48,,,,25.49,86.29,0,38.26,56.8,43.2,31.25
(주)비트컴퓨터,032850,2017/12,6.77,8.71,-8.32,  출판업,1997/07/04,,211.71,211.32,69.87,18.7,26.56,509.91,4.97,30.8,999999999,3.97,81.7,35.45,27.44,13.62,11.23,8.58,8.21,10.57,0.6,0.78,0.93,1406.84,7.78,16.89,21.62,0.26,46.93,0.04,0,2.7,6.21,-13.88,218,0.55,1.67,4.64,253.26,24.42,1919.3,,261.49,79.02,1.18,2.06,1.72,1.72,,,,,,13157.53,,,,24.53,84.81,0,41.24,59.96,40.04,27.23
