회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)바른전자,064520,2019/12,-16.7,-47.7,-57.54,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2002/12/04,,129.72,117.45,111.3,13.19,102.08,148.35,39.53,-9.47,-8.27,4.02,85.73,57.58,-13.74,-37.39,-32.75,-18.9,-19.07,-55.46,0.51,1.48,1.13,4.32,7.25,9.05,40.31,84.58,50.33,0.01,0.4,-1.52,148.92,0,0,-5.4,-13.2,9.32,-70.36,0,1066.62,,-398.8,49.48,0.44,1.19,0.93,1.19,,,,,,-277.07,,,,-0.36,-0.86,-11.26,-0.7,0,0,0
(주)바른전자,064520,2020/12,-29.54,-49.8,-41.77,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2002/12/04,,224.1,153.52,44.81,22.37,29.19,87.63,7.2,-28.06,-101.47,1.13,77.01,40.39,-1.04,-23.06,-76.15,-8.88,-8.94,-15.08,0.39,0.65,0.8,4.84,5.16,13.26,27.52,75.34,70.76,0.01,0,-45.71,-15.08,0,-269,-26.45,-23.72,-61.92,26.87,0,353.87,,-81.6,77.4,0.45,0.82,0.75,0.89,,,,,,-9718.2,,,,-23.3,-41.46,-864.39,-42.28,0,0,0
(주)바이넥스,053030,2012/12,-5.4,-8.28,0,  의료용 물질 및 의약품 제조업,2001/08/07,,139.97,116.6,47.76,10.96,56.48,752.9,28.95,0.07,-2.85,6.55,96.44,38.37,46.76,0.36,-14.08,0.63,0.14,0.21,0.38,0.6,0.62,5.98,4.61,34.95,10.44,60.99,79.13,0.01,0,0,0,0,-346,0,0,0,0,0,2464.81,,8.77,63.91,0.58,1.82,1,1.2,,,,,,11052.47,,,,7.69,36.85,112.61,20.05,116.66,-16.66,-70.23
(주)바이넥스,053030,2013/12,-3.15,-4.36,3.93,  의료용 물질 및 의약품 제조업,2001/08/07,,201.65,157.48,60.42,15.7,25.47,753.13,13.54,-3.9,-4.34,5.29,86.4,31.14,32.62,-10.47,-7.3,-4.12,-4.51,-6.34,0.43,0.61,0.66,6.53,4.78,35.78,10.2,55.9,76.3,0.01,0,-14.97,7.57,0,-170,0.8,-5.01,-30.98,-9.47,0,2353.35,,-246.51,79.7,0.76,1.89,1.23,1.51,,,,,,15464.27,,,,12.65,51.13,146.58,26.99,90.08,9.92,-27.06
(주)바이넥스,053030,2016/12,-1.66,-2.14,0,  의료용 물질 및 의약품 제조업,2001/08/07,,191.87,154.18,25.64,13.09,24.92,898.13,15.05,-0.99,-1.51,6.98,90.75,27.35,36.88,-2.24,-3.58,-0.78,-1.04,-1.29,0.46,0.58,0.64,8.63,4.72,52.66,6.93,42.29,77.36,0.01,0,0,0,0,-98,0,0,0,0,0,2623.4,,-58.66,80.05,1.11,0.87,1.7,2.11,,,,,,24627.54,,,,13.91,26.23,57.2,29.99,75.78,24.22,-11.95
(주)바이넥스,053030,2017/12,-6.68,-8.35,-4.97,  의료용 물질 및 의약품 제조업,2001/08/07,,175.88,141.37,36.72,13.91,26.06,831.18,15.36,-3.9,-6.78,7.38,85.42,32.24,36.4,-9.67,-14.76,-4.13,-4.38,-5.49,0.45,0.57,0.64,7.75,4.83,45.97,7.94,47.08,75.5,0.01,0,-5.27,-7.42,0,-367,-2.98,-11.65,11.68,11.55,0,2492.34,,-241.07,79.33,0.98,0.84,1.52,1.89,,,,,,17411.38,,,,10.38,19.11,42.79,22.31,107.29,-7.29,-66.16
(주)바이브컴퍼니,301300,2020/12,-4.36,-8.09,0,  출판업,2020/10/28,,168.15,165.39,136.25,21.25,78.58,1178.8,26.79,-10.8,-11.34,1.96,84.96,52.42,33.54,-13.11,-10.06,-5.57,-5.68,-10.15,0.43,0.77,0.91,50.38,25.6,7.54,48.39,7.25,14.26,0,0.01,0,0,0,-531,0,0,0,0,0,4740.52,,-621.65,56,0.52,1.62,0.83,0.84,,,,,,12989.91,,,,22.02,90.06,0,50.8,109.11,-9.11,-19.81
(주)바이오니아,064550,2010/12,-3.05,-4.74,0,  의료용 물질 및 의약품 제조업,2005/12/29,,244.54,143.17,46.7,20.55,55.07,707.84,25.57,-0.5,-0.74,7.35,101.14,34.78,51.06,-2.97,-9.58,-0.82,-0.95,-1.47,0.32,0.49,0.49,2.21,3.16,88.08,4.14,165.01,115.62,0,0,0,0,0,-175,0,0,0,0,0,1749.93,,-52.03,64.49,0.65,0.76,0.92,1.57,,,,,,9371.63,,,,14.25,35.17,102.82,44.69,67.7,32.3,-21.43
(주)바이오니아,064550,2011/12,-8.25,-14.03,8.56,  의료용 물질 및 의약품 제조업,2005/12/29,,208.3,132.14,33.02,20.26,86.66,603.56,34.76,-3.43,-3.8,6.63,113.92,38.97,50.36,-20.65,-24.73,-6.6,-6.89,-11.72,0.33,0.57,0.53,2.33,2.62,32.71,11.16,156.69,139.06,0,0,7.4,-10.78,0,-463,-3.9,0.49,20.36,6.17,0,1815.51,,-374.97,53.57,0.62,0.84,0.9,1.48,,,,,,6520.6,,,,9.23,24.69,84.68,28.64,112.58,-12.58,-86.32
(주)바이오니아,064550,2012/12,-11.56,-23.16,-9.8,  의료용 물질 및 의약품 제조업,2005/12/29,,100.14,62.77,6.75,0.05,116.82,501.21,40.53,-2.45,-3.73,6.79,135.72,37.41,55.92,-21.17,-39.07,-6.16,-6.27,-12.55,0.3,0.59,0.48,2.1,1.81,14.85,24.58,173.98,201.17,0,0,-3.54,-16.96,0,-640,-9.33,-1.07,-7.42,-5.52,0,1637.61,,-346.7,46.12,0.45,0.82,0.77,1.23,,,,,,4297.13,,,,6.31,17.94,71.05,20.93,158.71,-58.71,-186.69
(주)바이오니아,064550,2013/12,-10.36,-23.47,16.41,  의료용 물질 및 의약품 제조업,2005/12/29,,85,59.44,6.44,-7.36,136.77,454.24,42.53,-1.5,-2.02,8.46,138.01,41.71,60.9,-15.25,-29.92,-5.2,-5.28,-11.96,0.35,0.78,0.57,2.62,1.71,11.77,31.01,139.57,213.9,0,0,2.65,-6,0,-565,-9.67,-4.41,14.45,-7.77,0,1838.08,,-280.4,42.24,0.42,1.05,0.87,1.31,,,,,,6362.65,,,,9.1,29.41,141.69,26.62,115.9,-15.9,-112.41
(주)바이오니아,064550,2014/12,-19.75,-45.39,-25.31,  의료용 물질 및 의약품 제조업,2005/12/29,,86.18,55.75,7.63,-6.41,123.03,431.05,39.16,-3.26,-4.28,9.44,133.9,39.97,58.42,-48.4,-75.95,-12.47,-12.59,-28.93,0.26,0.6,0.44,1.95,1.23,9.13,39.96,186.83,295.6,0,0,-3.68,2.25,0,-992,-6.96,-0.8,-7.71,8.38,0,1299.64,,-628.98,44.84,0.29,0.86,0.64,0.94,,,,,,478.47,,,,0.71,2.38,13.22,2.68,1796.41,-1696.41,-2833.89
(주)바이오니아,064550,2015/12,-7.71,-16.6,16.69,  의료용 물질 및 의약품 제조업,2005/12/29,,104.53,74.27,26.74,1.94,108.46,450.24,35.75,-1.6,-1.38,8.77,115.2,44.74,60.73,-17.53,-25.79,-5.2,-5.24,-11.28,0.3,0.64,0.52,2.21,1.67,14.45,25.26,164.92,219.18,0,0,6.87,14.34,0,-374,-6.29,-1.63,19.63,-1.96,0,1449.53,,-254.05,47.97,0.34,1.07,0.7,1.03,,,,,,7355.41,,,,10.22,39,272.5,35.31,101.94,-1.94,-73.04
(주)바이오니아,064550,2016/12,-21.25,-47.55,4.18,  의료용 물질 및 의약품 제조업,2005/12/29,,88.45,58.34,11.12,-4.73,143.96,323.91,39.07,-6.55,-6.78,7.27,155.61,36.21,53.17,-55.52,-66.44,-17.71,-17.76,-39.74,0.32,0.72,0.54,2.53,2.17,12,30.41,144.4,167.88,0,0,-11.5,-24.37,0,-928,4.73,2.16,-28.36,-15.76,0,1389.64,,-771.48,40.99,0.39,1.12,0.79,1.14,,,,,,635.03,,,,1,3.21,25.74,2.93,1363.89,-1263.89,-2270.59
(주)바이오니아,064550,2017/12,-16.24,-37.33,7.21,  의료용 물질 및 의약품 제조업,2005/12/29,,134.18,90.08,21.58,11.77,116.22,263.24,32.17,-5.88,-9.11,4.92,116.36,46.19,58.52,-27.2,-42.73,-10.16,-10.34,-23.77,0.38,0.87,0.64,2.78,3.26,12.48,29.24,131.48,111.88,0,0,-7.87,3.95,0,-539,-1.43,-22.28,17.5,13.48,0,1263.33,,-343.68,46.25,0.48,1.19,0.93,1.39,,,,,,4205.61,,,,7.17,21.61,170.46,18.07,222.92,-122.92,-236.38
