회사명,거래소코드,회계년도,감사의견코드(IFRS),감사의견(IFRS),기수(IFRS),소속코드,업종코드,회계년월,산업명,산업코드,산업명.1,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),year,month
(주)아이디에스,78780,2013/12,UQ,,15.0,4,1,2015/12,    전자부품 제조업,32602,    전자부품 제조업,    전자부품 제조업,2005/11/29,20160428.0,54.57,45.91,8.17,-31.95,277.46,270.97,48.54,-4.19,-5.81,6.36,232.61,38.37,0.35,-4.75,-7.9,-11.27,-11.52,-19.15,-56.44,-33.94,2.42,7.14,4.14,30.9,14.26,14.02,26.03,11.81,25.59,0.09,0.03,11.1,-14.48,-43.76,0.0,-1217.0,0.48,-5.76,-25.54,-44.3,0.0,13443.88,,-638.82,26.49,2.36,4.73,5.85,7.21,,,,,,25825.4,,,,26.63,48.46,155.58,10.13,132.82,-32.82,2013,12
(주)아이디에스,78780,2014/12,UQ,,16.0,4,1,2015/12,    전자부품 제조업,32602,    전자부품 제조업,    전자부품 제조업,2005/11/29,20160428.0,24.37,22.25,8.96,-65.32,1041.18,44.52,75.3,-5.43,-9.06,5.7,901.01,21.05,-1.24,-11.48,-21.73,-18.0,-18.23,-34.52,-175.79,-92.84,1.59,8.09,2.33,35.78,11.05,13.24,27.57,10.2,33.03,0.06,0.03,-50.74,-36.99,-79.16,0.0,-1583.0,-12.26,-19.28,-65.45,-81.08,0.0,6395.63,,-733.97,8.76,1.47,2.48,5.02,5.83,,,,,,8649.23,,,,14.16,18.33,98.43,6.89,300.32,-200.32,2014,12
(주)아이디에스,78780,2015/12,DU,"영업손실이 3,955백만원, 당기순손실이 7,903백만원 발생, 유동부채가 유동자산을 42,273백만원 초과하는 상황등은 회사의 계속기업으로서의 존속능력에 유의적인 의문을 제기함.",17.0,4,1,2015/12,    전자부품 제조업,32602,    전자부품 제조업,    전자부품 제조업,2005/11/29,20160428.0,50.8,50.1,16.99,-40.62,541.21,306.93,68.29,-1.1,1.41,7.48,372.31,41.94,10.11,-12.03,-24.05,-5.7,-5.89,-11.76,-94.18,-47.12,0.49,3.92,0.72,42.75,6.9,7.77,46.99,8.54,52.91,0.07,0.02,-73.83,19.97,113.52,0.0,-1061.0,-12.14,-11.77,139.06,-62.29,0.0,2233.93,,-268.83,15.6,0.42,0.74,1.51,1.56,,,,,,23659.97,,,,32.28,56.84,475.89,72.0,65.21,34.79,2015,12
(주)아이엘사이언스,122050,2018/12,,,,4,1,2018/12,    전구 및 조명장치 제조업,32804,    전구 및 조명장치 제조업,    전구 및 조명장치 제조업,2018/11/16,20191227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,12
(주)아이팩토리,53810,2011/12,UQ,,22.0,4,1,2015/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2002/07/19,20160919.0,28.41,26.22,1.23,-43.01,342.79,162.88,61.26,-1.1,-1.07,8.22,367.21,17.07,14.38,-7.92,-17.07,-4.82,-4.93,-10.64,-43.43,-19.8,0.62,2.5,0.8,52.61,7.02,7.04,51.85,6.94,51.96,0.14,0.02,-37.95,-9.23,-21.84,0.0,-426.0,-1.83,2.58,-41.78,12.44,0.0,2360.96,,-186.92,22.58,0.79,1.04,2.82,2.98,,,,,,9627.11,,,,10.67,17.14,433.47,16.29,124.63,-24.63,2011,12
(주)아이팩토리,53810,2012/12,UQ,,23.0,4,1,2015/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2002/07/19,20160919.0,16.5,15.58,0.66,-64.73,2292.64,117.66,74.05,-1.42,-3.31,7.69,2086.62,12.79,1.08,-25.24,-81.86,-7.13,-7.29,-23.65,-164.57,-50.74,0.29,2.01,0.34,27.53,8.85,6.74,54.16,13.26,41.22,3.12,0.03,-60.15,-19.37,-85.08,0.0,-3794.0,-7.34,-15.21,-39.58,-56.14,0.0,920.43,,-232.33,4.18,0.35,0.44,1.91,2.05,,,,,,-3379.28,,,,-4.64,-6.49,-159.71,-14.35,0.0,0.0,2012,12
(주)아이팩토리,53810,2013/12,UQ,,24.0,4,1,2015/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2002/07/19,20160919.0,36.71,36.5,4.76,-42.28,419.49,169.11,50.51,-0.24,-0.69,9.67,392.08,24.53,14.73,-3.08,-20.13,-1.32,-1.44,-9.43,-77.51,-11.85,0.47,3.85,0.58,113.87,14.17,5.48,66.55,3.21,25.76,0.0,0.01,53.81,12.58,418.52,0.0,-965.0,-2.79,-2.57,115.88,-78.04,0.0,4603.1,,-141.68,19.25,0.52,0.71,2.46,2.52,,,,,,3868.99,,,,4.72,7.65,268.81,10.68,138.33,-38.33,2013,12
(주)아이팩토리,53810,2014/12,UQ,,25.0,4,1,2015/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2002/07/19,20160919.0,27.19,24.29,0.36,-52.48,482.51,59.27,56.5,-2.43,-3.29,7.96,468.34,19.6,-10.22,-57.62,-101.19,-10.3,-10.37,-18.21,-103.06,-56.97,0.18,0.99,0.23,16.04,2.92,1.81,201.43,22.76,125.1,0.0,0.06,-58.95,1.73,-14.86,0.0,-474.0,9.86,8.38,-18.7,1418.86,0.0,335.35,,-193.24,17.17,0.2,0.28,0.82,0.86,,,,,,-5308.41,,,,-6.37,-9.63,-471.85,-35.7,0.0,0.0,2014,12
(주)아이팩토리,53810,2015/12,DS,"일부자산관련 등 감사증거 미확보 및 수익인식 미충족 매출 2,199백만원을 계상, 과거 대표이사로부터 당기중 환수한 800백만원을 판매비와관리비의 차감항목으로 계상, 퇴직급여는 142백만원 과소계상 함.",26.0,4,1,2015/12,    특수 목적용 기계 제조업,32902,    특수 목적용 기계 제조업,    특수 목적용 기계 제조업,2002/07/19,20160919.0,223.93,221.48,12.1,23.14,149.57,570.67,46.16,1.61,2.18,3.54,145.24,41.8,32.49,17.66,-47.63,3.02,3.01,-8.12,-33.16,11.96,0.17,0.68,0.23,11.23,1.32,2.54,143.64,32.51,276.23,0.01,0.1,-26.61,-46.35,33.45,0.0,-103.0,-62.37,-61.17,14.44,-88.28,0.0,215.23,,38.0,40.07,0.21,0.29,0.62,0.66,,,,,,4311.89,,,,9.64,20.61,615.18,39.51,18.99,81.01,2015,12
(주)아인스엠앤엠,40740,2011/12,,,,4,1,2011/12,    기타 생활용품 소매업,74705,    기타 생활용품 소매업,    기타 생활용품 소매업,2004/01/28,20120501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,12
