회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율(IFRS),[제조]총자본증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]유형자산증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]재고자산증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본사업이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]1주당순이익(IFRS),[제조]1주당매출액(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]비유동자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]매입채무회전률(IFRS),[제조]매입채무회전기간(IFRS),[제조]재고자산회전기간(IFRS),[제조]매출채권회전기간(IFRS),[제조]1회전기간(IFRS),[제조]운전자본회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]순운전자본비율(IFRS),[제조]부채비율(IFRS),[제조]자기자본배율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]비유동비율(IFRS),[제조]유동자산구성비율(IFRS),[제조]자기자본구성비율(IFRS),[제조]부가가치(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자본분배율(IFRS),[제조]이윤분배율(IFRS)
(주)가비아,079940,2011/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,29.64,8.47,12.83,5.39,31.49,15.03,-7.53,0,38.56,9.65,11.42,9.1,14.24,267,2653.4,0.94,1.47,1.29,4677.21,16.38,76.27,4.79,0.08,22.28,0.06,0,1.78,5.36,3.51,3.51,77.35,77.23,23.26,-7.26,53.49,381.58,10.88,115.44,24.79,65.15,15017.54,40.27,209.64,54730.65,44.44,54.56,45.44,21.72
(주)가비아,079940,2012/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,13.88,38.88,28.26,75.88,231.54,50.38,3.97,539.85,38.95,14.91,15.16,12.88,20.69,450,2885.67,0.86,1.39,1.1,719.91,19.52,25.97,14.05,0.51,18.7,0.19,0,1.85,2.49,4.08,4.1,89.64,88.78,26.07,-2.14,66.2,467.4,6.25,135.35,18.56,60.17,17319.4,33.44,72.93,892.2,45.01,58.37,41.63,33.13
(주)가비아,079940,2013/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,5.26,0.69,11.74,-34,-4.28,-0.93,7.77,-12.35,39.37,9.35,11.03,7.29,11.48,295,3037.54,0.78,1.23,0.96,466.95,20.62,21.11,17.29,0.78,17.7,0.84,0,1.92,1.74,4.06,4.09,89.4,88.7,45.75,-2.36,49.76,522.25,7.48,120.01,19.87,66.77,16859.32,32.33,74.16,985.89,41.62,60.47,39.53,22.46
(주)가비아,079940,2014/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,8.39,7.35,9.55,-18.75,-1.85,-1.73,43.97,0,38.79,7.01,6.82,5.69,8.43,237,3254.48,0.81,1.2,1.06,1083.59,19.63,24.14,15.12,0.34,18.59,0.26,0,1.76,1.95,3.47,3.49,113.33,113.33,40.72,3.13,46.76,563.66,11.16,107.66,26.64,68.14,19430.85,34.71,87.08,1383.8,44.26,60.64,39.36,15.84
(주)가비아,079940,2015/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,10.34,2.99,11.33,39.37,-0.46,-2.06,16.9,0,40.54,8.85,8.38,7.55,10.64,329,3579.2,0.85,1.2,1.19,0,20.22,25.05,14.57,0,18.05,0.29,0,1.76,2.18,2.99,2.99,180,180,106.22,13.44,35.76,627.53,28.34,94.7,30.24,73.66,22440.14,38.92,101.03,2059.48,46.32,59.1,40.9,19.11
(주)가비아,079940,2016/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,2.03,6.08,6.93,-17.36,0.99,21.64,-29.82,0,41.73,7.17,7.09,5.97,8.07,272,3651.87,0.83,1.12,1.11,0,21.28,32.18,11.34,0,17.15,0.17,0,1.99,2.21,3.33,3.33,119.42,119.42,82.77,3.25,34.68,671.02,33.33,107.73,20.01,74.25,23132.9,37.82,103.13,2982.25,46.8,64.77,35.23,15.32
(주)가비아,079940,2017/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,5.94,6.25,4.95,-29.64,-0.3,1.93,23.53,0,41.64,4.76,5.41,3.95,5.36,191,3868.71,0.83,1.13,1.06,0,20.11,26.25,13.9,0,18.15,0.24,0,1.91,2.34,3.83,3.83,87.26,87.26,57.66,-3.4,36.35,704.26,27.12,104.63,23.26,73.34,22812.97,35.1,104.04,4454.57,43.56,69.12,30.88,10.93
(주)가비아,079940,2018/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,5.41,6.66,4.55,10.79,9.23,2.12,21.65,0,42.65,5.01,6.78,4.11,5.67,212,4077.94,0.82,1.13,1.1,0,19.93,26.38,13.84,0,18.31,0.22,0,1.6,2.36,3.29,3.29,101.65,101.65,64.26,0.43,39.1,736.32,25.87,102.2,26.53,71.89,24805.77,35.79,109.34,5610.41,44.94,69.53,30.47,11.14
(주)가비아,079940,2019/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,5.54,19.69,8.53,68.48,62.64,36.2,-26.03,0,40.72,7.99,7.53,6.11,8.96,357,4303.74,0.77,1.12,0.97,0,20.09,30.42,12,0,18.16,0.16,0,1.66,1.82,3.64,3.64,67.14,67.14,46.45,-8.02,53.4,799.13,19.48,128.25,16.4,65.19,29591.96,35.67,98.87,12337.08,50.8,60.86,39.14,15.73
(주)가비아,079940,2020/12,2005/10/19,,    소프트웨어 개발 및 공급업,5,10.03,18.22,7.91,2.22,16.81,12.04,49.74,0,42.54,7.42,8.93,5.26,8.46,365,4735.41,0.71,1.14,0.87,0,20.87,26.5,13.77,0,17.49,0.27,0,1.61,1.49,3.77,3.77,80.56,80.56,45.21,-5.01,68.07,862.31,36.98,133.16,20.77,59.5,31230.15,31.84,67.56,12607.34,48.72,61.23,38.77,15.24
(주)강스템바이오텍,217730,2015/12,2015/12/21,,    자연과학 및 공학 연구개발업,5,0,0,0,0,0,0,0,0,82.97,-387.59,-20.03,-23.03,-27.09,-586,107.45,0.06,0.07,0.24,4.43,4.97,11.87,30.76,82.34,73.47,0.01,0,0.07,0.5,0.08,0.08,637.19,625.9,211.66,63.77,17.64,307.4,-5.41,28.66,75.64,85.01,-2880.72,-11.53,-96.67,-571.4,-194.04,0,0,0
(주)강스템바이오텍,217730,2016/12,2015/12/21,,    자연과학 및 공학 연구개발업,5,-43.23,89.9,8.19,0,35.55,55.69,100.92,74.02,93.16,-984.85,-24.41,-22.92,-37.55,-593,60.18,0.02,0.04,0.11,1.84,3.59,4.2,86.86,198.72,101.55,0,0.81,0.03,0.24,0.03,0.03,1175.05,1157.01,59.67,73.22,106.48,323.31,-18.89,41.24,80.03,48.43,-5090.69,-10.73,-171.34,-1025.08,-604.02,0,0,0
(주)강스템바이오텍,217730,2017/12,2015/12/21,,    기초 의약물질 및 생물학적 제제 제조업,5,540.04,-6.18,7.36,0,208.99,113.1,-35.95,196.02,55.46,-201.25,-23.58,-23.61,-45.57,-745,375.68,0.12,0.23,0.36,4.67,31.39,7.12,51.28,78.09,11.63,0.03,0.03,0.16,0.65,0.17,0.18,607.77,564.65,82.11,45.64,80.43,303.58,-7.93,81.86,54.63,55.42,-2123.85,-4.77,-41.21,-360.23,-39.37,0,0,0
(주)강스템바이오텍,217730,2018/12,2015/12/21,,    기초 의약물질 및 생물학적 제제 제조업,5,-81.44,48.7,94.36,0,13.93,9.51,81.24,-70.9,72.37,-1348.69,-18.68,-24.39,-37.19,-737,60.41,0.02,0.03,0.05,0.9,1.67,1.36,267.93,406.04,218.45,0,0.83,0.02,0.07,0.03,0.03,319.31,315.67,16.89,45.73,38.04,460.46,-11.95,46.12,66.59,72.44,-5971.99,-9.02,-127.8,-1470.46,-596.58,0,0,0
