회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
(주)제낙스,065620,2011/12,42921809,46142236,12274958,23573427,24596133,27490511,23477299,25945793,19444510,20196442,18192261,13508800
(주)제낙스,065620,2012/12,44597788,44478805,12019968,20289314,20003935,20473865,24282775,23608264,20315013,20870541,21148298,13881239
(주)제낙스,065620,2013/12,59652757,51089368,13334258,19851095,16334038,16337083,47592601,39614549,12060155,11474819,31170008,22519826
(주)제낙스,065620,2014/12,54712113,45840219,13423974,18428223,10446198,10446198,49182307,40290876,5529805,5549343,23267745,14512077
(주)제낙스,065620,2015/12,62847996,53330851,12932127,17407037,11164914,10670914,58046264,48542340,4801732,4788511,36407619,26994021
(주)제낙스,065620,2016/12,65195202,56068106,12232512,16441125,6093917,6090922,61418951,52301240,3776251,3766866,39066471,29941262
(주)제낙스,065620,2017/12,80130894,71563136,11733270,15580933,6211178,6211178,69104320,60548872,11026574,11014263,59311207,50724107
(주)제낙스,065620,2018/12,36255223,27837817,7892364,11603214,5172001,5172001,32679195,24267862,3576028,3569955,17639281,9193683
(주)제낙스,065620,2019/12,30175267,24780625,10170301,12432705,3600677,3600677,25852826,20396853,4322441,4383771,6891954,1478757
(주)제낙스,065620,2020/12,15701947,,9753210,,2063809,,9831110,,5870838,,5252794,
(주)지유온,111820,2011/12,33352160,,206510,,24327502,,2758647,,30593513,,23066643,
(주)지유온,111820,2012/12,42336584,,194613,,65583291,,1290272,,41046312,,31779654,
(주)지유온,111820,2013/12,58194440,,226251,,66746457,,2199009,,55995431,,36305848,
(주)지유온,111820,2014/12,56948067,57508593,3055506,3055506,39454288,48751313,14181620,10588620,42766447,46919973,38750542,39280285
(주)지유온,111820,2015/12,60189762,60935307,2929268,2929268,39202426,43510726,15606167,10707658,44583596,50227650,50870313,51513055
(주)지유온,111820,2016/12,87427736,88003439,2956487,2957391,37960954,42415620,22556295,13209787,64871441,74793652,79675642,79857825
(주)지유온,111820,2017/12,88822863,90529008,2772996,2789912,25220002,27550274,25440240,14234375,63382624,76294633,82522482,81764648
(주)지유온,111820,2018/12,27281048,36130744,6308008,6379816,13449112,14165857,9591784,9542311,17689263,26588432,2903822,8980714
(주)지유온,111820,2019/12,25081604,,6180876,,4222230,,8135090,,16946514,,332207,
(주)지유온,111820,2020/12,30217041,,153460,,11118953,,7362924,,22854117,,14281673,
(주)코너스톤네트웍스,033110,2011/12,36613936,37123292,11310626,11537510,15699498,16514071,20281690,19434920,16332246,17688372,20906103,19658064
(주)코너스톤네트웍스,033110,2012/12,36696313,35593339,11264121,11398930,13808816,13825461,21873055,19994048,14823259,15599290,24548474,23427569
(주)코너스톤네트웍스,033110,2013/12,43048678,41371872,7433344,7943200,18990233,19201448,23212874,19005874,19835804,22365999,31644128,29751863
(주)코너스톤네트웍스,033110,2014/12,38696733,37270443,7322397,7693824,9604893,9686174,20298842,17042028,18397891,20228415,25691213,23799105
