회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장일,상장폐지일,소속코드,산업명
(주)코스온,069110,2021/12,-33.2,-29.9,-37.12,-27.58,-58.08,-78.36,0,-65.59,-2.12,-234.68,-8.29,-44.87,-136.39,-3129,1199.53,0.19,0.57,0.45,0.5,4.19,0,0.12,0.19,0.82,0.33,53.54,6.82,87.03,145.43,2.51,55.12,50.96,5.74,146.17,-36.29,556.47,-2.49,363.91,44.57,15.23,-54283.98,-40.98,-172.24,-1110.93,-171.68,0,0,0,2003/10/14,,6,    기타 화학제품 제조업
(주)코썬바이오,204990,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/12/09,,6,    기타 식품 제조업
(주)코썬바이오,204990,2017/12,0,0,0,0,0,0,0,0,49.47,-28.66,-1.51,-5.74,-6.44,-297,810.61,0.2,0.22,0.53,0.56,10.21,0,0,0.44,3.53,0.32,523.66,0.7,35.74,18.1,20.16,527.45,500.21,57.7,721.19,30.79,12.18,-1441.11,69.56,37.99,89.14,-128.16,-0.1,-1.82,-4.29,-0.5,0,0,0,2016/12/09,,6,    기타 식품 제조업
(주)코썬바이오,204990,2018/12,-48.83,-7.75,-49.34,-47.99,-4.67,-52.44,0,-62.82,33.87,-624.9,-24.78,-61.59,-70.79,-1891,301.38,0.1,0.11,0.26,0.28,3.89,0,0,0.21,1.36,0.16,1044.12,0.35,93.88,38.82,9.4,363.46,329.06,41.26,343.03,27.99,20.7,-230.74,74.1,38.61,82.85,-53299.96,-81.35,-794.46,-2170.59,-558.78,0,0,0,2016/12/09,,6,    기타 식품 제조업
(주)코썬바이오,204990,2019/12,-77.38,-8.11,-71.05,-83.9,-61.24,-90.99,0,-71.74,-108.06,-1859.15,-71.19,-125.28,-170.24,-1581,85.17,0.07,0.09,0.14,0.16,1.62,0,0,0.1,0.42,0.13,1893.16,0.19,224.98,117.23,3.11,60.11,49.32,6.04,30.48,-23.26,203.18,-104.45,196.93,35.05,32.98,-46397.81,-314.34,-752.6,-3752.24,-1721.3,0,0,0,2016/12/09,,6,    기타 식품 제조업
(주)코아시아,045970,2011/12,6.63,12.64,9.45,5.43,30.22,1.62,-87.58,4.93,0,0.76,2.93,0.76,1.01,75,17062.31,1.01,2.28,1.45,1.74,8.76,0.01,0.52,0.84,3.9,3.35,76.75,4.76,41.67,31.53,11.57,131.98,107.89,18.8,1487.85,16.81,129.77,1.18,70.31,69.4,43.52,4331.89,1.88,7.58,13.65,1.92,0,0,39.35,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2012/12,3.52,3.87,5.33,2.72,20.83,2.05,406.18,3.16,14.22,2.5,2.73,2.49,5.04,378,17600.86,0.99,2.3,1.44,1.79,7.23,0.01,0.48,0.82,3.72,3.22,70.58,5.17,50.45,35.31,10.34,133.67,104.98,18.42,1518.28,17.35,132.83,0.86,72.49,68.86,42.95,9363.67,3.93,15.76,28.25,4.02,0,0,62.22,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2013/12,14.49,23.15,20.79,11.65,82.34,-3.85,0,23.6,12.01,-1.03,0.86,-1.16,-4.7,-350,21754.06,1.13,2.84,1.66,2.32,5.79,0.01,0.4,0.92,4.05,3.51,52.53,6.95,63.06,35.77,10.21,117.09,76.04,15.34,1459.83,9.8,172.43,0.03,89.49,67.15,36.71,44121.52,16.18,57.1,101.52,15.34,83.56,16.44,-6.73,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2014/12,-11.25,5.41,6.24,-19.8,-22.36,-21.62,0,-10.93,9.2,-8.73,-5.95,-8.69,-27.16,-1768,19375.45,1,2.75,1.55,2.37,4.49,0.01,0.75,0.82,3.18,2.77,51.3,7.11,81.23,35.51,10.28,105.47,69.67,17.67,1144.27,3.15,181.16,-3.23,110.54,60.68,35.57,43315.09,17.9,53.01,94.75,16.91,106.7,-6.7,-51.65,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2015/12,45.31,53.25,95.2,12.99,-9.66,22.61,0,8.34,15.97,0.31,2.51,0.29,-1.38,-89,20991.7,0.94,2.62,1.77,2.55,5.85,0.01,0.25,0.89,2.65,1.98,48.09,7.59,62.38,38.58,9.46,96.16,70.07,33.41,1403,-1.89,178.73,0.76,147.21,47.19,35.88,72070.14,20.49,58.17,110.49,25.97,73.73,26.27,1.2,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2016/12,-7.44,-2.63,-4.41,-10.83,-16.99,3.46,0,42.69,15.82,-0.48,4.18,-0.56,-7.5,-492,24719.11,1.17,2.95,2.52,3.42,9.61,0.03,0.1,1.27,3.17,2.18,33.6,10.86,37.97,34.56,10.56,107.2,80.12,35.11,1197.93,3.05,128.15,1.68,124.44,45.46,43.83,88171.95,27.09,75,133.59,22.26,69.1,30.9,-2.15,2000/08/03,,5,    회사 본부 및 경영 컨설팅 서비스업
(주)코아시아,045970,2017/12,1.72,-3.19,-0.94,4.91,-7.82,13.56,0,7.12,16.91,0.48,5.29,0.62,3.86,237,25020.87,1.29,2.89,2.8,3.67,11.81,0.03,0.09,1.5,3.49,2.4,32.16,11.35,30.9,29,12.59,124.15,96.59,45.03,1156.81,9.12,119.55,2.97,116.63,46.88,45.55,79937.63,24.14,68.34,114.74,18.84,66.43,33.57,2.53,2000/08/03,,5,"    그 외 기타 전문, 과학 및 기술 서비스업"
(주)코아시아,045970,2018/12,-1.1,-1.66,9.58,-13.2,-17.21,-11.41,-556.2,-10.81,14.04,-4.76,1.68,-5.47,-17.54,-944,20082.19,1.15,2.62,2.61,3.33,12.02,0.03,0.1,1.37,3.19,2.05,35.51,10.28,30.38,28.64,12.75,97.84,77.13,36.08,984.29,-0.91,136.33,1.02,139.1,41.14,42.31,57441.48,17.54,50.18,82.75,15.18,91.27,8.73,-31.38,2000/08/03,,5,"    그 외 기타 전문, 과학 및 기술 서비스업"
