[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
52.49,0.9,2.65,41.54,152.89,47.8,5519.17,7.85,39.94,2011,0
66.9,1.25,3.17,2.38,197.65,19.02,7698.43,13.16,39.87,2012,0
68.07,1.58,3.43,16.35,221.07,12.52,9085.68,10.18,31.92,2013,0
72.67,1.57,3.43,11.73,268.19,8.07,9564.87,11.89,32.67,2014,0
81.32,1.61,2.75,-0.4,338.59,27.01,9060.41,8.17,38.68,2015,0
67.98,1.45,2.6,28.29,211.09,3.73,9746.93,5.84,38.46,2016,0
81.7,1.72,2.74,2.57,320.14,13.24,13935.8,9.93,41.06,2018,0
41.82,0.73,1.29,-10.15,83.68,3.85,2821.38,-6.12,10.18,2012,0
41.77,0.92,1.5,5.84,73.49,7.46,3469.69,2.86,25.68,2013,0
41.42,0.79,1.33,5.01,74.14,3.77,3243.93,1.53,28.09,2014,0
43.83,0.8,1.35,1.56,87.38,-0.8,3327.49,2.79,27.91,2015,0
47.8,0.78,1.18,-0.15,100.63,4.94,2933.13,2.39,29.72,2016,0
40.91,0.8,1.2,-0.97,135.38,-14.92,2796.91,-4.9,22.82,2017,0
48.56,0.6,0.93,-6.41,112.13,3.67,1999.62,-6.26,19.29,2018,0
81.07,1.09,3.07,14.14,434.44,15.25,13789.7,17.19,68.53,2011,0
87.51,1.32,3.57,12.01,723.2,9.6,18037.38,18.52,66.36,2012,0
82.29,1.49,3.12,35.5,412.81,68.35,27687.07,15.94,65.73,2013,0
84.48,1.69,3.19,10.58,447.38,23.12,31605.29,14.22,68.21,2014,0
78.86,1.76,3.54,19.58,352.06,3.15,39328.28,13.07,65.1,2015,0
78.46,1.38,3.41,13.77,356.19,3.81,39169.73,11.84,58.05,2016,0
79.53,1.07,2.86,7.72,381.74,4.62,34296.97,9.02,54.21,2017,0
84.08,1.13,2.95,13.33,489.72,14.88,38887.79,16.05,59.59,2018,0
57.28,1.15,1.21,7.67,129.12,27.42,5406.5,6.1,29.9,2014,0
43.32,0.69,0.63,15.03,80.68,19.09,3478.02,-9.43,15.69,2015,0
36.99,0.69,0.7,2.62,64.8,3.39,4261.37,-6.73,24.6,2016,0
48.82,0.75,0.91,16.63,93.25,-0.28,2119.02,-0.55,23.62,2017,0
38.28,0.76,1.31,-1.38,121.04,-25.07,2476.0,-12.0,12.07,2018,0
39.29,0.64,2.1,-10.87,131.22,-3.12,4580.99,-13.21,-5.95,2011,0
43.04,0.78,3.07,-15.1,152.48,-42.78,5183.38,-2.36,15.6,2012,0
46.34,0.83,4.86,7.61,178.79,-14.19,5542.43,5.17,19.41,2013,0
49.33,0.75,5.26,-0.96,191.51,-12.54,5197.08,3.5,17.78,2014,0
55.6,0.84,6.44,-2.61,248.11,-12.61,5558.08,2.21,17.19,2015,0
53.73,0.64,5.19,-2.37,205.92,-2.46,4060.14,-3.51,13.86,2016,0
49.89,0.72,5.51,-5.49,231.57,4.6,4353.85,-7.67,8.35,2017,0
56.32,0.75,5.27,-19.9,232.14,-18.17,3872.15,-5.27,12.22,2018,0
49.03,0.95,1.49,9.75,113.23,-0.8,1914.09,0.1,16.91,2017,0
54.93,0.94,1.55,18.22,121.32,17.21,5217.43,-0.47,16.86,2018,0
79.66,0.7,1.41,46.84,493.78,22.11,4629.39,7.63,36.47,2011,0
82.8,0.44,0.9,-6.44,467.61,0.75,3269.31,-2.05,36.05,2012,0
85.69,0.55,1.06,-1.21,905.68,-5.73,3734.54,1.72,39.08,2013,0
85.91,0.55,1.18,6.15,828.86,-7.9,3861.43,5.45,52.7,2014,0
88.54,0.7,1.91,16.42,852.51,-1.25,3976.69,9.87,51.21,2015,0
92.11,0.61,1.86,0.95,1647.96,-3.26,3777.25,7.08,48.21,2016,0
93.2,0.69,1.86,5.61,1573.4,25.41,4170.71,7.88,47.18,2017,0
90.23,0.73,1.9,10.7,923.16,1.49,4782.2,8.19,46.85,2018,0
57.9,0.31,1.01,32.41,584.92,-35.45,676.08,-24.58,-46.66,2011,0
51.71,0.42,0.74,-10.5,441.63,40.16,690.53,-13.24,-3.87,2012,0
52.63,0.62,1.0,0.82,530.8,8.42,972.36,-2.77,26.43,2013,0
82.07,0.67,0.98,-3.44,447.79,1.7,863.87,-5.6,25.61,2014,0
72.9,0.81,1.04,21.79,328.38,36.8,1071.84,-15.57,3.86,2015,0
56.01,0.71,1.09,-7.3,137.62,-17.03,974.27,-4.71,31.86,2017,0
83.37,0.76,1.34,-0.49,447.36,-4.62,1005.62,7.83,48.4,2018,0
41.73,0.33,1.24,6.92,129.2,-17.78,1360.6,-3.62,12.08,2011,0
29.57,1.71,8.98,50.39,122.36,25.26,108670.23,5.0,13.79,2015,0
36.6,1.13,5.25,-3.9,131.75,22.86,87496.61,-2.1,9.05,2016,0
21.48,1.25,4.27,-27.31,88.79,-3.82,76048.55,-24.19,-0.84,2017,0
29.82,1.97,5.63,-16.6,90.88,-12.08,91266.3,2.75,11.73,2018,0
57.85,0.19,3.66,7.13,226.23,-0.14,3200.72,5.98,70.74,2013,0
64.17,0.24,4.23,0.37,269.88,8.62,3620.39,8.18,71.92,2014,0
49.06,0.29,3.75,45.36,178.32,129.85,5516.38,8.29,61.6,2015,0
39.57,0.21,0.92,86.21,133.63,333.07,7989.2,4.54,56.03,2016,0
46.83,0.27,1.44,-4.07,157.27,-1.15,12177.13,6.65,70.24,2018,0
53.81,0.53,0.32,-5.41,145.85,9.7,1151.95,-8.31,24.05,2012,0
34.14,0.3,0.18,3.61,102.15,0.47,675.27,-22.97,-16.71,2013,0
35.9,0.51,0.4,-17.04,42.12,-13.0,1174.76,-23.21,-4.48,2014,0
55.68,0.39,0.37,37.32,245.43,4.15,902.1,-14.45,27.11,2015,0
42.84,0.39,0.37,18.22,187.82,22.49,890.48,-14.28,31.98,2016,0
48.01,0.43,0.42,12.11,175.61,11.5,1154.36,-10.54,26.41,2017,0
47.39,0.36,0.32,-13.33,67.79,8.07,817.83,-17.25,16.71,2018,0
81.45,0.93,5.22,59.78,515.49,-0.14,1504.32,13.49,16.37,2011,0
82.78,0.8,5.74,9.49,610.17,1.32,1252.3,12.75,57.4,2012,0
84.11,0.74,6.65,9.44,674.02,-26.01,1272.22,11.6,58.57,2013,0
81.76,0.69,8.48,14.51,593.78,-0.91,1372.68,12.46,59.42,2014,0
80.42,0.71,3.41,19.63,462.62,203.44,1667.21,11.75,60.55,2015,0
83.36,0.94,3.8,8.87,463.93,37.54,2205.51,14.76,63.12,2016,0
82.12,1.15,2.98,15.97,355.01,74.25,2745.65,14.68,64.16,2017,0
79.77,1.24,2.72,20.74,342.56,11.81,3379.28,17.95,68.82,2018,0
74.36,1.18,6.06,187.78,319.6,329.71,17673.65,24.2,32.26,2013,0
80.76,1.98,3.85,29.91,240.14,263.66,6440.86,24.2,24.19,2014,0
72.68,1.25,0.88,-21.74,111.8,0.16,2285.14,-22.53,-30.9,2015,0
55.08,0.14,0.15,23.68,696.84,-28.41,336.61,-16.97,-129.71,2016,0
63.86,0.18,0.23,-0.22,770.01,20.32,474.36,-10.33,-1.91,2017,0
60.27,1.16,2.3,49.22,139.62,119.47,2950.99,1.54,18.47,2011,0
61.53,0.79,1.03,13.4,121.46,16.37,1623.34,-6.85,3.59,2012,0
53.93,1.16,1.81,-4.02,118.93,-21.13,1860.54,-29.2,-3.27,2013,0
82.26,0.92,0.94,13.39,356.33,9.03,194.39,0.94,56.69,2017,0
50.93,1.73,1.66,32.47,117.92,54.84,26381.56,7.24,29.34,2015,0
52.89,1.76,1.28,1.67,102.3,-0.28,16285.63,3.04,23.32,2017,0
54.41,1.56,1.12,3.94,98.49,5.98,14634.19,4.15,21.15,2018,0
58.37,1.11,1.37,-19.01,152.55,12.73,20209.79,8.28,39.54,2013,0
67.28,0.77,0.71,-16.48,375.16,-34.85,9173.15,-1.76,40.17,2014,0
70.6,0.61,1.15,-11.57,259.2,-52.11,8673.08,-5.48,28.09,2015,0
85.39,0.63,1.68,-15.21,477.34,12.93,8717.24,2.85,44.22,2016,0
86.99,0.76,1.47,-4.12,576.68,-4.34,7941.83,-0.69,37.98,2017,0
81.49,1.01,1.32,20.49,304.52,83.23,9833.0,9.99,48.24,2018,0
53.58,1.44,1.91,10.87,149.22,-3.6,79418.79,11.49,35.37,2011,0
55.85,1.3,2.15,-1.46,165.29,-14.8,81138.15,2.0,30.28,2012,0
70.73,1.06,1.54,-14.66,192.36,9.5,55923.61,9.37,38.8,2013,0
81.45,0.73,0.82,-2.47,390.63,-16.57,28634.86,9.89,67.47,2014,0
