[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
41.66,27.43,4.43,-8.72,14.58,-0.63,87.51,-0.68,-17.34,2018,0
35.79,-8.05,18.75,44.28,12.98,-2.87,100.62,-2.81,21.85,2011,0
32.5,-3.91,17.25,-4.84,12.37,2.81,50.39,3.52,-14.32,2012,0
61.25,16.15,28.66,116.02,8.22,0.81,47.58,1.94,96.61,2013,0
59.51,13.76,60.43,20.13,4.52,1.0,44.88,2.0,17.48,2014,0
68.27,12.97,74.47,-1.57,4.34,-1.01,75.42,-14.59,-14.8,2016,0
68.15,14.05,73.16,-12.97,5.08,-1.8,79.74,-20.37,17.02,2017,0
69.74,13.59,62.34,0.28,7.0,-0.12,62.71,-2.8,20.98,2018,0
92.89,74.47,15.06,30.7,15.13,4.03,48.29,7.9,9.27,2018,0
64.51,22.31,32.39,41.54,4.24,8.49,72.46,12.25,171.3,2011,0
58.74,29.02,27.08,2.38,10.47,10.81,64.84,20.94,19.18,2012,0
60.1,32.91,22.24,16.35,12.09,7.32,70.21,14.17,-1.79,2013,0
61.4,38.51,15.75,11.73,9.19,8.84,68.34,16.07,-22.23,2014,0
50.78,35.78,12.12,-0.4,9.05,6.76,77.01,10.26,-26.83,2015,0
60.2,31.68,31.37,28.29,7.52,5.11,80.5,7.24,137.63,2016,0
56.56,35.36,22.75,14.53,11.73,9.68,63.7,23.25,-0.84,2017,0
52.04,35.78,18.09,2.57,8.22,7.93,74.11,12.42,-18.98,2018,0
50.06,2.22,96.41,-28.11,2.4,-58.01,0.0,-59.57,-57.36,2011,0
42.28,-8.24,47.16,-10.15,5.12,-8.84,137.85,-14.7,-15.85,2012,0
41.4,-14.93,33.64,5.84,6.68,3.27,61.47,6.85,-14.98,2013,0
42.09,-14.68,48.55,5.01,4.84,1.97,66.07,3.68,27.64,2014,0
43.43,-6.28,50.32,1.56,4.48,3.62,63.79,6.54,0.3,2015,0
40.55,0.25,39.5,-0.15,4.35,3.5,63.14,5.21,-13.78,2016,0
43.43,4.7,68.47,-6.41,3.37,-12.5,139.63,-14.04,-22.62,2018,0
