[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
44.65,47.96,6.68,39.91,2232.02,60.02,43.28,94.5,64.59,2016,0
3.25,3.74,6.73,39.22,2315.58,60.74,42.37,94.87,77.29,2017,0
11.06,7.31,8.53,42.78,2484.76,57.58,45.96,93.86,71.88,2018,0
7.85,6.57,4.18,68.38,1012.35,29.63,71.81,95.12,29.17,2013,0
39.25,-6.16,8.62,-14.6,2618.58,158.82,40.9,37.21,9.38,2011,0
6.57,-16.94,7.09,-20.07,2175.06,187.87,48.07,27.64,7.86,2012,0
-30.0,-1.81,3.89,-17.67,2135.78,190.79,27.71,37.89,36.96,2013,0
-3.23,11.58,6.2,-17.79,2274.42,173.61,25.38,42.98,24.04,2014,0
-2.39,-1.39,5.45,-13.48,2175.97,155.08,35.84,41.38,-14.81,2015,0
-0.71,16.37,5.54,-10.72,2288.1,130.51,35.86,49.15,47.2,2016,0
-2.76,8.01,5.38,-11.35,2206.26,144.81,36.65,43.75,48.11,2018,0
4.67,2.55,4.88,-17.16,377.87,190.67,45.36,28.66,3.88,2011,0
19.68,12.35,1.86,51.46,652.57,34.09,77.34,66.48,52.42,2012,0
53.54,101.23,7.05,59.7,2178.18,35.32,71.33,81.18,67.62,2011,0
27.29,8.21,6.28,33.9,2041.53,73.6,54.98,61.18,62.08,2016,0
6.49,11.76,3.46,43.44,992.84,58.1,58.46,71.5,50.68,2017,0
22.12,11.88,59.98,38.18,2014.03,52.41,59.89,76.52,40.79,2011,0
-1.65,11.11,59.98,47.33,2237.83,47.14,59.25,86.44,41.94,2012,0
16.32,5.42,59.98,32.63,2359.01,72.56,43.16,78.34,36.64,2013,0
-0.18,3.21,24.88,38.77,2440.84,65.27,47.13,81.0,32.15,2014,0
7.53,7.48,36.26,33.52,2623.43,71.33,41.97,81.35,46.51,2015,0
16.97,4.94,28.84,19.52,2752.91,88.1,35.82,72.85,33.73,2016,0
16.14,17.11,8.46,66.62,2247.34,29.35,72.33,94.27,64.41,2018,0
-18.02,7.96,6.75,-19.14,366.55,178.01,49.56,28.33,41.12,2017,0
26.65,29.56,8.56,-4.78,2453.97,193.28,25.44,38.57,65.19,2013,0
4.05,11.56,7.31,-3.32,2736.79,185.65,25.45,40.16,63.83,2014,0
141.09,168.71,5.71,-3.19,2499.21,144.45,26.74,50.71,63.74,2018,0
40.15,42.58,1.24,72.28,1029.89,31.25,78.21,69.73,49.12,2015,0
-0.87,4.16,55.2,43.44,2033.82,48.09,59.76,83.68,48.35,2015,0
13.49,-4.03,4.93,-9.94,2185.9,163.76,27.05,44.55,22.88,2011,0
24.55,7.15,6.03,-12.67,2342.14,167.58,35.78,38.32,42.17,2012,0
2.71,16.25,6.52,-6.16,2706.03,154.42,33.02,43.37,41.64,2013,0
5.09,-3.06,5.09,-4.15,2623.3,162.27,35.08,40.01,25.15,2014,0
10.46,-9.25,3.95,29.92,981.85,53.37,69.54,57.07,0.0,2013,0
17.83,52.25,4.18,64.17,2523.54,31.37,70.95,92.61,67.37,2013,0
6.83,5.19,4.94,60.32,2654.56,34.69,68.37,91.19,52.46,2014,0
-8.03,-4.98,4.76,70.67,2700.08,23.33,79.03,89.86,-24.5,2016,0
1.35,-0.09,5.46,69.21,2833.16,24.87,77.18,91.75,29.42,2018,0
53.63,50.69,4.37,33.65,2278.28,76.97,43.22,73.77,58.05,2013,0
15.62,14.04,4.19,38.74,2585.03,73.03,46.93,72.66,49.9,2014,0
21.01,13.37,4.7,28.82,2181.67,79.47,43.61,70.96,43.85,2016,0
7.58,8.77,4.51,29.9,2370.66,83.74,40.92,70.55,39.29,2017,0
7.68,11.14,4.05,32.75,2634.11,77.09,43.94,72.71,42.95,2018,0
18.33,14.22,7.94,28.75,2223.98,75.46,38.74,81.18,61.4,2013,0
10.2,30.71,7.17,21.18,2230.02,78.67,36.77,80.38,63.42,2015,0
0.64,4.61,5.72,22.0,2321.21,78.34,35.11,82.84,51.26,2016,0
7.49,6.7,5.59,28.38,2359.27,70.47,42.7,81.32,47.03,2017,0
2.63,4.93,5.1,26.17,2427.82,75.19,38.24,82.14,49.23,2018,0
9.21,-1.32,7.03,29.53,2498.03,63.42,52.35,75.14,19.04,2011,0
7.3,8.69,5.4,32.41,2715.17,59.75,54.53,76.11,30.97,2012,0
-0.48,2.27,5.97,34.99,2776.89,56.85,55.53,78.22,19.87,2013,0
86.27,13.01,3.81,-11.81,2104.31,132.88,41.95,43.68,58.52,2012,0
-30.49,-35.21,4.78,31.42,2180.62,65.27,50.01,76.6,0.0,2014,0
