[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
41.4,-14.93,5.84,6.68,38.53,33.64,7.46,3.27,6.85,2013,0
42.09,-14.68,5.01,4.84,33.93,48.55,3.77,1.97,3.68,2014,0
43.43,-6.28,1.56,4.48,36.21,50.32,-0.8,3.62,6.54,2015,0
40.55,0.25,-0.15,4.35,36.86,39.5,4.94,3.5,5.21,2016,0
43.43,4.7,-6.41,3.37,-39.63,68.47,3.67,-12.5,-14.04,2018,0
69.31,53.36,14.14,8.39,37.28,7.41,15.25,18.35,21.47,2011,0
69.97,60.3,12.01,12.78,37.12,2.37,9.6,17.08,21.92,2012,0
62.69,47.51,35.5,5.98,32.55,2.85,68.35,13.72,19.37,2013,0
58.46,45.39,10.58,5.85,29.23,4.9,23.12,11.28,17.06,2014,0
67.81,53.96,13.33,9.8,41.82,4.26,14.88,16.99,19.63,2018,0
32.53,7.34,7.67,6.94,54.85,17.44,27.42,8.11,11.26,2014,0
30.15,-7.22,15.03,5.03,-84.4,16.82,19.09,-21.71,-19.07,2015,0
29.63,-16.1,2.62,4.7,2.07,31.66,3.39,-13.72,-16.29,2016,0
39.83,-2.88,16.63,6.21,43.63,33.51,-0.28,-0.92,-1.88,2017,0
64.31,15.3,-10.87,3.46,0.0,59.98,-3.12,-18.41,-31.86,2011,0
75.95,26.14,-15.1,4.9,23.0,45.07,-42.78,-2.53,-2.03,2012,0
80.82,35.62,7.61,3.71,45.17,51.15,-14.19,4.94,10.89,2013,0
83.06,39.69,-0.96,2.74,35.59,77.41,-12.54,3.68,7.2,2014,0
84.8,50.62,-2.61,3.38,36.91,65.39,-12.61,2.13,3.95,2015,0
84.82,43.63,-2.37,2.65,-11.75,68.76,-2.46,-4.46,-6.62,2016,0
83.2,47.27,-5.49,3.24,-65.49,26.36,4.6,-8.73,-13.79,2017,0
82.83,47.15,-19.9,3.69,-21.01,18.54,-18.17,-5.9,-10.68,2018,0
41.1,-5.82,-16.14,2.99,0.0,64.5,-1.15,-50.63,-76.14,2016,0
46.76,5.47,9.75,6.79,50.66,31.19,-0.8,0.12,-0.15,2017,0
47.22,8.3,18.22,7.2,37.08,43.96,17.21,-0.57,-1.8,2018,0
64.37,51.33,46.84,5.88,56.88,1.11,22.11,14.0,11.15,2011,0
61.63,48.45,-6.44,7.4,27.39,1.78,0.75,-6.12,-2.52,2012,0
63.38,56.39,-1.21,5.7,41.14,2.74,-5.73,4.32,2.04,2013,0
68.23,60.0,6.15,3.96,51.24,2.67,-7.9,13.58,6.35,2014,0
73.05,64.48,16.42,4.72,60.13,2.01,-1.25,17.75,11.3,2015,0
74.18,69.68,0.95,4.01,49.64,2.26,-3.26,14.45,7.84,2016,0
69.33,64.93,5.61,4.36,48.96,1.95,25.41,14.98,8.51,2017,0
71.88,64.1,10.7,4.51,48.31,3.32,1.49,14.68,8.93,2018,0
58.92,45.58,-10.5,2.69,0.0,34.37,40.16,-43.79,-25.61,2012,0
55.83,45.31,0.82,3.61,21.66,24.55,8.42,-6.48,-5.31,2013,0
53.47,41.53,-3.44,3.08,-3.84,30.58,1.7,-12.64,-8.34,2014,0
47.74,33.2,21.79,2.73,-534.13,30.87,36.8,-30.08,-19.71,2015,0
53.43,14.61,-7.3,3.92,15.66,20.98,-17.03,-8.7,-8.41,2017,0
55.36,42.98,-0.49,3.22,47.92,15.86,-4.62,12.82,11.24,2018,0
74.32,16.8,6.92,0.93,19.26,69.39,-17.78,-9.94,-8.09,2011,0
75.45,13.79,50.39,10.75,45.33,55.9,25.26,2.1,21.31,2015,0
68.62,16.54,-3.9,9.32,24.25,75.89,22.86,-1.43,-6.29,2016,0
56.23,-5.65,-16.6,13.94,49.78,49.19,-12.08,1.15,12.19,2018,0
92.89,51.91,7.13,2.78,39.67,147.47,-0.14,22.68,11.25,2013,0
92.46,58.2,0.37,3.28,46.47,147.47,8.62,26.65,13.4,2014,0
88.08,38.69,45.36,3.87,46.41,147.47,129.85,21.8,15.01,2015,0
71.29,17.94,86.21,2.23,43.77,147.47,333.07,17.12,12.04,2016,0
76.37,22.06,19.72,3.35,48.79,147.47,-1.47,22.18,22.56,2017,0
75.65,27.55,-4.07,3.08,41.32,147.47,-1.15,19.32,15.03,2018,0
23.01,7.23,-5.41,6.94,-27.11,10.54,9.7,-36.3,-14.69,2012,0
40.62,24.07,37.32,3.12,-66.4,10.79,4.15,-58.13,-30.52,2015,0
38.48,17.99,18.22,2.38,-62.88,14.7,22.49,-63.01,-29.31,2016,0
38.81,16.71,12.11,3.64,-24.53,8.7,11.5,-40.74,-23.13,2017,0
23.7,-11.26,-13.33,3.17,-184.47,9.0,8.07,-79.61,-36.15,2018,0
85.25,68.71,59.78,17.47,0.0,0.0,-0.14,14.23,17.29,2011,0
86.35,72.2,9.49,19.08,30.75,0.0,1.32,15.68,15.53,2012,0
90.77,77.3,9.44,19.08,30.23,0.0,-26.01,15.38,13.9,2013,0
92.01,76.52,14.51,14.86,34.3,0.0,-0.91,17.15,15.04,2014,0
79.74,62.51,19.63,8.93,35.04,0.16,203.44,17.01,15.2,2015,0
74.41,58.37,8.87,12.55,37.66,0.06,37.54,16.87,18.08,2016,0
61.55,44.21,15.97,11.94,35.2,0.0,74.25,15.17,17.75,2017,0
64.4,45.6,20.74,10.52,37.73,0.0,11.81,17.87,22.21,2018,0
79.63,54.72,187.78,12.27,85.04,42.19,329.71,22.88,37.97,2013,0
42.98,25.08,29.91,15.15,85.04,28.43,263.66,16.73,33.91,2014,0
27.03,2.85,-21.74,21.11,0.0,90.55,0.16,-35.15,-30.75,2015,0
57.76,49.47,23.68,3.53,0.0,147.47,-28.41,-200.99,-26.96,2016,0
49.18,13.96,49.22,4.72,33.21,10.74,119.47,1.51,3.18,2011,0
51.37,8.18,-4.02,3.88,0.0,55.97,-21.13,-29.82,-50.5,2013,0
62.27,6.07,-27.26,3.22,0.0,101.32,-43.55,-52.66,-105.82,2014,0
41.76,19.59,-47.32,2.02,-15.94,147.47,-21.32,-27.21,-29.42,2015,0
42.19,24.38,1.13,4.53,33.78,33.77,0.38,6.33,5.92,2016,0
44.41,31.95,13.39,2.85,26.71,30.72,9.03,1.79,1.14,2017,0
29.85,4.54,32.47,11.88,75.26,24.74,54.84,6.63,14.78,2015,0
25.75,-2.02,11.96,16.95,81.41,19.77,18.5,5.61,12.09,2016,0
27.17,0.61,1.67,11.05,77.88,24.65,-0.28,3.22,5.84,2017,0
25.74,-0.4,3.94,8.62,69.49,36.78,5.98,5.03,7.73,2018,0
37.95,6.42,44.44,7.87,58.72,32.84,34.36,10.86,30.13,2011,0
51.39,18.77,-0.07,5.95,45.55,39.78,-21.71,0.86,2.94,2012,0
32.34,11.14,-19.01,6.01,53.5,34.56,12.73,10.58,16.83,2013,0
61.94,48.97,-15.21,7.13,27.72,18.11,12.93,5.16,3.85,2016,0
62.03,51.27,-4.12,8.1,6.69,17.5,-4.34,-1.23,-0.57,2017,0
42.26,28.38,20.49,9.25,37.03,14.04,83.23,15.56,11.36,2018,0
46.72,15.41,10.87,7.76,52.64,35.03,-3.6,10.52,11.85,2011,0
53.93,21.3,-1.46,6.13,37.84,40.61,-14.8,1.87,6.79,2012,0
40.88,19.63,-14.66,6.27,49.72,35.61,9.5,11.7,12.59,2013,0
49.43,36.77,-2.47,6.31,55.74,22.12,-16.57,21.93,27.59,2014,0
69.05,58.44,-0.54,5.39,53.43,22.18,-39.12,25.05,23.61,2015,0
63.31,55.11,-6.57,7.12,-4.6,17.34,10.75,-4.16,-4.99,2016,0
63.96,57.31,-1.61,8.03,-5.68,16.64,-3.37,-3.68,-1.77,2017,0
50.33,41.0,12.54,9.47,35.66,13.39,55.13,19.08,6.58,2018,0
44.81,34.07,11.53,3.19,49.65,25.1,4.89,13.62,7.0,2011,0
32.79,20.82,3.18,3.57,45.38,26.63,25.65,12.33,7.24,2012,0
43.92,17.12,21.08,3.74,38.86,21.02,1.03,6.72,3.79,2013,0
27.65,6.03,-0.68,4.13,38.93,19.72,28.15,8.13,4.31,2014,0
36.02,11.49,0.37,3.94,3.41,25.89,-11.24,-10.06,-5.87,2015,0
39.18,14.05,-0.07,3.61,17.43,27.03,-5.02,-3.99,-2.77,2016,0
38.98,2.74,-4.54,3.26,-31.58,26.86,-4.23,-16.68,-14.48,2017,0
43.18,4.88,6.92,3.3,33.88,26.2,-0.43,7.03,6.83,2018,0
41.45,32.29,2.91,5.24,28.14,11.77,-3.62,5.34,3.05,2011,0
46.79,37.1,0.42,5.47,17.62,13.01,-8.74,3.45,2.17,2012,0
51.61,43.71,1.81,5.49,37.74,13.5,-7.42,9.41,6.29,2013,0
60.39,49.93,3.1,6.85,49.23,12.97,-15.59,10.03,8.36,2014,0
57.05,38.78,12.76,8.87,43.23,15.71,22.26,9.47,10.69,2015,0
72.47,55.8,15.09,9.49,56.86,19.49,-26.24,18.27,20.07,2016,0
77.69,61.79,21.9,9.26,62.74,17.09,-1.21,21.55,26.83,2017,0
80.82,63.13,28.63,8.36,66.47,17.13,10.62,23.19,28.76,2018,0
81.57,66.84,187.78,1.41,0.0,8.04,201.9,-170.43,-34.1,2018,0
69.7,43.44,75.19,2.99,33.41,45.01,132.59,20.2,32.23,2012,0
66.53,53.14,-11.72,2.54,3.57,50.29,-2.49,5.39,4.88,2013,0
65.4,46.9,3.38,2.77,6.32,32.26,6.88,2.06,2.08,2014,0
69.12,51.9,1.51,2.41,7.96,35.35,-10.04,1.72,1.57,2015,0
75.47,62.3,23.79,2.94,4.65,41.98,-1.68,0.7,0.51,2016,0
71.82,58.28,-18.84,3.73,-95.26,59.9,-6.74,-47.02,-21.21,2017,0
72.14,59.27,-9.22,7.75,-16.83,26.55,-10.27,-14.81,-9.19,2018,0
54.13,-2.19,-5.27,9.62,-32.68,36.31,0.02,-6.98,-22.84,2012,0
46.2,-4.53,-7.28,10.54,-17.54,22.63,8.76,-12.01,-36.18,2013,0
47.94,13.67,6.6,9.18,21.43,19.37,3.15,7.47,15.46,2014,0
42.62,18.05,87.35,9.71,-6.68,19.2,106.5,-4.37,-5.88,2015,0
33.59,11.78,14.57,8.03,-31.19,20.4,32.6,-12.03,-9.81,2016,0
39.77,21.0,-2.33,8.62,16.64,16.54,-11.42,-1.69,-1.25,2017,0
41.86,24.32,2.79,9.58,44.12,15.5,-0.78,8.37,5.41,2018,0
