[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
90.04,0.73,0.89,5.25,683.83,-18.09,3087.86,5.23,45.6,2018,0
94.13,0.7,1.26,9.1,1226.73,5.61,6646.93,9.18,30.98,2017,0
41.68,0.76,2.01,15.19,181.54,3.99,6684.82,1.44,15.96,2014,0
89.75,0.92,5.17,-6.31,863.87,17.11,2307.44,0.65,6.31,2011,0
37.89,0.6,0.98,-30.0,61.07,-2.56,18544.66,-1.1,19.57,2013,0
76.4,0.55,2.24,-10.9,314.58,-5.99,2568.52,1.62,36.06,2014,0
86.45,0.89,1.99,17.49,562.64,-11.31,2480.64,15.34,52.12,2011,0
90.37,0.85,2.1,9.69,688.27,23.21,2754.17,15.9,52.4,2012,0
90.9,1.07,2.19,23.35,745.29,2.43,4336.99,19.95,53.79,2014,0
93.49,0.8,2.61,6.57,1132.21,20.44,6495.4,19.46,59.77,2017,0
94.27,0.76,2.21,16.14,1266.04,21.06,6653.58,18.59,60.74,2018,0
65.39,1.47,3.12,6.33,236.66,-16.77,6768.6,17.36,85.72,2012,0
44.55,0.98,1.47,27.29,162.32,18.15,6845.94,-2.18,18.4,2012,0
68.5,0.59,1.56,7.3,780.8,23.25,2545.37,6.61,47.41,2014,0
68.51,0.44,1.56,6.99,1060.68,22.71,2809.08,3.57,45.64,2016,0
51.22,0.86,1.15,19.42,104.63,41.88,6828.68,1.53,20.49,2015,0
92.74,0.64,5.21,148.71,1369.22,106.51,11162.7,8.26,21.18,2017,0
78.67,0.93,4.32,-2.58,837.26,-18.63,8596.09,0.69,5.34,2017,0
40.01,0.78,0.87,5.09,89.43,1.87,18322.77,-0.74,40.1,2014,0
84.72,0.76,2.2,18.43,579.7,46.57,2390.03,7.47,57.64,2016,0
89.84,1.99,5.46,13.27,936.39,27.14,8940.6,16.25,24.92,2018,0
92.61,1.01,2.9,17.83,1046.5,9.48,11127.07,14.9,36.39,2013,0
93.07,0.63,2.61,-11.8,1187.98,-11.99,8879.75,5.46,38.9,2017,0
70.55,1.26,1.2,7.58,371.53,12.72,11434.48,6.71,45.07,2017,0
57.08,1.32,3.75,-1.39,233.7,-2.59,18908.36,10.39,18.86,2017,0
84.04,1.21,0.95,6.28,260.14,5.23,6899.19,11.93,48.36,2012,0
35.67,1.2,7.28,18.52,123.45,14.24,18332.07,3.06,25.37,2011,0
37.58,1.29,6.02,-11.26,113.96,36.97,18239.91,0.29,21.15,2012,0
35.85,1.57,5.04,-3.15,99.75,13.31,18846.3,-3.76,18.95,2013,0
39.17,1.19,9.27,96.21,462.58,-20.84,2414.85,3.48,37.71,2012,0
85.6,0.6,1.28,4.28,520.76,-5.87,2247.3,3.78,19.26,2018,0
80.16,0.87,1.85,10.27,331.03,2.08,14268.19,7.14,59.57,2016,0
59.13,0.88,1.22,11.1,150.29,6.94,6823.04,3.84,41.95,2014,0
60.46,0.77,0.91,30.62,530.15,32.45,2273.83,2.48,50.74,2017,0
83.49,0.74,2.15,-2.44,485.93,1.94,2697.25,-3.35,16.31,2014,0
84.56,0.78,2.6,55.59,509.37,16.69,6693.48,12.87,32.76,2017,0
74.31,1.44,14.14,-5.56,377.23,-8.69,18372.07,0.12,9.17,2012,0
71.84,1.4,11.15,-1.95,339.16,28.68,17868.89,6.74,11.84,2015,0
79.32,1.36,3.08,20.66,369.89,-4.55,2535.83,10.46,27.7,2015,0
79.26,1.37,1.01,-6.03,345.82,-15.11,6775.42,3.5,32.13,2015,0
41.61,1.53,4.59,47.07,168.02,33.35,18636.98,-0.37,5.69,2011,0
33.79,0.65,1.63,-12.63,133.06,-33.36,17928.4,-0.86,9.68,2017,0
83.24,0.46,2.97,86.96,508.67,-8.27,2519.89,3.58,51.01,2018,0
81.04,0.72,3.07,-6.42,402.84,6.57,3367.28,2.97,14.77,2014,0
45.65,1.17,5.77,41.95,145.08,18.98,14280.28,13.92,25.2,2016,0
38.51,1.4,2.76,23.75,117.37,9.52,17528.82,2.78,16.99,2011,0
87.67,1.1,1.62,7.58,461.23,34.3,2693.71,3.51,23.69,2012,0
95.13,1.03,1.64,-1.03,1207.89,-2.72,2778.27,6.51,27.46,2014,0
90.99,1.02,1.73,9.92,684.34,2.14,2933.6,5.82,24.15,2015,0
29.04,0.98,2.25,16.44,99.29,1.67,18790.18,3.06,21.27,2014,0
79.41,1.33,1.35,11.08,480.01,23.96,3452.61,3.04,24.56,2013,0
86.2,1.46,2.61,3.64,455.28,0.84,6750.69,2.16,5.36,2016,0
45.08,1.03,5.7,-12.71,157.71,-29.79,6820.32,-17.8,1.96,2011,0
86.06,1.17,1.81,-12.17,380.23,-8.87,1275.15,-4.34,4.31,2014,0
87.04,0.24,14.14,107.75,762.32,5.34,2228.79,11.4,85.72,2016,0
85.1,0.54,1.37,-21.93,485.25,-0.02,2359.26,-2.2,16.13,2011,0
46.34,1.41,1.45,17.24,127.23,4.41,6852.68,4.22,30.15,2016,0
48.44,1.43,5.27,-12.05,141.35,-10.54,6754.0,-4.05,10.44,2018,0
84.81,0.93,2.69,103.46,602.16,41.17,2246.5,13.24,48.94,2013,0
69.66,1.17,1.66,4.22,168.75,-5.97,6803.58,-6.49,30.64,2017,0
55.08,2.47,2.89,-9.38,181.47,-8.1,6782.01,2.7,22.6,2012,0
84.59,0.66,0.69,-20.48,621.58,-21.51,1419.62,-18.51,-4.0,2013,0
83.71,0.88,0.85,-1.21,681.32,-0.24,1415.24,1.79,37.15,2015,0
92.84,1.28,1.16,-32.13,749.65,-34.77,1398.01,-26.05,6.0,2017,0
25.1,1.25,2.06,-15.52,28.64,23.4,14307.35,0.02,12.11,2018,0
37.43,1.75,2.72,3.02,106.78,-3.11,18332.05,-1.31,11.21,2014,0
82.29,1.1,13.53,10.91,522.7,16.75,18536.73,12.88,14.44,2011,0
84.58,1.82,2.2,2.56,370.7,30.07,6786.94,7.7,26.34,2012,0
80.94,0.88,3.7,16.23,506.04,-0.67,8367.41,11.41,32.68,2012,0
73.04,1.05,4.07,14.84,318.43,20.08,18004.74,3.24,25.24,2018,0
75.87,1.88,1.62,11.31,271.6,15.14,18919.86,8.86,43.1,2016,0
71.94,1.74,1.45,9.75,177.67,17.9,18494.54,3.15,37.4,2017,0
43.63,2.2,4.46,6.36,101.51,3.26,17957.42,0.89,13.99,2018,0
52.05,1.58,3.53,60.75,138.13,17.93,14320.58,6.67,20.16,2014,0
87.67,1.22,2.63,4.95,668.6,-13.53,9407.35,9.69,28.4,2012,0
8.93,0.63,1.11,5.14,55.56,-1.81,14374.45,-17.9,-11.54,2011,0
89.53,0.78,1.3,8.53,593.86,14.78,2328.23,14.66,47.32,2015,0
