,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
3190,(주)아이엘사이언스,122050,Dec-18,2018-11-16,2019-12-27,삭제,상장일 : 코넥스 상장폐지일 :코스닥,  전기장비 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3286,(주)아이팩토리,53810,Dec-11,2002-07-19,2016-09-19,,,  기타 기계 및 장비 제조업,4,-37.95,-1.83,2.58,-9.23,-21.84,-41.78,0,12.44,14.38,-17.07,-4.82,-10.64,-43.43,-426,2360.96,0.62,2.5,0.8,52.61,7.02,7.04,51.85,6.94,51.96,0.14,0.02,0.79,2.82,2.98,28.41,26.22,1.23,342.79,-43.01,162.88,367.21,17.07,22.58,9627.11,10.67,17.14,433.47,16.29,124.63,-24.63,-104.81,1.04,-1.1
3287,(주)아이팩토리,53810,Dec-12,2002-07-19,2016-09-19,,,  기타 기계 및 장비 제조업,4,-60.15,-7.34,-15.21,-19.37,-85.08,-39.58,0,-56.14,1.08,-81.86,-7.13,-23.65,-164.57,-3794,920.43,0.29,2.01,0.34,27.53,8.85,6.74,54.16,13.26,41.22,3.12,0.03,0.35,1.91,2.05,16.5,15.58,0.66,2292.64,-64.73,117.66,2086.62,12.79,4.18,-3379.28,-4.64,-6.49,-159.71,-14.35,0,0,0,0.44,-1.42
3288,(주)아이팩토리,53810,Dec-13,2002-07-19,2016-09-19,,,  기타 기계 및 장비 제조업,4,53.81,-2.79,-2.57,12.58,418.52,115.88,0,-78.04,14.73,-20.13,-1.32,-9.43,-77.51,-965,4603.1,0.47,3.85,0.58,113.87,14.17,5.48,66.55,3.21,25.76,0,0.01,0.52,2.46,2.52,36.71,36.5,4.76,419.49,-42.28,169.11,392.08,24.53,19.25,3868.99,4.72,7.65,268.81,10.68,138.33,-38.33,-188.45,0.71,-0.24
3289,(주)아이팩토리,53810,Dec-14,2002-07-19,2016-09-19,,,  기타 기계 및 장비 제조업,4,-58.95,9.86,8.38,1.73,-14.86,-18.7,0,1418.86,-10.22,-101.19,-10.3,-18.21,-103.06,-474,335.35,0.18,0.99,0.23,16.04,2.92,1.81,201.43,22.76,125.1,0,0.06,0.2,0.82,0.86,27.19,24.29,0.36,482.51,-52.48,59.27,468.34,19.6,17.17,-5308.41,-6.37,-9.63,-471.85,-35.7,0,0,0,0.28,-2.43
3290,(주)아이팩토리,53810,Dec-15,2002-07-19,2016-09-19,,,  기타 기계 및 장비 제조업,4,-26.61,-62.37,-61.17,-46.35,33.45,14.44,0,-88.28,32.49,-47.63,3.02,-8.12,-33.16,-103,215.23,0.17,0.68,0.23,11.23,1.32,2.54,143.64,32.51,276.23,0.01,0.1,0.21,0.62,0.66,223.93,221.48,12.1,149.57,23.14,570.67,145.24,41.8,40.07,4311.89,9.64,20.61,615.18,39.51,18.99,81.01,-120.55,0.29,1.61
3291,(주)아인스엠앤엠,40740,Dec-11,2004-01-28,2012-05-01,,,  소매업; 자동차 제외,4,-63.91,-15.07,-43.81,-69.67,0,-95.81,0,0,-37.75,-364.41,-74.47,-125.3,0,0,2760.84,0.34,0,0.57,2.1,3.93,2.29,159.54,173.82,92.82,0.01,0.27,0.26,0.86,1.47,3.14,3.14,1.31,0,-211.92,0,0,6.88,0,-51156.69,-234.25,-2468.7,-143706.64,-317.1,0,0,0,7.15,-8.28
3309,(주)아큐텍,13780,Dec-11,1997-08-18,2013-04-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-31.94,-11.83,-16.53,-25.89,-66.59,-45.89,0,-43.13,-27.71,-69.55,-28.48,-35.01,-125.5,-1317,1790.11,0.5,1.8,0.7,2.82,6.65,58.17,6.27,129.26,54.88,0.01,0,0.56,1.78,4.85,32.05,11.13,0.19,509.26,-49.33,19.88,467.53,23.26,16.41,-3533.66,-14.97,-20.01,-94.98,-25.32,0,0,0,0.74,-9.54
3310,(주)아큐텍,13780,Dec-12,1997-08-18,2013-04-23,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-57.36,-2.55,-1.33,-5.98,2.92,-21.32,0,-28.64,-71.55,-108.29,-29.92,-28.14,-163.95,-831,0,0.26,1.51,0.33,1.94,5.39,42.81,8.53,188.32,67.68,0,0,0.28,1.21,3.24,27.81,11.35,0.09,456.59,-50.52,66.06,448.24,19.47,17.97,-1830.14,-8.25,-10.63,-57.64,-30.75,0,0,0,0.34,-3.85
3338,(주)알로이스,271400,Dec-17,2017-07-07,2019-10-01,삭제,상장일 : 코넥스 상장폐지일 :코스닥,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,(주)알로이스,271400,Dec-18,2017-07-07,2019-10-01,삭제,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,0,0,0,0,0,0,0,21.79,9.84,22.8,21.6,30.69,920,8003.92,2.2,3.12,46.92,14.2,3.1,57.52,6.35,25.7,117.56,0.01,0,1.89,2.3,2.75,452.32,378.96,34.89,42.06,74.25,513.29,6.65,95.32,70.39,3995.09,40.19,1876.55,10926.89,18.31,40.58,59.42,53.75,102.5,42.44
3469,(주)에듀언스,9010,Dec-11,1993-12-29,2013-05-01,,,  교육 서비스업,4,0,0,0,0,0,0,0,0,47.54,-64.28,-27.7,-35.59,-119.5,-626,905.74,0.55,1.86,0.92,1738.31,170.83,0,0,0.21,2.14,0.43,0,0.54,1.4,1.4,63.64,63.59,1.86,235.8,-22.63,97.45,202.81,39.6,29.78,1060.79,2.07,189.05,324.09,3.74,1604.63,-1504.63,-1719.49,50.57,-4.96
3470,(주)에듀언스,9010,Dec-12,1993-12-29,2013-05-01,,,  교육 서비스업,4,-45.64,-29.64,-47.89,-60.38,-88.2,-79.43,0,-55.86,48.69,-110.41,-5.66,-47.59,-199.58,-573,449.52,0.43,1.81,0.66,1311.08,112.19,0,0,0.28,3.25,0.28,0,0.42,1.26,1.26,24.23,24.19,2.25,1027.46,-64.3,149.04,895.59,20.57,8.87,-1587.72,-7.82,-402.18,-549.89,-10.29,0,0,0,32.27,-2.08
3485,(주)에스마크,30270,Dec-11,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,8,0.78,2.47,11.86,-14.91,41.3,0,117.42,0.54,-5.46,-3.56,-5.29,-15.14,-3191,57602.79,0.97,2.77,1.34,6.39,10.53,29.96,12.18,57.08,34.67,0.01,0,1.58,3.51,7.8,79.43,28.37,2.43,228.88,-7.91,382.24,228.43,30.54,30.41,7023.91,9.31,13.95,24.94,10.16,97.62,2.38,-53.76,1.38,-2.02
3486,(주)에스마크,30270,Dec-12,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-5.14,-4.83,-5.31,-5.33,-5.19,-5.39,0,-11.55,0.13,-1.72,-3.21,-1.53,-5.03,-944,54641.7,0.89,2.94,1.29,4.7,9.8,49.01,7.45,77.67,37.23,0.01,0,1.26,2.93,7.75,71.63,28.58,2.6,228.37,-12.09,362.41,228.14,30.52,30.45,10718.47,15.01,22.4,41.16,16.35,69.08,30.92,-10.49,1.33,-1.4
3487,(주)에스마크,30270,Dec-13,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-7.3,-4.26,-4.93,-1.87,2.45,5.07,0,12.9,7.48,0.81,2.75,0.7,2.25,417,50651.59,0.86,2.76,1.26,4.36,9.11,55.35,6.59,83.73,40.07,0.01,0,1.14,2.72,7.23,72.61,25.72,1.56,214.51,-12.33,371.29,211.71,32.69,31.8,14479.81,20.67,31.54,59.36,23.82,60.47,39.53,3.42,1.29,1.3
3488,(주)에스마크,30270,Dec-14,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-16.37,4.99,6.57,5.12,-0.19,2.12,0,11.87,1.09,-7.32,-2.65,-5.18,-16.71,-3140,42361.38,0.71,2.28,1.04,3.24,8.49,50.89,7.17,112.49,42.99,0.01,0,0.9,2.2,6.8,66.46,19.45,0.72,231.25,-16.02,370.57,226.07,31.75,30.19,8562.97,11.63,17.77,33.52,16.85,94.3,5.7,-43.43,1.08,-1.57
3489,(주)에스마크,30270,Dec-15,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-8.15,-9.29,-7.08,-16.75,11.92,-37.53,0,-52.53,-21.93,-35.17,-20.46,-24.34,-69.71,-1353,3778.67,0.69,1.98,0.96,3.83,10.28,62.92,5.8,95.36,35.5,0.01,0,0.89,2.46,6.87,46.41,21.46,7.95,146.41,-27.52,200.66,187.7,23.83,40.58,-3322.8,-5.42,-7.59,-15.41,-7.12,0,0,0,1.02,-9.67
3490,(주)에스마크,30270,Dec-16,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,0,0,0,0,0,0,0,0,-24.81,-73.56,-15.21,-19.99,-44.19,-705,699.84,0.27,0.6,0.34,10.28,12.4,34.95,10.44,35.49,29.43,0.02,0,0.97,1.38,1.6,231.45,200.31,9.05,120.51,11.16,233.18,177.19,19.64,45.35,-8097.64,-7.74,-19.93,-45.32,-28.48,0,0,0,0.7,-6.4
3491,(주)에스마크,30270,Dec-17,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-39.94,-79.67,-67.16,-37.09,-29.51,85.9,0,83.72,-10.11,-494.69,-11.55,-99.12,-207.88,-1130,214.13,0.2,0.42,0.31,4.35,7.86,14.47,25.23,83.83,46.43,0.01,0,0.34,0.58,0.67,120.99,104.91,17.13,98.35,10.07,70.19,83.21,58.05,50.42,-59057.71,-89.74,-715.17,-3326.39,-345.88,0,0,0,0.7,-2.83
3492,(주)에스마크,30270,Dec-18,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-16.73,13.47,18.06,-6.31,-18.52,-23.91,0,-1.76,18.73,-242.62,-15.89,-54.12,-113.15,-267,105.37,0.22,0.47,0.47,2.82,5.57,9.67,37.73,129.24,65.52,0.01,0,0.23,0.42,0.5,111.56,92.41,1.04,130.23,4.88,719.43,121.7,47.14,43.43,-16874.93,-27.37,-180.09,-1409.02,-118.69,0,0,0,1.61,-1.35
3493,(주)에스마크,30270,Dec-19,1997-01-17,2020-05-21,,,  섬유제품 제조업; 의복제외,4,-82.06,-69.87,-27,-25.61,-33.76,-24.05,0,-2.12,6.51,-569.44,-6.98,-27.02,-61.93,-1851,337.29,0.05,0.11,0.09,0.52,0.87,2.18,167.56,706.39,420.64,0,0,0.05,0.1,0.12,111.74,87.02,0.59,149.57,5.06,476.58,129.46,48.13,40.07,-6259.06,-13.65,-221.73,-6242.39,-245.38,0,0,0,0.42,-2.19
3504,(주)에스비엠,37630,Dec-11,1999-12-24,2013-07-24,,,  기타 기계 및 장비 제조업,4,43.99,2.27,3.13,41.82,47.81,50.42,40.03,46.55,44.31,32.3,30.4,28.26,32.77,667,1757.64,0.87,1.01,5.73,8.7,12.88,70.82,5.15,41.97,28.34,0.02,0,0.96,1.03,1.17,1341.08,1183.49,39.76,14,80.31,413.36,15.07,86.78,87.72,11968.74,34.23,2203.17,7139.34,45.89,23.62,76.38,70.39,48.55,169.86
3505,(주)에스비엠,37630,Dec-12,1999-12-24,2013-07-24,,,  기타 기계 및 장비 제조업,4,6.58,134.69,10.29,13.71,16.47,14.23,-23.83,29.34,39.36,23.08,21.51,17.18,19.33,477,1873.33,0.74,0.84,5.72,6.8,9.35,51.55,7.08,53.68,39.05,0.01,0,0.8,0.86,0.98,1365.54,1183.85,34.34,11.3,80.79,481.44,14.27,87.17,89.84,11073.41,27.85,868.55,1283.99,39.83,27.43,72.57,57.95,30.58,160.92
3559,(주)에스에스컴텍,36500,Dec-11,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,47.7,5.19,16.61,45.1,45.27,70.95,52.16,76.59,18.64,4.03,8.68,3.33,7.09,209,6592.62,0.83,2.33,1.97,5.58,3.42,5.83,62.61,65.39,106.59,0.01,0.31,0.73,1.43,1.92,103.72,76.89,9.39,180.28,2.22,606.99,107.16,61.77,35.68,19441.03,14.77,54.86,97.13,21.14,40.11,59.89,19.06,2.65,2.25
3560,(주)에스에스컴텍,36500,Dec-12,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,37.89,15.26,2.09,17.29,33.82,26.69,-135.21,-2.79,19.89,1.78,7.78,1.58,-1.8,-63,8445.79,0.89,2.06,2.49,6.11,3.03,7.6,48.02,59.71,120.39,0.01,0.65,0.8,1.38,1.78,183.3,146.91,32.15,102.52,30.32,754.67,67.4,66.72,49.38,21792.99,14.11,53.2,100.03,17.18,46.12,53.88,10.36,3.32,2.86
3561,(주)에스에스컴텍,36500,Dec-13,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,34.31,30.03,12.93,23.25,0.22,28.4,0,0.11,15.73,-2.44,4.72,-2.41,-18.12,-659,10457.29,0.99,2.12,3.11,8.32,3.82,7.83,46.6,43.85,95.49,0.01,0.23,0.92,1.45,1.75,163.94,138.57,54.51,125.97,27.11,697.26,68.9,69.51,44.25,18699.26,9.82,35.11,62.34,10.98,60.39,39.61,-22.23,3.62,1.99
3562,(주)에스에스컴텍,36500,Dec-14,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,-23.14,11.45,13.38,15.41,-7.6,16.3,0,167.11,11.85,-5.96,0.03,-3.81,-17.57,-594,7741.57,0.64,1.58,2.11,3.48,3.15,3.16,115.44,104.77,115.91,0.01,0.29,0.54,0.92,1.24,133.64,86.13,28.3,169.07,17.63,620.52,80.6,70.04,37.17,17727.85,8.07,30.13,49.7,13.54,84.22,15.78,-44.04,2.33,-0.2
3563,(주)에스에스컴텍,36500,Dec-15,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,-86.14,-73.86,-75.4,-40.87,-58.65,-26.1,0,-90.31,4.74,-379.91,-2.88,-39.45,-122.53,0,879.94,0.1,0.33,0.44,0.6,0.78,0.68,536.78,603.35,465.9,0,1.41,0.08,0.14,0.17,114.6,109.26,3.2,378.85,11.15,208.22,59.68,87.54,20.88,-8428.97,-6.49,-54.31,-237.98,-46.45,0,0,0,0.48,-2.22
3564,(주)에스에스컴텍,36500,Dec-16,1999-12-14,2017-05-11,,,  화학물질 및 화학제품 제조업; 의약품 제외,4,189.47,-85.43,-46.4,-73.87,-97.73,-77.79,0,-18.87,4.9,-101.3,-16.13,-64.96,-479.44,-2080,1861.55,0.64,3.66,4.22,10.95,6.63,9.31,39.18,33.34,55.03,0.02,0.12,0.39,0.76,0.81,82.94,68.82,5.21,1999.63,-15.31,2.8,536.89,74.43,4.76,-52948.82,-156.04,-2340.96,0,-100.8,0,0,0,5.91,999999999
3586,(주)에스에프씨,112240,Dec-11,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-19.01,17.69,7.47,90.62,146.79,135.5,-24.47,297.57,21.25,9.36,17.25,12.18,19.67,1372,10937.08,1.3,2.1,5.2,3.34,7.72,20.58,17.74,109.23,47.29,0.01,0,1.21,1.73,3.61,252.36,103.27,16.48,48.9,48.44,1482.07,29.43,80.24,67.16,13773.91,18.96,111.97,471.86,19.12,27.18,72.82,48.97,6.33,13.02
3587,(주)에스에프씨,112240,Dec-12,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-14.14,31.63,26.31,11.27,14.46,7.56,-28.24,-20.55,19.27,7.83,7.59,6.31,9.25,302,3756.3,0.81,1.18,3.81,2,3.98,14.77,24.7,182.4,91.72,0,0,0.73,1.02,2.09,253.72,143.01,31.72,44.74,46.99,678.58,32.47,77.57,69.09,11324.85,14.01,76.26,398.64,18.31,34.83,65.17,42.74,4.34,8.43
3588,(주)에스에프씨,112240,Dec-13,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,0,0,0,0,0,0,0,0,19.65,7.39,7.97,6.65,8.77,325,4399.69,0.9,1.19,4.14,2.49,3.03,10.62,34.38,146.43,120.41,0,0,0.88,1.15,2.14,327.29,176.29,33.98,31.88,54.35,741.23,28.66,78.27,75.82,11623.42,14.44,74.55,298,16.05,33.05,66.95,46.05,4.62,18.74
3589,(주)에스에프씨,112240,Dec-14,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-23.47,8,6.57,-6.42,0.02,-10.03,-56.75,-28.64,15.21,4.18,2.46,2.97,3.79,143,3367.28,0.71,0.91,3.07,2.23,2.26,12.19,29.94,163.93,161.72,0,0,0.72,0.93,1.59,402.84,255.43,64.86,23.4,56.57,741.35,30.54,75.25,81.04,8188.96,10.87,48.39,182.21,14.77,47.42,52.58,28.27,3.4,6.35
3590,(주)에스에프씨,112240,Dec-15,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-7.96,-3.99,-0.52,-8.15,1.6,-10.67,-44.28,-27.57,16.86,2.53,-0.59,1.79,2.1,81,3099.25,0.71,0.83,2.75,2.85,2.11,18.63,19.59,127.89,172.7,0,0,0.8,0.95,1.43,786.37,553.07,104.54,11.54,63.89,753.24,29.9,73.2,89.65,6651.17,9.62,41.5,187.39,13.03,54.15,45.85,19.39,3.08,-2.33
3591,(주)에스에프씨,112240,Dec-16,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-7.11,23.36,109.64,41.61,21.67,16.7,43.74,-36.03,12.19,3.91,0.52,2.22,2.7,76,2879,0.57,0.69,1.65,3.85,1.99,12.12,30.1,94.82,183.28,0,0,0.71,0.86,1.11,329.95,276.29,107.33,29.82,42.04,519.84,51.51,60.32,77.03,7753.2,7.92,52.86,231.48,16.36,51.77,48.23,23.91,2.61,1.73
3592,(주)에스에프씨,112240,Dec-17,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-5.87,-42.33,25.48,23.09,-2.36,21.52,-955.06,96.64,12.89,-35.67,-1.11,-14.57,-21.26,-540,1537.04,0.41,0.6,1.02,3.13,1.93,9.46,38.59,116.59,189.12,0,0,0.46,0.68,0.87,164.62,121.3,1.65,63.57,23.38,430.14,66.16,59.55,61.14,-13610.85,-11.29,-117.77,-498.68,-30.51,0,0,0,2.82,-1.99
3593,(주)에스에프씨,112240,Dec-18,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,-20.39,25.52,47.65,14.95,28.92,-7.26,0,-11.4,8.08,-16.7,-6.54,-4.58,-7.03,-174,810.81,0.27,0.42,0.59,1.99,2.02,10.84,33.68,183.09,180.36,0,0,0.32,0.51,0.69,160.39,120.07,9.94,46,18.09,431.84,75.86,48.04,68.49,4705.78,3.4,41.68,174.8,13.25,120.84,-20.84,-126.07,2.73,-4.04
3594,(주)에스에프씨,112240,Dec-19,2011-11-30,2020-06-30,,,  고무 및 플라스틱제품 제조업,4,2.51,-21.06,-22.84,-29.4,-28.16,-36.49,0,-76.4,11.61,-24.78,-5.8,-7.63,-10.94,-214,827.78,0.31,0.45,0.57,3.52,3.05,17.67,20.66,103.71,119.49,0,0,0.41,0.67,0.83,147.73,133.93,4.47,43.42,13.96,310.25,81.44,43.22,69.73,-1224.01,-1.25,-11.01,-42.19,-3.36,0,0,0,2.81,-4.51
3661,(주)에스와이이노베이션,194860,Dec-14,2014-04-25,2017-04-12,삭제,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662,(주)에스와이이노베이션,194860,Dec-15,2014-04-25,2017-04-12,삭제,(코넥스),  고무 및 플라스틱제품 제조업,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,(주)에스와이제이,251540,Dec-17,2017-05-02,2018-09-07,삭제,(코넥스),"  의복, 의복 액세서리 및 모피제품 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3758,(주)에이디모터스,38120,Dec-11,2000-08-24,2013-01-30,,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,  자동차 및 트레일러 제조업,4,12.62,66.21,-26.96,-45.37,-44.38,-72.25,0,63.37,3.17,-265.67,-25.87,-48.68,-61.07,-170,63.27,0.18,0.23,0.28,2.95,4.9,4.77,76.51,123.85,74.43,0.01,0.32,0.44,0.55,0.67,144.95,68.33,15.48,24,6.4,190.95,98.39,20.65,80.65,-14891.97,-68.14,-335.38,-3711.53,-262.74,0,0,0,1.45,-20.26
3814,(주)에이제이에스,13340,Dec-11,1989-09-06,2014-09-02,,,  금속가공제품 제조업; 기계 및 가구 제외,4,-10.85,-8.19,-8.49,22.92,27.85,45.93,356.19,50.27,13.98,4,2.95,2.39,5.48,55,1348.28,0.6,1.37,1.65,3,1.62,3.95,92.46,121.82,224.65,0,1.48,0.54,0.94,1.37,155.5,106.18,6.77,125.34,24.46,220.63,70.91,68.53,44.38,7330.34,7.85,36.18,67,14.47,42.01,57.99,27.63,2.39,1.39
3815,(주)에이제이에스,13340,Dec-12,1989-09-06,2014-09-02,,,  금속가공제품 제조업; 기계 및 가구 제외,4,-11.68,-8.01,-11.8,-0.46,14.49,4.74,-89.37,15.43,13.44,0.48,3.3,0.23,0.48,6,1160.52,0.48,1.01,1.62,2.05,1.26,3.32,109.97,178.41,290.29,0,0,0.43,0.68,1.02,189.87,123.5,0.68,95.9,34.13,213.21,54.63,72.11,51.05,7321.79,7.87,39.51,79.25,16.36,39.39,60.61,2.94,2.3,1.07
3816,(주)에이제이에스,13340,Dec-13,1989-09-06,2014-09-02,,,  금속가공제품 제조업; 기계 및 가구 제외,4,-20.78,-18.1,-19.25,-48.77,-99.85,-60.19,0,-65.82,-49.12,-139.99,-61.85,-70.59,-208.8,-1315,795.95,0.5,1.49,1.51,2.25,1.42,3.1,117.74,161.91,257.27,0,1.75,0.41,0.76,1.14,58.68,41.07,1.7,65433.66,-39.47,0.31,28805.33,56.04,0.15,-38695.79,-81.24,-253.54,-599.31,-109.16,0,0,0,2.09,-18.03
3845,(주)에이치앤아이,103650,Dec-13,2013-12-26,2016-07-14,삭제,(코넥스),"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3846,(주)에이치앤아이,103650,Dec-14,2013-12-26,2016-07-14,삭제,(코넥스),"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3847,(주)에이치앤아이,103650,Dec-15,2013-12-26,2016-07-14,삭제,(코넥스),"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3912,(주)에임하이글로벌,43580,Dec-11,2001-08-02,2018-08-10,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,0,0,0,0,0,0,0,13.27,-19.95,-6.68,-14.78,-15.85,-206,1031.5,0.74,0.79,1.47,345.08,3.84,102.81,3.55,1.06,94.96,0.01,0,1.32,1.5,1.5,736.06,732.87,159.2,7.21,42.79,259.62,54.13,49.51,93.27,-887.65,-5.1,-36.05,-37.78,-6.88,0,0,0,5.24,-164.91
3913,(주)에임하이글로벌,43580,Dec-12,2001-08-02,2018-08-10,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,0,0,0,0,0,0,0,11.29,3.86,4.06,4.5,4.82,66,1638.85,1.17,1.25,2.58,19.63,4.45,38.09,9.58,18.6,81.99,0.01,0,1.93,2.13,2.39,954.5,850.8,294.53,7.05,48.98,253.63,48.48,54.71,93.41,3214.49,16.54,170.46,178.48,14.17,54.53,45.47,27.24,12.03,7.14
3914,(주)에임하이글로벌,43580,Dec-13,2001-08-02,2018-08-10,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,53.06,-12.68,21.49,21.47,3.53,21.45,-91.65,-14.67,6.4,0.21,2.46,0.34,0.4,5,2393.48,1.61,1.88,3.56,32.42,8.09,29.42,12.41,11.26,45.11,0.02,0.09,2.36,2.95,3.24,268.42,247.93,107.28,25.6,34.33,259.25,56.89,54.71,79.62,2895.26,12.26,175.82,185.43,8.34,75.7,24.3,2.52,19.65,5.62
3915,(주)에임하이글로벌,43580,Dec-14,2001-08-02,2018-08-10,,,  도매 및 상품 중개업,4,-46.72,18.71,-8.87,-12.17,-5.07,-14.9,0,48.56,3.46,-5.2,1.85,-4.34,-5.25,-66,1275.15,0.83,1.01,1.81,15.09,6.59,10.75,33.94,24.19,55.36,0.02,0.09,1.17,1.55,1.72,380.23,329.56,41.96,16.2,39.06,246.12,54.61,53,86.06,797.49,3.85,40.79,45.21,4.31,280.99,-180.99,-120.55,10.27,-7.7
3916,(주)에임하이글로벌,43580,Dec-15,2001-08-02,2018-08-10,,,  도매 및 상품 중개업,4,-26.66,-40.68,-21.5,0.55,7.43,20.1,0,-5.85,7.96,-9.45,-1.41,-6.16,-6.93,-88,779.83,0.65,0.73,1.56,9.54,5.72,12.76,28.61,38.27,63.79,0.01,0.4,0.94,1.12,1.27,786.44,704.28,305.32,8.76,55.26,220.49,39.9,63.31,91.95,1707.11,8.19,147.21,166.42,12.59,136.98,-36.98,-75.09,8.71,-28.85
3917,(주)에임하이글로벌,43580,Dec-16,2001-08-02,2018-08-10,,,  도매 및 상품 중개업,4,-67.26,121.32,167.94,64.07,28.32,3.87,0,-73.46,-25.73,-270.17,-20.45,-43.57,-54.8,-503,184.73,0.16,0.2,0.32,5.09,2.67,13.78,26.48,71.74,136.57,0.01,0,0.24,0.33,0.35,151.05,147.02,76.03,36.99,13.55,203.7,82.08,40.08,73,-8914.67,-26.06,-347.36,-447.82,-200.8,0,0,0,2.38,-14.36
3918,(주)에임하이글로벌,43580,Dec-17,2001-08-02,2018-08-10,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,423.82,-17.48,475.72,342.56,443.16,143.5,0,170.12,42.2,-90.64,-4.84,-22.71,-29.91,-572,850.93,0.25,0.28,0.34,34.34,2.72,44.33,8.23,10.63,133.96,0.01,0,0.72,0.99,1.02,390.21,378.66,51.2,6.15,16.4,409.5,82.74,22.05,94.21,-16088.96,-10.63,-759.67,-1561.03,-69.18,0,0,0,9.93,-63.59
