,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
10038,울트라건설(주),4320,Dec-13,1991-12-06,2015-04-13,,,  종합 건설업,4,45.7,0.37,-4.78,-20.16,16.39,-32.49,53.85,-93.91,5.97,0.89,4.03,1.17,9.29,933,80799.97,1.3,9.16,2.7,8.23,1390.83,5.18,70.52,44.35,0.26,0,0,1.15,2.52,3.64,71.42,68.3,3.19,483.8,-18.78,178.57,309.85,46.93,17.13,64597.68,14.53,325.63,807470.97,9.89,57.77,42.23,9.03,32.98,1.71
10039,울트라건설(주),4320,Dec-14,1991-12-06,2015-04-13,,,  종합 건설업,4,-62.51,-2.13,-38.77,-48.05,-210.32,-58.54,0,-52.24,-12.05,-63.17,-14.08,-45.79,0,-22738,30295.71,0.72,0,1.29,36.38,427.29,2.15,170.04,10.03,0.85,0,0,0.61,1.66,1.74,38.94,36.99,3.56,0,-58.71,-196.99,0,37.45,0,-86880.26,-37.61,-447.5,0,-35.48,0,0,0,12.48,-4.58
10052,웨이포트유한공사,900130,Dec-11,2010-07-23,2017-07-25,,,  전문 서비스업,4,0.97,34.75,27.88,31.83,5.89,33.31,-99.42,49.09,14.27,0.03,2.41,0.03,0.08,2,2271.98,0.96,2.61,3.59,3.08,6.65,4.99,73.19,118.4,54.88,0.01,0.21,0.71,1.32,2.3,113.94,62.98,14.39,199.84,9,557.86,79.32,73.54,33.35,3172.75,2.12,9.7,0,2.5,0,0,1.18,4.46,1.24
10053,웨이포트유한공사,900130,Dec-12,2010-07-23,2017-07-25,,,  전문 서비스업,4,6.86,-7.57,6.3,5.24,-19.74,4.86,0,-12.72,7.49,-5.33,-3.38,-4.7,-16.04,-129,2427.94,0.88,3.01,3.32,2.94,5.76,4.74,77.05,124.2,63.4,0.01,0.25,0.62,1.2,2.03,100.16,62.88,10.87,293.16,0.12,475.44,105.06,73.28,25.43,-8678.81,-5.5,-30.28,-68.52,-6.4,0,0,0,4.31,999999999
10054,웨이포트유한공사,900130,Dec-13,2010-07-23,2017-07-25,,,  전문 서비스업,4,12.65,21.36,48.53,31.05,-22.94,24.68,0,27.69,8.93,-6.52,-2.69,-5.47,-28.07,-179,2735.02,0.84,4.3,2.92,3.12,4.77,3.01,121.33,116.99,76.46,0.01,0.2,0.57,1.18,1.89,87.31,54.03,2.91,568.64,-10.13,361.73,202.49,69.72,14.96,-4181.09,-2.02,-15.47,-36.56,-2.74,0,0,0,4.57,-1.31
10055,웨이포트유한공사,900130,Dec-14,2010-07-23,2017-07-25,,,  전문 서비스업,4,10.78,35.93,21.52,11.97,-32.01,7.82,0,-5.27,9.26,-5.96,-3.18,-4.6,-38.85,-181,3029.77,0.77,6.52,2.44,3.16,4.19,2.13,171.57,115.33,87.19,0.03,0.19,0.52,1.13,1.76,83.63,55.62,2.5,1001.19,-13.14,68.19,361.93,67.13,9.08,21022.57,9.08,56.82,226.08,12.42,96.67,3.33,-47.99,3.91,-1.84
10056,웨이포트유한공사,900130,Dec-15,2010-07-23,2017-07-25,,,  전문 서비스업,4,22.17,12.79,26.08,8.74,-19.78,0.26,0,-33.03,17.77,-2.2,0.39,-1.88,-23.97,-81,3701.45,0.86,10.92,2.41,4.76,4.22,2.22,164.22,76.68,86.47,0,0.15,0.58,1.33,1.84,71.95,55.86,1.92,1392.81,-24.12,53.69,568.86,61.89,6.7,29846.21,11.86,62.26,359.7,14.43,66.08,33.92,-15.21,3.9,0.24
10057,웨이포트유한공사,900130,Dec-16,2010-07-23,2017-07-25,,,  전문 서비스업,4,-12.3,-6.47,-2.93,-7.24,-14.44,-9.89,0,-14.6,20.92,-0.97,1.06,-0.73,-11.29,-31,3246.29,0.75,11.6,1.92,5.61,3.59,1.96,185.95,65.01,101.57,0,0.14,0.5,1.22,1.57,67.88,53.49,1.78,1518.52,-28.45,47.87,645.41,60.12,6.18,29676.6,12.71,58.83,324.5,16.36,63.47,36.53,-5.95,3.33,0.66
10144,이디디컴퍼니(주),52650,Dec-11,2001-12-18,2013-04-12,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,159.44,871.9,335.93,11.08,4.12,1.67,0,-10.48,14.94,10.63,3.66,3.6,4.04,86,793.23,0.34,0.38,4.73,4.8,4.19,22.13,16.49,76,87.11,0.01,0,0.33,0.36,0.39,668.59,621.09,1.42,15.89,75.65,426.06,12.8,88.95,86.29,1167.28,3.79,115.14,263.69,11.8,52.47,47.53,90.1,17.7,25.4
10145,이디디컴퍼니(주),52650,Dec-12,2001-12-18,2013-04-12,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-48.82,518.81,97.13,-74.59,-95.56,-95.91,0,0,-48.42,-501.41,-35.06,-131.5,-183,-2089,406,0.26,0.36,1,5.2,2.96,10.17,35.88,70.14,123.21,0.01,0,0.26,0.36,0.38,16.91,16.91,0.6,563.41,-70.34,18.91,568.42,14.32,15.07,-22812.94,-291.53,-363.65,-4417.29,-450.52,0,0,0,1.39,-373.61
