[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
69.31,1.09,7.41,23.35,8.39,15.25,18.35,21.47,37.28,2011,0
69.97,1.32,2.37,14.28,12.78,9.6,17.08,21.92,37.12,2012,0
62.69,1.49,2.85,21.52,5.98,68.35,13.72,19.37,32.55,2013,0
58.46,1.69,4.9,18.37,5.85,23.12,11.28,17.06,29.23,2014,0
68.24,1.07,5.7,25.74,5.86,4.62,9.79,11.48,32.58,2017,0
67.81,1.13,4.26,18.93,9.8,14.88,16.99,19.63,41.82,2018,0
32.53,1.15,17.44,74.57,6.94,27.42,8.11,11.26,54.85,2014,0
30.15,0.69,16.82,130.83,5.03,19.09,-21.71,-19.07,-84.4,2015,0
29.63,0.69,31.66,170.38,4.7,3.39,-13.72,-16.29,2.07,2016,0
39.83,0.75,33.51,104.84,6.21,-0.28,-0.92,-1.88,43.63,2017,0
54.28,0.76,38.12,161.25,4.51,-25.07,-17.34,-27.86,-9.66,2018,0
64.31,0.64,59.98,154.54,3.46,-3.12,-18.41,-31.86,0.0,2011,0
75.95,0.78,45.07,132.37,4.9,-42.78,-2.53,-2.03,23.0,2012,0
80.82,0.83,51.15,115.82,3.71,-14.19,4.94,10.89,45.17,2013,0
83.06,0.75,77.41,102.7,2.74,-12.54,3.68,7.2,35.59,2014,0
84.8,0.84,65.39,79.87,3.38,-12.61,2.13,3.95,36.91,2015,0
84.82,0.64,68.76,86.13,2.65,-2.46,-4.46,-6.62,-11.75,2016,0
83.2,0.72,26.36,100.44,3.24,4.6,-8.73,-13.79,-65.49,2017,0
82.83,0.75,18.54,77.56,3.69,-18.17,-5.9,-10.68,-21.01,2018,0
41.1,0.59,64.5,143.13,2.99,-1.15,-50.63,-76.14,0.0,2016,0
46.76,0.95,31.19,103.94,6.79,-0.8,0.12,-0.15,50.66,2017,0
64.37,0.7,1.11,25.54,5.88,22.11,14.0,11.15,56.88,2011,0
61.63,0.44,1.78,20.78,7.4,0.75,-6.12,-2.52,27.39,2012,0
63.38,0.55,2.74,16.7,5.7,-5.73,4.32,2.04,41.14,2013,0
68.23,0.55,2.67,16.4,3.96,-7.9,13.58,6.35,51.24,2014,0
73.05,0.7,2.01,12.94,4.72,-1.25,17.75,11.3,60.13,2015,0
74.18,0.61,2.26,8.57,4.01,-3.26,14.45,7.84,49.64,2016,0
69.33,0.69,1.95,7.3,4.36,25.41,14.98,8.51,48.96,2017,0
71.88,0.73,3.32,10.83,4.51,1.49,14.68,8.93,48.31,2018,0
58.92,0.42,34.37,93.4,2.69,40.16,-43.79,-25.61,0.0,2012,0
55.83,0.62,24.55,90.02,3.61,8.42,-6.48,-5.31,21.66,2013,0
53.47,0.67,30.58,21.85,3.08,1.7,-12.64,-8.34,-3.84,2014,0
47.74,0.81,30.87,37.18,2.73,36.8,-30.08,-19.71,-534.13,2015,0
47.96,0.73,31.44,78.71,2.62,-13.62,-66.64,-46.26,0.0,2016,0
53.43,0.71,20.98,78.54,3.92,-17.03,-8.7,-8.41,15.66,2017,0
55.36,0.76,15.86,19.95,3.22,-4.62,12.82,11.24,47.92,2018,0
74.32,0.33,69.39,139.61,0.93,-17.78,-9.94,-8.09,19.26,2011,0
75.45,1.71,55.9,238.22,10.75,25.26,2.1,21.31,45.33,2015,0
56.23,1.97,49.19,235.29,13.94,-12.08,1.15,12.19,49.78,2018,0
92.89,0.19,147.47,72.86,2.78,-0.14,22.68,11.25,39.67,2013,0
92.46,0.24,147.47,55.83,3.28,8.62,26.65,13.4,46.47,2014,0
88.08,0.29,147.47,103.84,3.87,129.85,21.8,15.01,46.41,2015,0
71.29,0.21,147.47,152.75,2.23,333.07,17.12,12.04,43.77,2016,0
76.37,0.32,147.47,147.29,3.35,-1.47,22.18,22.56,48.79,2017,0
75.65,0.27,147.47,113.54,3.08,-1.15,19.32,15.03,41.32,2018,0
23.01,0.53,10.54,85.85,6.94,9.7,-36.3,-14.69,-27.11,2012,0
25.34,0.3,25.0,192.9,3.6,0.47,-169.45,-52.45,0.0,2013,0
21.7,0.51,8.9,178.57,8.37,-13.0,-75.65,-66.42,0.0,2014,0
40.62,0.39,10.79,79.59,3.12,4.15,-58.13,-30.52,-66.4,2015,0
38.48,0.39,14.7,133.4,2.38,22.49,-63.01,-29.31,-62.88,2016,0
38.81,0.43,8.7,108.31,3.64,11.5,-40.74,-23.13,-24.53,2017,0
23.7,0.36,9.0,111.02,3.17,8.07,-79.61,-36.15,-184.47,2018,0
85.25,0.93,0.0,22.77,17.47,-0.14,14.23,17.29,0.0,2011,0
86.35,0.8,0.0,20.81,19.08,1.32,15.68,15.53,30.75,2012,0
90.77,0.74,0.0,18.89,19.08,-26.01,15.38,13.9,30.23,2013,0
92.01,0.69,0.0,22.3,14.86,-0.91,17.15,15.04,34.3,2014,0
79.74,0.71,0.16,24.34,8.93,203.44,17.01,15.2,35.04,2015,0
74.41,0.94,0.06,19.97,12.55,37.54,16.87,18.08,37.66,2016,0
61.55,1.15,0.0,21.78,11.94,74.25,15.17,17.75,35.2,2017,0
64.4,1.24,0.0,25.36,10.52,11.81,17.87,22.21,37.73,2018,0
79.63,1.18,42.19,34.48,12.27,329.71,22.88,37.97,85.04,2013,0
42.98,1.98,28.43,23.82,15.15,263.66,16.73,33.91,85.04,2014,0
39.63,0.19,54.64,67.64,8.71,-15.39,-260.27,-48.3,0.0,2018,0
49.18,1.16,10.74,65.93,4.72,119.47,1.51,3.18,33.21,2011,0
51.37,1.16,55.97,85.43,3.88,-21.13,-29.82,-50.5,0.0,2013,0
42.19,1.11,33.77,32.06,4.53,0.38,6.33,5.92,33.78,2016,0
44.41,0.92,30.72,21.57,2.85,9.03,1.79,1.14,26.71,2017,0
41.86,1.02,35.78,24.61,2.99,-16.55,-41.72,-28.66,-168.24,2018,0
29.85,1.73,24.74,96.35,11.88,54.84,6.63,14.78,75.26,2015,0
25.75,2.03,19.77,95.31,16.95,18.5,5.61,12.09,81.41,2016,0
27.17,1.76,24.65,89.09,11.05,-0.28,3.22,5.84,77.88,2017,0
25.74,1.56,36.78,83.79,8.62,5.98,5.03,7.73,69.49,2018,0
37.95,1.73,32.84,129.44,7.87,34.36,10.86,30.13,58.72,2011,0
51.39,1.4,39.78,116.93,5.95,-21.71,0.86,2.94,45.55,2012,0
32.34,1.11,34.56,71.33,6.01,12.73,10.58,16.83,53.5,2013,0
47.23,0.77,16.51,48.62,5.9,-34.85,-4.07,-2.63,21.68,2014,0
61.94,0.63,18.11,17.11,7.13,12.93,5.16,3.85,27.72,2016,0
62.03,0.76,17.5,14.96,8.1,-4.34,-1.23,-0.57,6.69,2017,0
42.26,1.01,14.04,22.71,9.25,83.23,15.56,11.36,37.03,2018,0
46.72,1.44,35.03,86.63,7.76,-3.6,10.52,11.85,52.64,2011,0
53.93,1.3,40.61,79.06,6.13,-14.8,1.87,6.79,37.84,2012,0
40.88,1.06,35.61,41.39,6.27,9.5,11.7,12.59,49.72,2013,0
49.43,0.73,22.12,22.78,6.31,-16.57,21.93,27.59,55.74,2014,0
69.05,0.49,22.18,15.83,5.39,-39.12,25.05,23.61,53.43,2015,0
63.31,0.48,17.34,11.35,7.12,10.75,-4.16,-4.99,-4.6,2016,0
63.96,0.49,16.64,10.16,8.03,-3.37,-3.68,-1.77,-5.68,2017,0
50.33,0.63,13.39,14.39,9.47,55.13,19.08,6.58,35.66,2018,0
44.81,0.86,25.1,15.5,3.19,4.89,13.62,7.0,49.65,2011,0
32.79,1.01,26.63,16.99,3.57,25.65,12.33,7.24,45.38,2012,0
43.92,0.6,21.02,40.46,3.74,1.03,6.72,3.79,38.86,2013,0
27.65,0.9,19.72,32.28,4.13,28.15,8.13,4.31,38.93,2014,0
36.02,0.77,25.89,41.81,3.94,-11.24,-10.06,-5.87,3.41,2015,0
39.18,0.76,27.03,50.65,3.61,-5.02,-3.99,-2.77,17.43,2016,0
38.98,0.75,26.86,75.84,3.26,-4.23,-16.68,-14.48,-31.58,2017,0
43.18,0.69,26.2,94.46,3.3,-0.43,7.03,6.83,33.88,2018,0
41.45,1.04,11.77,13.82,5.24,-3.62,5.34,3.05,28.14,2011,0
46.79,1.03,13.01,14.1,5.47,-8.74,3.45,2.17,17.62,2012,0
51.61,1.01,13.5,14.58,5.49,-7.42,9.41,6.29,37.74,2013,0
60.39,1.11,12.97,15.06,6.85,-15.59,10.03,8.36,49.23,2014,0
57.05,1.29,15.71,23.87,8.87,22.26,9.47,10.69,43.23,2015,0
72.47,1.02,19.49,20.58,9.49,-26.24,18.27,20.07,56.86,2016,0
50.29,0.69,31.24,164.34,6.08,-16.72,-16.22,-33.54,0.0,2011,0
81.57,0.16,8.04,27.15,1.41,201.9,-170.43,-34.1,0.0,2018,0
69.7,1.1,45.01,41.22,2.99,132.59,20.2,32.23,33.41,2012,0
66.53,0.79,50.29,17.59,2.54,-2.49,5.39,4.88,3.57,2013,0
65.4,0.93,32.26,22.69,2.77,6.88,2.06,2.08,6.32,2014,0
69.12,0.88,35.35,20.81,2.41,-10.04,1.72,1.57,7.96,2015,0
75.47,0.72,41.98,15.18,2.94,-1.68,0.7,0.51,4.65,2016,0
71.82,0.45,59.9,15.66,3.73,-6.74,-47.02,-21.21,-95.26,2017,0
72.14,0.63,26.55,15.08,7.75,-10.27,-14.81,-9.19,-16.83,2018,0
56.56,0.76,43.63,227.53,5.87,2.67,-7.12,-38.72,-36.55,2011,0
54.13,0.91,36.31,187.83,9.62,0.02,-6.98,-22.84,-32.68,2012,0
46.2,1.17,22.63,113.68,10.54,8.76,-12.01,-36.18,-17.54,2013,0
