[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
85.74,62.45,8.8,7.04,31.61,20.51,61.04,5.83,14.91,2014,0
65.5,54.26,10.25,12.3,57.64,9.27,46.48,12.42,14.65,2015,0
52.64,40.09,19.88,10.71,46.27,11.46,31.33,3.4,5.71,2017,0
52.51,7.92,1.38,4.96,50.08,49.04,-0.7,4.0,8.05,2012,0
36.03,-23.82,19.58,4.41,45.53,47.92,11.1,2.62,3.81,2011,0
29.28,-29.93,10.62,3.38,62.4,44.66,16.64,8.78,13.05,2013,0
28.35,-24.82,-4.34,3.69,39.7,43.21,-3.08,0.56,0.58,2014,0
55.07,24.61,24.42,9.0,27.44,42.9,-2.66,4.53,5.17,2015,0
72.87,26.12,-0.93,3.07,58.56,18.14,1.66,2.86,9.03,2012,0
61.93,27.76,3.07,3.37,46.68,19.49,17.89,2.62,6.34,2018,0
46.69,33.21,1.45,5.6,41.31,28.87,4.33,4.71,6.48,2014,0
43.51,32.95,3.55,5.91,43.07,25.24,23.88,6.98,7.24,2016,0
37.75,15.93,-2.19,5.12,-6.49,62.94,55.93,-1.67,-1.72,2014,0
23.95,-14.28,-0.88,3.96,24.05,47.6,9.34,1.85,1.01,2017,0
52.62,10.73,10.57,4.49,13.96,56.41,23.19,-1.04,-1.36,2016,0
39.01,32.83,2.45,8.4,23.01,0.0,21.71,5.39,0.0,2013,0
60.63,53.67,8.6,13.75,42.96,0.0,103.03,22.61,6.29,2011,0
46.65,41.65,0.6,10.12,-13.55,0.0,36.32,-17.35,-4.18,2012,0
72.62,67.05,2.7,12.91,58.43,0.0,112.4,19.47,11.12,2017,0
53.7,30.12,10.99,3.86,39.09,20.61,20.45,12.17,10.04,2015,0
55.16,42.53,5.91,4.96,33.76,34.19,115.46,10.72,8.87,2017,0
47.1,0.44,6.82,5.51,36.61,52.76,8.16,4.27,17.38,2012,0
43.4,9.24,3.25,6.34,58.18,52.45,-5.64,8.69,21.03,2012,0
67.71,49.34,88.09,6.64,33.22,14.96,127.62,6.06,7.78,2018,0
71.39,62.01,-2.95,2.58,17.04,33.84,68.79,7.49,6.91,2011,0
73.03,28.86,18.88,8.09,58.47,31.32,-23.08,3.21,15.98,2012,0
79.21,62.06,21.35,5.04,46.95,39.8,101.39,6.45,6.77,2013,0
76.22,64.47,-18.25,10.76,0.0,28.79,31.01,-18.77,-17.52,2017,0
31.4,-22.43,-8.09,3.63,72.48,49.4,-8.88,12.86,21.74,2011,0
29.79,-14.63,-7.64,3.61,55.84,55.12,-5.46,7.35,9.21,2012,0
33.21,0.81,2.16,4.86,52.35,56.79,-2.83,6.25,9.09,2013,0
34.93,3.41,-0.31,4.3,53.95,52.81,-2.86,7.28,9.57,2014,0
37.58,27.62,7.63,4.5,39.88,7.56,20.53,6.27,3.54,2013,0
39.62,29.2,16.04,8.16,6.47,0.0,-0.55,-4.61,-9.36,2016,0
48.73,22.36,44.84,7.41,44.84,12.92,130.8,14.31,29.93,2014,0
46.75,31.99,4.72,8.43,30.1,33.52,25.17,3.05,3.98,2017,0
58.4,40.99,7.31,4.19,64.1,24.97,15.68,10.64,12.7,2017,0
66.01,59.86,0.11,2.02,15.02,39.2,54.22,0.56,0.25,2012,0
59.09,55.51,11.44,10.06,46.68,0.59,52.1,16.84,12.68,2013,0
42.16,37.3,17.55,8.21,46.07,0.95,106.44,19.62,17.04,2018,0
51.31,39.18,29.71,4.48,65.12,6.84,89.27,27.92,19.24,2011,0
66.78,27.84,18.81,10.6,8.53,11.1,29.81,-1.3,-3.29,2015,0
52.19,34.51,0.75,1.72,49.71,29.46,4.04,8.17,6.54,2011,0
41.03,30.95,1.6,4.94,58.03,61.28,-0.47,12.67,7.52,2012,0
45.66,33.26,5.19,4.11,60.33,40.57,-3.79,15.21,8.04,2014,0
48.6,34.69,4.78,2.99,53.92,52.25,-0.89,18.9,10.54,2015,0
57.77,48.22,27.35,2.37,62.01,39.84,4.62,20.13,9.4,2016,0
58.45,48.97,2.7,4.14,69.18,32.94,1.29,17.64,8.91,2018,0
31.77,-4.56,8.56,18.05,42.83,39.33,10.14,1.81,9.84,2013,0
31.06,3.31,8.25,25.0,37.84,32.67,14.77,2.81,8.24,2016,0
41.73,0.89,15.19,5.1,46.57,47.85,-0.11,2.23,4.92,2012,0
38.43,36.41,80.17,4.33,63.78,9.21,119.43,18.24,6.14,2015,0
49.19,36.3,8.13,12.24,46.6,16.56,19.53,5.55,6.51,2013,0
72.72,33.13,32.86,5.57,44.57,33.9,4.52,8.55,16.33,2013,0
61.6,31.34,6.43,6.49,51.34,39.39,7.56,6.92,14.26,2015,0
66.18,33.55,15.32,5.43,45.29,44.65,1.54,6.71,12.17,2016,0
48.61,22.85,0.58,3.87,45.72,48.56,-0.78,8.64,14.27,2011,0
28.33,-9.23,7.52,10.33,50.04,31.72,8.45,1.48,6.19,2012,0
27.87,-6.2,4.1,7.47,52.53,33.03,4.73,3.24,7.33,2015,0
30.91,-6.21,2.75,7.58,50.0,34.74,-1.58,1.54,3.39,2016,0
