회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
동부건설(주),005960,2013/12,-6.56,-47.08,-19.6,  종합 건설업,1978/10/30,,72.9,72.52,6.77,-17.66,617.54,156.22,47.54,-1,-1.47,8.03,376.76,47.49,2.47,-5.2,-8.92,-3.44,-3.82,-24.16,0.74,4.65,1.49,73.34,4.35,4.61,79.1,4.98,83.85,0.1,0.01,-13.93,-34.39,0,-5409,-15.87,-3.5,-23.11,-87.17,0,51621.95,,-2683.58,13.94,0.66,4.95,1.46,1.49,,,,,,181412.9,,,,7.22,58.17,371.75,9.08,111.07,-11.07,-98.19
동부건설(주),005960,2014/12,-13.92,-143.16,-55.23,  종합 건설업,1978/10/30,,67.85,67.64,7.08,-26.18,3392.18,9.13,42.75,-3.53,-2.85,5.69,1563.08,55.24,-3.41,-17.48,-26.18,-8.97,-9.29,-83.48,0.53,4.78,1.05,235.7,3.93,3.25,112.19,1.55,92.84,0,0,-66.06,-91.94,0,-5334,-86.34,-71.07,-60.52,-77.46,0,18436.06,,-3222.3,2.86,0.45,4.27,1.07,1.08,,,,,,50602.3,,,,5.93,100.41,0,5.66,274.31,-174.31,-462.83
동부건설(주),005960,2015/12,-9.86,-151.07,-21.94,  종합 건설업,1978/10/30,,106.67,106.26,41.65,3.27,751.44,159.51,4.19,-1.9,0.62,9.63,405.98,52.32,3.86,-5.1,-10.25,-4.15,-4.91,-75.23,0.96,14.74,2.09,532.86,15.69,6.94,52.6,0.68,23.26,0,0,-29.77,188.53,0,-12946,-16.19,-25.19,-33.49,-12.28,0,20818.2,,-1062.51,11.74,0.79,15.07,1.78,1.79,,,,,,113012.17,,,,18.87,267.57,0,16.19,76.65,23.35,-63.29
동아에스티(주),170900,2017/12,-0.55,-0.92,-0.98,  의료용 물질 및 의약품 제조업,2013/04/08,,188.02,143.13,87.08,21.48,54.81,1376.6,20.04,2.79,-0.31,3.62,83.78,45.88,50.44,4.3,-0.97,2.65,2.43,4.08,0.56,0.95,1.12,5.43,4.99,19.01,19.2,67.22,73.21,0.01,0,-15.65,-1.36,-150.77,-639,-8.31,-3.6,-26.48,-6.92,60.81,65731.34,,2826.71,64.6,0.7,1.58,1.14,1.44,,,,,,128138.49,,,,14.24,39.19,481.38,23.09,84.6,15.4,-4.21
동양철관(주),008970,2013/12,-4.08,-8.44,-13.18,  1차 금속 제조업,1977/03/05,,104.05,79.25,13.96,1.83,117.85,244.19,25.74,-2.65,-2.77,4.02,115.46,47,5.1,-2.75,-3.93,-2.75,-2.85,-5.9,1.04,2.14,1.88,8.95,3.93,5.67,64.39,40.79,92.76,0.01,0.14,2.1,-8.04,0,-108,-5.4,-5.47,12.24,-4.7,0,2732.58,,-75.13,45.9,1.22,2.06,2.31,3.12,,,,,,14010.07,,,,6.46,13.37,24.89,6.29,86.81,13.19,-62.53
동양철관(주),008970,2014/12,-6.16,-13.32,-10.24,  1차 금속 제조업,1977/03/05,,88.68,58.64,1.16,-5.23,114.77,212.38,31.55,-3.4,-4.82,4.36,126.77,40.97,4.24,-4.25,-6.2,-4.11,-4.22,-9.13,0.99,2.15,1.78,7.98,4.08,5.71,63.92,45.73,89.39,0.01,0.16,-14.26,-13.03,0,-152,-5.28,-4.51,-25.25,6.2,0,2452.7,,-104.16,46.56,1.1,1.95,2.25,3.12,,,,,,9041.55,,,,4.87,9.09,17.46,4.52,139.42,-39.42,-137.05
동양철관(주),008970,2016/12,-8.69,-17.35,-24.52,  1차 금속 제조업,1977/03/05,,86.6,55.68,3.88,-6.16,98.39,188.15,27.36,-5.16,-5.58,4.67,119.47,39.78,1.71,-9.26,-11.33,-7.04,-7.1,-14.18,0.77,1.53,1.29,6.36,3.49,5.99,60.97,57.42,104.56,0.01,0.26,-9.98,-8.92,-731.51,-176,-5.57,-7.44,-13.56,26.14,-468.71,1510.46,,-139.93,50.41,0.89,1.37,1.89,2.68,,,,,,8570.61,,,,5.36,9.38,20,6.63,158.93,-58.93,-170.97
동양피스톤(주),092780,2020/12,-2.03,-7.29,-11.84,  자동차 및 트레일러 제조업,2017/12/08,,78.89,43.25,7.39,-11.97,262.07,1416.73,45.5,0.32,-0.24,3.52,200.09,44.74,11.77,0.53,-2.2,0.57,0.49,1.68,0.92,3.16,1.68,4.32,6.78,9.22,39.6,84.5,53.82,0.01,0.53,-1.21,-12.1,0,-580,1.88,0.42,-3.16,-11.39,-90.77,24418.12,,129.69,27.62,0.93,1.92,2.04,3.88,,,,,,86377.67,,,,24.96,51.98,89.37,26.86,81.27,18.73,-8.18
동원금속(주),018500,2018/03,-1.87,-14.85,-12.99,  자동차 및 트레일러 제조업,1995/11/10,,46.92,25.64,7.25,-36.33,660.77,290.83,45.11,-0.29,0.16,4.31,516.53,32.1,12.91,-0.71,-2.2,-0.59,-0.6,-4.81,0.85,6.76,1.25,5.99,8.32,4.54,80.48,60.98,43.87,0.04,0.1,4.95,15.33,0,-260,5.31,5.23,4.35,10.73,-117.79,11831.16,,-84.15,13.14,0.86,1.37,2.64,4.72,,,,,,146022.24,,,,28.23,51.3,84.09,34.05,68.36,31.64,-6.45
동원수산(주),030720,2013/12,-6.83,-20.06,-0.95,  어업,1996/11/22,,195.87,94.61,21.2,29.38,176.16,215.78,52.17,-5.59,-10.09,3.49,110.42,60.01,-0.24,-9.15,-6.72,-8.4,-9.29,-23.99,1.02,2.62,2.72,2.84,13.1,20.58,17.73,128.63,27.87,0.01,0,11.59,-3.98,0,-2588,49.84,29.36,2.23,-15.79,0,31199.58,,-2855.06,36.21,1.08,4.34,1.62,3.79,,,,,,11616.68,,,,9.56,35.92,739.74,9.93,151.89,-51.89,-67.66
동원수산(주),030720,2014/12,-6.8,-19.53,-5.8,  어업,1996/11/22,,213.54,118.12,41.11,29.03,191.25,167.91,47.83,-5.26,-6.09,4.03,132.23,54.6,-0.89,-10.68,-6.82,-9.63,-10.64,-30.09,1,2.82,2.35,3.55,17.43,14.06,25.96,102.72,20.94,0.01,0.14,-17.9,-15.73,0,-1912,-8.69,-6.79,-25.31,-35.44,0,27139.32,,-2898.68,34.33,1.16,3.56,1.73,3.37,,,,,,12686.69,,,,12.72,43.49,1002.51,11.52,130.72,-30.72,-59.23
동원수산(주),030720,2020/12,-3.41,-6.53,-11.35,  어업,1996/11/22,,193.19,107.65,51.6,33.23,103.81,206.28,31.45,-2,-1.55,3.61,63.42,68.88,8.17,-1.44,-2.31,-1.67,-2.13,-4.23,1.48,2.94,4.61,5.15,17.91,21.82,16.73,70.84,20.38,0.01,0.8,-0.54,-5.72,0,-701,-20,-6.05,2.17,12.98,0,31236.96,,-449.75,49.07,1.48,9.05,2.17,3.76,,,,,,20999.48,,,,21.4,147.05,3540.3,14.45,94.6,5.4,-15.96
동원시스템즈(주),014820,2012/12,-0.25,-0.48,-10.24,  고무 및 플라스틱제품 제조업,1994/03/29,,97.44,77.28,5.64,-1.54,368.15,138.17,42.61,1.09,1.25,7.42,195.09,58.33,12.39,3.89,-0.26,4.06,3.75,18.09,0.96,4.65,2.76,7.48,6.58,7.31,49.91,48.76,55.45,0.02,0.15,-7.33,-1.02,0,-3,4.22,35.06,-24.31,-17.79,-32.47,3392.68,,132.01,21.36,0.81,10.85,1.48,1.84,,,,,,56003.31,,,,13.4,147.38,352.98,13.39,58.35,41.65,-1.92
두산건설(주),011160,2012/12,-14.29,-69.81,-14.59,  종합 건설업,1996/01/30,2020/03/24,86.86,85.5,4.86,-9.03,568.94,69.28,48.26,-2.12,-4.21,10.3,269.48,59.72,11.14,-18.89,-27.51,-8.68,-9.81,-47.93,0.52,2.54,1.52,45.26,2.3,3.21,113.76,8.06,158.95,0.02,0.02,-20.09,-52,0,-3771,0.73,9.53,-32.42,-43.43,0,13704.09,,-2589.17,14.95,0.42,2.72,0.79,0.8,,,,,,-427339.64,,,,-10.51,-48.92,-1168.7,-17.98,0,0,0
두산건설(주),011160,2013/12,-1.34,-4.6,-0.93,  종합 건설업,1996/01/30,2020/03/24,109.81,108.42,6.85,4.57,145.62,69.91,31.13,0.33,0.53,9.82,119.86,51.2,10.52,2.44,-2.56,1.66,1.27,4.37,0.52,1.8,1.16,67.25,3.91,3.39,107.55,5.43,93.24,0,0.01,21.76,231.6,0,-137,21.36,47.5,4.4,-15.42,0,5342.74,,130.14,40.71,0.47,2.42,0.95,0.96,,,,,,375695.58,,,,7.59,35.4,825.13,15.95,70.53,29.47,-16.06
두산건설(주),011160,2015/12,-11.13,-30.84,-23.63,  종합 건설업,1996/01/30,2020/03/24,71.27,68.11,4.57,-16.1,198.78,336.29,33.13,-1.05,-2.3,10.15,179.42,39.95,6.36,-9.25,-28.84,-3.41,-3.57,-9.89,0.39,1.07,0.71,34.9,3.36,2.45,148.77,10.46,108.61,0,0.03,-17.68,-27.94,0,-10079,-24.82,-1.49,-33.98,162.85,0,21986.32,,-2032.73,33.47,0.39,1.94,0.85,0.87,,,,,,-81296.17,,,,-1.92,-10.19,-225.98,-4.5,0,0,0
