회사명,거래소코드,회계년도,산업명,상장일,상장폐지일,[제조]매출액(수익)(*)(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
현대약품(주),004310,2018/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대약품(주),004310,2019/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대약품(주),004310,2020/11,  의료용 물질 및 의약품 제조업,1978/05/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대에너지솔루션(주),322000,2017/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대에너지솔루션(주),322000,2018/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대에너지솔루션(주),322000,2019/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019/11/19,,446103343,227.74,150.49,41.2,41.82,51.37,567.6,5.11,68.28,999999999,1.31,38.51,74.56,14.6,4.95,5.28,4.72,4.58,4.89,7.41,6.94,0.93,1.4,3.64,3.67,3.87,6.87,53.13,99.56,94.28,0.01,1.5,0,0,0,0,2788,0,0,0,0,0,39830.66,,1969.63,66.06,0.86,4.7,1.24,1.88,,,,,,37275.27,,,,7.75,47.31,103.87,8.36,39.64,60.36,63.17
현대에너지솔루션(주),322000,2020/12,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2019/11/19,,394396713,287.83,186.25,103.56,44.37,39.39,587.04,14.47,10.41,-65.83,1.86,44.61,68,13.42,2.23,1.58,2.01,1.87,1.33,1.93,2.72,0.84,1.22,2.93,3.41,4.08,7.07,51.62,107.19,89.38,0.01,2.39,-11.59,-4.76,3.43,-73.57,556,4.85,19.79,-13.14,-9.63,-60.2,35213.99,,783.99,71.74,0.84,4.05,1.18,1.8,,,,,,8573.77,,,,1.87,10.07,27.16,2.17,159.27,-59.27,72.59
현대엘리베이터(주),017800,2011/12,  기타 기계 및 장비 제조업,1996/07/03,,879189143,151.4,148.35,32.93,14.31,150.93,1009.02,31.44,1.03,-16.66,5.82,145.17,42.15,9.95,3.25,-29.72,2.71,2.04,-18.7,-46.07,5.04,0.63,1.55,1.04,81.76,4.84,7.33,49.8,4.46,75.49,0.03,0.01,5.24,-5.41,-8.66,0,-25465,-1.83,-12.6,6.63,15.53,-48.64,81918.29,,2661.93,39.85,0.91,8.26,1.58,1.62,,,,,,-212828.89,,,,-15.66,-202.42,-4589.41,-24.21,0,0,0
현대엘리베이터(주),017800,2012/12,  기타 기계 및 장비 제조업,1996/07/03,,915619507,125.77,123.7,54.97,9.63,219.3,659.12,35.16,1.75,-15.91,6.45,169.29,46.98,13.67,5.38,-29.6,4.62,3.76,-20.65,-57.78,10.51,0.7,1.95,1.26,85.94,5.25,8.68,42.05,4.25,69.46,0.03,0.01,4.14,-6.81,-26.77,0,-25517,-21.46,-14.6,3.88,-15.17,72.52,85199.17,,4586.31,31.32,0.91,9.73,1.57,1.6,,,,,,-169716,,,,-13.4,-205.98,-3746.75,-18.54,0,0,0
현대엘리베이터(주),017800,2013/12,  기타 기계 및 장비 제조업,1996/07/03,,1066212843,88.43,86.74,15.59,-7.08,652.37,233.59,26.16,4.06,-23.79,6.39,344.89,54.16,17.56,9.25,-32.14,8.68,7.98,-27.74,-123.19,35.44,0.86,3.83,1.74,95.77,6.37,9.97,36.61,3.81,57.29,0.04,0.01,16.45,-4.88,-59.85,0,-26473,20.72,-17.76,9.65,27.68,100.09,82508.68,,7631.94,13.29,0.87,11.67,1.71,1.74,,,,,,-256606.75,,,,-21.31,-288.17,-4916.92,-24.07,0,0,0
