회사명,거래소코드,회계년도,매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
전방(주),000950,2017/12,-9.12,  섬유제품 제조업; 의복제외,1968/10/21,,28.62,12.07,0.66,-38.15,177.71,1772.65,50.18,-1.74,-0.46,4.58,235.23,15.3,-4.64,-9.95,-7.15,-4.03,-4.04,-2.91,-7.76,-11.52,0.41,1.16,0.48,4.35,7.15,46.2,7.9,83.95,51.06,0.01,0,-14.58,-7.88,0,-10570,-4.95,-13.67,-19.3,-22.81,0,108622.11,,-10802.95,36.01,0.58,0.54,2.58,6.33,,,,,,33834.82,,,,8.18,10.19,62.59,18.54,73.13,26.87,-38.54
전방(주),000950,2018/12,-18.17,  섬유제품 제조업; 의복제외,1968/10/21,,31.57,9.55,0.26,-38.11,191.25,1487.85,52.4,-0.97,-2.24,4.54,240.05,17.58,-1.64,-5.84,-15.57,-2.23,-2.24,-5.98,-16.98,-6.36,0.38,1.09,0.46,3.68,7.21,60.11,6.07,99.24,50.59,0.01,0,-11.97,-16.07,0,-20406,-14.81,-14.35,1.18,22.06,0,88883.96,,-5187.69,34.33,0.54,0.49,2.35,6.49,,,,,,10088.41,,,,2.77,3.57,22.55,6.76,186.41,-86.41,-230.48
전방(주),000950,2019/12,-7.93,  섬유제품 제조업; 의복제외,1968/10/21,,19.8,7.04,0.2,-42.68,194.38,1563.39,50.18,-3.17,-3.22,4.99,263.36,10.54,-15.76,-22.18,-29.28,-8.11,-8.12,-10.73,-31.41,-23.79,0.37,1.07,0.43,3.88,8.75,87.89,4.15,94.09,41.74,0.01,0,6.21,5.08,0,-35329,16.05,15.28,-36.35,-41.2,0,81835.56,,-18150.14,33.97,0.54,0.45,2.63,8.12,,,,,,-3618.94,,,,-0.94,-1.1,-10.29,-2.63,0,0,0
전방(주),000950,2020/12,-23.52,  섬유제품 제조업; 의복제외,1968/10/21,,104.42,96.43,0.84,2.51,166.11,1670.59,45.32,-2.21,-2.09,4.48,108.51,59.22,-11.98,-17.08,5.61,-4.71,-4.72,1.55,4.35,-13.22,0.28,0.77,0.42,4.87,6.62,133.91,2.73,74.95,55.18,0.01,0,-3.4,6.86,0,5181,-58.22,-55.97,442.96,-35.47,0,62590.61,,-10687.55,37.58,0.31,0.45,0.8,0.96,,,,,,8312.94,,,,2.23,6.06,31.56,7.91,168.26,-68.26,71.01
제이더블유생명과학(주),234080,2013/12,-0.53,  의료용 물질 및 의약품 제조업,2016/10/27,,37.48,23.18,0.13,-30.64,121.79,175.67,41.36,1.54,1.72,7.69,181.06,18.37,18.88,8.94,1.84,5.11,5.11,1.05,2.37,11.49,0.57,1.29,0.69,8.77,5.73,16.43,22.21,41.62,63.68,0.01,0,-1.17,1.73,-52.92,265,-6.06,-5.05,20.79,14.85,-9.5,14676.08,,1312.2,45.09,0.9,0.71,3.42,5.61,,,,,,35765.19,,,,23.19,29.85,124.88,40.36,42.34,57.66,4.56
제이더블유중외제약(주),001060,2013/12,-0.73,  의료용 물질 및 의약품 제조업,1976/06/14,,102.47,78.72,0.3,1.33,193.6,573.35,53.25,1.25,1.18,6.15,132.15,54.99,36.65,6.57,0.58,4.61,4.34,0.38,1.25,14.22,0.66,2.16,1.47,5.43,1.67,12.22,29.86,67.25,219.11,0,0,-2.28,22.65,0,173,-5.15,-2.2,-2.35,7.09,173.03,28146.78,,1849.41,34.06,0.62,2.66,1.2,1.54,,,,,,97438.18,,,,16.53,69.57,407.25,24.72,58.25,41.75,2.33
제이더블유중외제약(주),001060,2019/12,-4.81,  의료용 물질 및 의약품 제조업,1976/06/14,,120.53,88,15.06,9.96,149.12,425.35,32.72,-1.69,-2.08,6.22,103.5,58.45,31.51,-3.72,-4.94,-3.24,-3.26,-4.33,-10.31,-7.76,0.88,2.09,2.23,5.33,2.56,11.42,31.96,68.46,142.54,0.01,0,-3.47,-11.54,-413.71,-1129,25.96,8.31,-10.39,-10.78,-188.09,23211.54,,-863.11,40.14,0.84,3.84,1.44,1.98,,,,,,84696.57,,,,14.78,57.48,582.7,16.56,103.24,-3.24,-29.84
제이더블유홀딩스(주),096760,2010/12,-0.44,  전문 서비스업,2007/07/31,,101.47,74.44,2.44,0.65,286.84,503.49,62.23,0.98,0.91,8.39,213.95,44.69,43.34,7.43,-1.75,4.92,4.84,-1.14,-10.32,17.27,0.65,2.32,1.16,4.47,2.46,15.89,22.97,81.57,148.53,0,0,40.02,7.83,0,-246,51.75,35.73,45.72,-8.57,-19.58,11997.95,,892,25.85,0.76,1.58,1.48,2.21,,,,,,177438.68,,,,17.86,53.21,328.23,32.01,62.84,37.16,-5.46
제이더블유홀딩스(주),096760,2011/12,-6.9,  전문 서비스업,2007/07/31,,92.46,71.65,1.8,-3.69,343.91,419.84,64.92,0.13,0.06,6.95,243.15,45.23,40.69,1.19,-8.67,0.63,0.59,-4.28,-29.71,2.43,0.49,2.05,0.9,4.49,1.62,13.81,26.43,81.27,225.85,0,0,10.18,-14.14,0,-682,11.6,9.12,11.49,-5.78,-85.14,10848.41,,128.72,22.53,0.54,1.15,1.1,1.45,,,,,,143797.75,,,,13.13,30.75,210.3,27.87,74.95,25.05,-31.1
제이더블유홀딩스(주),096760,2012/12,-0.79,  전문 서비스업,2007/07/31,,70.99,54.68,1.45,-17.58,424.25,315.98,68.71,0.07,0.11,7.49,298.66,43.03,38.94,0.72,-8.1,0.52,0.34,-3.82,-24.86,1.63,0.47,2.26,0.84,4.7,1.53,14.39,25.36,77.71,238.24,0,0,-1.61,-22.5,0,-454,-18.47,2.33,-6.39,-4.46,-40,10452.48,,75,19.07,0.48,1.19,1.07,1.38,,,,,,152106.08,,,,14.12,39.91,243.97,29.71,71.77,28.23,-27.26
