회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)포스코플랜텍,051310,2011/12,-8.41,-44.66,55.6,  종합 건설업,2007/11/29,2016/04/15,101.41,97.66,7.47,0.87,552.77,442.13,58.38,-0.78,-1.86,6.19,243.21,62.74,1.61,-2.95,-8.76,-2.69,-2.83,-14.64,0.96,4.96,2.43,36.27,0,7.49,48.72,10.06,0,0,0.03,19.71,-24.81,0,-1305,-0.97,5.48,30.14,-8.58,0,13686.32,,-403.6,15.32,0.86,3.15,1.59,1.66,,,,,,21928.97,,,,3.01,10.86,72.05,3.42,195.48,-95.48,-256.17
(주)금양,001570,2016/12,-11.92,-44.99,6.09,  화학물질 및 화학제품 제조업; 의약품 제외,1976/12/27,,69.19,54.92,12.95,-23.05,418.85,171.55,51.71,3.26,-7.36,4.32,250.28,51.76,18.47,7.19,-12.17,7.38,7.04,26.24,0.98,3.65,2.5,8.29,4.47,17.57,20.77,44.05,81.67,0.01,0,8.16,-40.91,-241.36,-608,34.92,77.84,-20.77,-11.62,76.9,4286.34,,308.17,19.27,0.77,3.8,1.61,2,,,,,,-10089.35,,,,-5.64,-20.87,-103.08,-5.98,0,0,0
삼화전자공업(주),011230,2018/12,-6.64,-45.38,-4.74,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1987/05/25,,54.6,37.71,11.18,-23.16,233.79,142.17,33.19,-3.08,-3.15,3.5,240.82,27.85,7.77,-7.57,-10.15,-4.94,-4.95,-27.45,0.65,3.63,0.93,6.09,4.22,5.32,68.65,59.89,86.43,0.01,0.2,-0.06,276.76,0,-422,15.77,6.16,-13.24,-33.06,0,4160.89,,-314.93,29.96,0.69,1,2.18,3.4,,,,,,10972.63,,,,17.07,24.21,159.35,26.07,89.45,10.55,-38.91
(주)에스와이코퍼레이션,008080,2011/12,-24.66,-45.78,0,"  의료, 정밀, 광학기기 및 시계 제조업",1987/12/21,2013/09/25,150.22,125.75,39.76,19.86,89.69,110.57,26.92,3.45,999999999,7.53,77.01,59.4,18.35,4.98,-17.54,11.37,7,13.28,1.41,2.67,3.46,14.53,7.52,12.62,28.91,25.12,48.53,0.02,0.11,0,0,0,-265,0,0,0,0,0,1473.56,,73.39,52.72,1.42,12.55,2.37,2.83,,,,,,-25640.49,,,,-29.81,-269.39,-953.89,-21.2,0,0,0
동양철관(주),008970,2017/12,-19.74,-45.85,13.79,  1차 금속 제조업,1977/03/05,,68.07,49.98,5.26,-19.72,183.91,121.41,31.96,-3.32,-15.49,4.26,164.55,42.04,3.81,-4.41,-20.8,-4.13,-4.18,-9.72,0.95,2.2,1.6,7.45,4.39,7.07,51.65,48.98,83.06,0.01,0.21,-5.87,-34.23,0,-354,-7.58,-9.4,-0.53,-25.98,0,1686.2,,-74.37,35.22,1,1.67,2.32,3.37,,,,,,-8449.59,,,,-5.62,-10.01,-22.74,-5.74,0,0,0
한신공영(주),004960,2014/12,-8.15,-46.02,-21.3,  종합 건설업,1976/07/07,,94.87,78.51,10.9,-3.73,634.54,359.63,28.55,-1.93,-10,9.67,227.41,69.04,0.62,-6.66,-10.72,-3.4,-5.06,-28.42,0.76,4.27,3.12,6.81,3507.47,2.38,153.1,53.6,0.1,0,0,-12.18,-44.67,0,-11790,-3.03,45.96,-25.49,-0.41,0,110051.04,,-7327.79,13.61,0.53,101.65,1.01,1.18,,,,,,-71873.6,,,,-5.35,-680.21,-76461.28,-6.59,0,0,0
현대엘리베이터(주),017800,2011/12,-18.7,-46.07,5.24,  기타 기계 및 장비 제조업,1996/07/03,,151.4,148.35,32.93,14.31,150.93,1009.02,31.44,1.03,-16.66,5.82,145.17,42.15,9.95,3.25,-29.72,2.71,2.04,5.04,0.63,1.55,1.04,81.76,4.84,7.33,49.8,4.46,75.49,0.03,0.01,-5.41,-8.66,0,-25465,-1.83,-12.6,6.63,15.53,-48.64,81918.29,,2661.93,39.85,0.91,8.26,1.58,1.62,,,,,,-212828.89,,,,-15.66,-202.42,-4589.41,-24.21,0,0,0
(주)아이에이치큐,003560,2010/12,-28.54,-46.54,0,  영상ㆍ오디오 기록물 제작 및 배급업,1973/12/18,,48.81,46.03,8.37,-18.45,63.09,132.76,16.83,-12.33,-12.33,15.35,134.39,17.6,4.37,-17.66,-15.82,-31.41,-31.86,-51.96,1.8,2.94,2.19,179.85,39.9,26.58,13.73,2.03,9.15,0,0.01,0,0,0,-157,0,0,0,0,0,976.58,,-172.44,61.32,3.36,52.77,10.25,10.87,,,,,,1695.39,,,,3.88,113.57,1494.2,4.3,250.87,-150.87,-367.52
(주)토니모리,214420,2020/12,-18.21,-46.89,-34.05,  화학물질 및 화학제품 제조업; 의약품 제외,2015/07/10,,86.71,63.38,18.92,-6.16,183.53,1777.16,47.88,-6.44,-12.19,4.03,169.61,40.18,49.46,-22.5,-34.92,-11.42,-11.74,-30.56,0.52,1.36,0.96,4.92,6.03,17.71,20.61,74.11,60.55,0.01,0,-19.37,-36.53,0,-2165,-15.96,-3.21,-35.42,-16.25,0,6431.89,,-1447.33,35.27,0.6,1.64,1.14,1.48,,,,,,-13807.03,,,,-7.11,-27.61,-202.21,-12.17,0,0,0
팜젠사이언스(주),004720,2011/12,-20.66,-46.96,0,  의료용 물질 및 의약품 제조업,1990/06/15,,145.55,117.76,10.05,23.06,129.11,59.11,29.81,-2.72,-5.36,11.21,60.31,73.68,54.76,-13.97,-31.7,-8.95,-9.1,-20.86,0.65,1.49,2.48,4.63,1.49,41,8.9,78.77,244.52,0,0,0,0,0,-148,0,0,0,0,0,439.03,,-61.32,43.65,0.52,3.81,0.88,1.09,,,,,,1992.86,,,,4.65,27.22,92.75,7.14,414.21,-314.21,-443.92
동부건설(주),005960,2013/12,-6.56,-47.08,-19.6,  종합 건설업,1978/10/30,,72.9,72.52,6.77,-17.66,617.54,156.22,47.54,-1,-1.47,8.03,376.76,47.49,2.47,-5.2,-8.92,-3.44,-3.82,-24.16,0.74,4.65,1.49,73.34,4.35,4.61,79.1,4.98,83.85,0.1,0.01,-13.93,-34.39,0,-5409,-15.87,-3.5,-23.11,-87.17,0,51621.95,,-2683.58,13.94,0.66,4.95,1.46,1.49,,,,,,181412.9,,,,7.22,58.17,371.75,9.08,111.07,-11.07,-98.19
(주)DB하이텍,000990,2014/12,-7.54,-47.32,14.98,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1975/12/12,,65.77,47.39,10.72,-13.08,715.95,54.23,66.85,0.67,-0.35,10.23,610.83,25.14,24.11,8.03,-13.56,4.65,4.46,28,0.56,3.49,0.72,8.02,8.06,17.22,21.2,45.51,45.31,0.01,0,-6.95,-41.05,0,-1915,-6.96,-11.75,11.04,-4.42,0,12754.51,,1023.57,12.26,0.86,0.92,2.41,3.45,,,,,,187341.51,,,,19.02,33.99,136.97,33,68.59,31.41,-41.11
흥아해운(주),003280,2017/12,-8.13,-47.52,0.56,  수상 운송업,1976/06/29,,35.76,29.58,6.17,-24.48,626.32,183.04,31.84,-0.42,-1.36,11.69,627.36,13.63,2.09,-1.57,-8.79,-1.43,-1.45,-8.47,0.93,5.41,1.05,44.09,23.08,15.39,23.71,8.28,15.81,2.64,0.02,-11.43,-39.28,0,-581,-16.5,-14.38,13.29,11.18,-322.17,6549.25,,-102.56,13.77,2.09,1.36,7.68,9.3,,,,,,46072.27,,,,5.43,8.35,1535742359.33,5.51,131.19,-31.19,-159.53
(주)국보,001140,2019/12,-8.16,-47.63,24.51,  육상운송 및 파이프라인 운송업,1989/12/02,,93.59,35.9,7.4,-4.18,303.29,139.91,45.92,-0.35,-2.66,8.42,156.97,61.08,19.91,-1.09,-7.49,-0.31,-1.18,-4.61,1.09,4.24,2.19,4.07,7.96,8.31,43.93,89.71,45.85,0.01,0.27,139.39,23.7,0,-370,-30.63,23.25,499.18,12147.46,0,20397.18,,-221.74,24.8,0.96,6.36,2.17,4.64,,,,,,8104.48,,,,7.03,70.68,90049744.33,9.1,131.56,-31.56,-82.38
대우자동차판매(주),004550,2011/12,-4.73,-47.68,-92.24,  자동차 및 부품 판매업,1978/07/28,2012/06/22,104.57,104.54,12.33,0.12,486.92,103.18,1.57,-0.44,0.9,31.47,571.18,2.68,11.09,-197.44,-188.76,-4.9,-4.95,-49.03,0.03,0.25,0.03,1.09,0.48,0.61,595.45,335.66,760.43,0,1.05,-42.04,69.53,0,0,-99,-23.03,-94.18,-99.99,0,1042.52,,-2058.37,17.04,0.04,0.38,0.14,0.16,,,,,,219066.41,,,,15.52,8600.88,0,454.05,5.86,94.14,-41.57
롯데관광개발(주),032350,2018/12,-24.85,-47.74,8.23,  사업지원 서비스업,2006/06/08,,295.31,295.15,17.63,28.73,80.38,870.55,5.81,25.6,999999999,0.34,102.03,43.44,41.94,3.95,-148.37,0.71,0.66,1.33,0.17,0.34,0.25,1272.77,9.54,488.28,0.75,0.29,38.26,0.03,0,26.13,66.12,-3344.33,-2199,8.83,-8.23,146.14,0,-42.45,1675.87,,66.18,55.44,0.32,0.37,0.49,0.49,,,,,,-84922.36,,,,-16.76,-79.22,0,-111.63,0,0,0
