,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
9771,인포뱅크(주),39290,2013-12-01,2006-07-04,,  정보서비스업,5,0,12.7
9795,자이글(주),234920,2017-12-01,2016-09-06,,  전기장비 제조업,5,0,-19.12
9799,잘만테크(주),90120,2011-12-01,2007-05-22,2015-05-13,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,55.04
9800,잘만테크(주),90120,2012-12-01,2007-05-22,2015-05-13,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,80.69
9822,제룡산업(주),147830,2012-12-01,2012-02-13,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,608.41
9841,제이더블유신약(주),67290,2011-12-01,2003-02-11,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,2.77
9842,제이더블유신약(주),67290,2012-12-01,2003-02-11,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,-1.19
9862,제이씨케미칼(주),137950,2012-12-01,2011-08-08,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,-17.44
9871,제이씨현시스템(주),33320,2011-12-01,1997-11-10,,  도매 및 상품 중개업,5,0,3.16
9872,제이씨현시스템(주),33320,2012-12-01,1997-11-10,,  도매 및 상품 중개업,5,0,-4.85
9929,조아제약(주),34940,2013-12-01,1999-08-13,,  의료용 물질 및 의약품 제조업,5,0,7.02
9930,조아제약(주),34940,2014-12-01,1999-08-13,,  의료용 물질 및 의약품 제조업,5,0,-1.88
9969,지더블유바이텍(주),36180,2019-12-01,1999-12-21,,  도매 및 상품 중개업,5,0,14.37
9979,지엔원에너지(주),270520,2020-12-01,2017-08-22,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,0,303597.11
9980,지엘팜텍(주),204840,2016-12-01,2014-11-20,,  연구개발업,5,0,46256.02
9982,지엘팜텍(주),204840,2018-12-01,2014-11-20,,  연구개발업,5,0,231.34
10003,차이나크리스탈신소재홀딩스,900250,2015-12-01,2016-01-28,,  전문 서비스업,5,0,14.97
10018,참존글로벌(주),158310,2015-12-01,2013-04-03,,  기타 기계 및 장비 제조업,6,0,-44.64
