회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,회계년도_y,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
(주)휴맥스홀딩스,28080,2015-12-01,1997-04-16,,  전문 서비스업,5,-5.54,0,-7.77,-7.83,-10.57,-9.49,-1005.49,0,0,-150.63,3.35,-10.24,-10.93,-2056,1250.99,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0.75,1.84,1.84,58.78,58.78,12.61,10.26,-2.56,3208.11,106.24,3.65,90.69,-18546.06,-8.35,0,0,-117.87,0,0,0,283.85,13.84,2015,12,2015-12-01,-5.543644165,10000,,-7.768347463,-9.489180814,-11.41815167,-7.832315661,10000
(주)휴맥스홀딩스,28080,2016-12-01,1997-04-16,,  전문 서비스업,5,-64.29,0,1.76,-0.28,-4.34,-54.09,0,0,0,-43.44,1.57,-1.1,-1.24,-222,446.76,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0.22,0.95,0.95,14.89,14.89,9.95,14.95,-9.6,3068.79,113.02,1.68,86.99,120.72,0.05,83.63,0,2.15,947.41,-847.41,-2021.79,77.85,4.38,2016,12,2016-12-01,-64.28707891,10000,,1.761143414,-54.08898307,-4.349458771,-0.277640455,-89.54448318
(주)휴맥스홀딩스,28080,2017-12-01,1997-04-16,,  전문 서비스업,5,-27.36,-3.44,-13.59,-13.03,-14.51,19.68,0,0,-206.21,-713.21,-5.21,-14.06,-16.25,-2664,324.55,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.14,1,1,16.42,16.42,11.94,16.98,-11.77,2623.65,114.28,2.31,85.48,-28312.03,-14.7,-20310.83,0,-693.58,0,0,0,28.77,-12.04,2017,12,2017-12-01,-27.35601034,-3.438673298,,-13.59232779,19.68369217,-14.54028532,-13.03308221,10000
(주)휴맥스홀딩스,28080,2018-12-01,1997-04-16,,  전문 서비스업,5,-35.46,-28.04,-11.87,-7.4,-4.23,222.97,0,0,0,-436.71,-8.82,-8.04,-8.97,-1257,249.94,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.13,0.44,0.44,75.83,75.83,14.02,9.68,-2.12,2380.26,102.4,6.64,91.17,-16239.37,-9.89,-16188.89,0,-516.58,0,0,0,26.23,-15.71,2018,12,2018-12-01,-22.98844436,-28.03707477,,-18.54191695,144.6361263,-9.094736164,-14.76781028,-52.80834537
(주)휴맥스홀딩스,28080,2019-12-01,1997-04-16,,  전문 서비스업,5,194.3614717,0,0,0,0,0,0,0,0,63.03,0.79,3.44,3.81,534,735.72,0.05,0.06,0.06,0,0,0,0,0,0,0,0,0.26,0.44,0.44,148,148,51.29,10.76,4.05,2435.11,96.94,12.48,90.29,9514.43,5.61,15538.86,0,102.82,6.52,93.48,61.3,151.13,1.78,2019,12,2019-12-01,194.3614717,-38.96044342,,-3.153183892,94.20605078,2.304384616,3.309999022,10000
(주)휴맥스홀딩스,28080,2020-12-01,1997-04-16,,  전문 서비스업,5,-44.86,30.77,-7.24,-9.48,-15.33,-25.16,0,0,0,-428.96,-12.28,-13.55,-15.48,-2005,405.69,0.03,0.04,0.04,0,14.45,0,0,0,25.27,0.04,0.07,0.14,0.28,0.28,76,76,11.01,18.42,-3.26,2061.78,106.2,10.32,84.45,-16835.77,-10.97,-21026.08,0,-329.95,0,0,0,72.22,-31.01,2020,12,2020-12-01,-44.85801625,30.77086396,,-7.241874873,-25.15909373,-15.33090895,-9.477815251,10000
(주)휴먼텍코리아,66060,2011-12-01,2002-08-16,2013-04-12,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",4,-17.64,-47.79,104.45,-8.18,-64.3,-30.45,0,0,-1.93,-26.99,-13.11,-22.23,-94.19,-1345,4932.6,0.82,3.49,3.14,0,3.5,3.12,116.89,0,104.24,0,2.64,0.56,1.12,1.12,73.35,73.35,7.74,671.02,-22.98,148.71,283.43,63.24,12.97,-19091.89,-11.1,-1127.09,0,-12.9,0,0,0,59.93,-5.64,2011,12,2011-12-01,-17.64169332,-47.78986802,,104.4537684,-30.4539083,-64.30350113,-8.182308834,10000
(주)휴먼텍코리아,66060,2012-12-01,2002-08-16,2013-04-12,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",4,9.19,-11.21,-43.12,-33.71,-317.72,-28.24,0,0,-17.22,-43.93,-26.13,-49.64,0,-2390,5385.67,1.13,0,3.26,0,6.13,2.93,124.51,0,59.54,0,0.31,0.65,1.73,1.73,48.4,48.4,1.89,0,-72.97,-323.76,0,68.46,0,-40858.95,-35.84,-2716.73,0,-25.29,0,0,0,101.05,-6.79,2012,12,2012-12-01,9.185031289,-11.21249421,,-43.12325347,-28.24237873,10000,-33.71268897,77.73555797
(주)희림종합건축사사무소,37440,2011-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,-15.79,-8.57,-3.19,4.51,-14.71,6.15,0,0,11.34,-2.65,-1.49,-3.14,-5.9,-276,9701.33,1.18,2.22,7.01,0,1.72,11.39,32.04,0,211.6,0.01,0,1,1.42,1.42,267.38,267.38,7.01,108.83,52.43,802.86,33.93,83.75,47.89,57424.72,49.2,746.18,4031.99,42.52,94.64,5.36,-6.24,16.77,-1.05,2011,12,2011-12-01,-15.79255832,-8.569209616,,-3.187779076,6.14607809,-14.71463873,4.508757082,10000
(주)희림종합건축사사무소,37440,2012-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,7.63,4.28,3.81,9.29,0.69,10.35,0,0,14.4,0.71,4.67,0.84,1.84,81,10441.59,1.19,2.59,7.52,0,2.35,10.18,35.85,0,155.51,0.01,0,1.03,1.41,1.41,266.07,266.07,5.92,126.65,52.78,808.42,34.99,84.56,44.12,63907.56,50.1,854.26,5069.02,43.96,84.48,15.52,1.61,18.49,2.11,2012,12,2012-12-01,7.630508197,4.275117983,,3.811025291,10.34956741,0.693002578,9.287062096,10000
