,회사명,거래소코드,종가(원),주가변동률,year
133,(주)국보디자인,66620,12250.0,-0.33877551020408164,2019
134,(주)국보디자인,66620,21750.0,0.4367816091954023,2020
135,(주)국순당,43650,8300.0,-0.30120481927710846,2011
136,(주)국순당,43650,7890.0,-0.051964512040557666,2012
137,(주)국순당,43650,6100.0,-0.2934426229508197,2013
138,(주)국순당,43650,6500.0,0.06153846153846154,2014
139,(주)국순당,43650,7120.0,0.08707865168539326,2015
140,(주)국순당,43650,6470.0,-0.10046367851622875,2016
141,(주)국순당,43650,6100.0,-0.060655737704918035,2017
142,(주)국순당,43650,3960.0,-0.5404040404040404,2018
143,(주)국순당,43650,3595.0,-0.10152990264255911,2019
144,(주)국순당,43650,8030.0,0.5523038605230386,2020
145,(주)국영지앤엠,6050,1720.0,0.4069767441860465,2011
146,(주)국영지앤엠,6050,1080.0,-0.5925925925925926,2012
147,(주)국영지앤엠,6050,1045.0,-0.03349282296650718,2013
148,(주)국영지앤엠,6050,1260.0,0.17063492063492064,2014
149,(주)국영지앤엠,6050,2000.0,0.37,2015
150,(주)국영지앤엠,6050,1380.0,-0.4492753623188406,2016
151,(주)국영지앤엠,6050,1235.0,-0.11740890688259109,2017
152,(주)국영지앤엠,6050,1425.0,0.13333333333333333,2018
153,(주)국영지앤엠,6050,3170.0,0.5504731861198738,2019
154,(주)국영지앤엠,6050,2850.0,-0.11228070175438597,2020
155,(주)국전약품,307750,2010.0,-0.009950248756218905,2019
156,(주)국전약품,307750,6940.0,0.7103746397694525,2020
157,(주)그래디언트,35080,5670.0,0.15608465608465608,2011
158,(주)그래디언트,35080,8050.0,0.2956521739130435,2012
159,(주)그래디언트,35080,12200.0,0.3401639344262295,2013
160,(주)그래디언트,35080,9080.0,-0.3436123348017621,2014
161,(주)그래디언트,35080,9420.0,0.036093418259023353,2015
162,(주)그래디언트,35080,4800.0,-0.9625,2016
163,(주)그래디언트,35080,3620.0,-0.3259668508287293,2017
164,(주)그래디언트,35080,2380.0,-0.5210084033613446,2018
165,(주)그래디언트,35080,1310.0,-0.816793893129771,2019
166,(주)그래디언트,35080,4865.0,0.7307297019527236,2020
167,(주)그리티,204020,1765.0,-3.6628895184135977,2019
168,(주)그리티,204020,3150.0,0.4396825396825397,2020
169,(주)그린플러스,186230,12450.0,0.39518072289156625,2020
170,(주)글로벌스탠다드테크놀로지,83450,3700.0,-0.0891891891891892,2011
171,(주)글로벌스탠다드테크놀로지,83450,5190.0,0.28709055876685935,2012
172,(주)글로벌스탠다드테크놀로지,83450,4690.0,-0.10660980810234541,2013
173,(주)글로벌스탠다드테크놀로지,83450,6270.0,0.25199362041467305,2014
174,(주)글로벌스탠다드테크놀로지,83450,5160.0,-0.21511627906976744,2015
175,(주)글로벌스탠다드테크놀로지,83450,7130.0,0.2762973352033661,2016
176,(주)글로벌스탠다드테크놀로지,83450,10350.0,0.3111111111111111,2017
177,(주)글로벌스탠다드테크놀로지,83450,6370.0,-0.6248037676609105,2018
178,(주)글로벌스탠다드테크놀로지,83450,11700.0,0.45555555555555555,2019
179,(주)글로벌스탠다드테크놀로지,83450,21800.0,0.463302752293578,2020
180,(주)금빛,45890,2700.0,-0.4740740740740741,2011
181,(주)금빛,45890,2500.0,-0.08,2012
182,(주)금빛,45890,2285.0,-0.09409190371991247,2013
183,(주)금빛,45890,1565.0,-0.46006389776357826,2014
184,(주)금빛,45890,1900.0,0.1763157894736842,2015
185,(주)금빛,45890,1890.0,-0.005291005291005291,2016
186,(주)금빛,45890,1740.0,-0.08620689655172414,2017
187,(주)금빛,45890,4735.0,0.6325237592397043,2018
188,(주)금빛,45890,1990.0,-1.379396984924623,2019
189,(주)금화피에스시,36190,14200.0,0.2147887323943662,2011
190,(주)금화피에스시,36190,24150.0,0.41200828157349895,2012
191,(주)금화피에스시,36190,38350.0,0.37027379400260757,2013
192,(주)금화피에스시,36190,50000.0,0.233,2014
193,(주)금화피에스시,36190,36750.0,-0.36054421768707484,2015
194,(주)금화피에스시,36190,36500.0,-0.00684931506849315,2016
195,(주)금화피에스시,36190,37450.0,0.025367156208277702,2017
196,(주)금화피에스시,36190,31650.0,-0.18325434439178515,2018
197,(주)금화피에스시,36190,23850.0,-0.3270440251572327,2019
198,(주)금화피에스시,36190,29800.0,0.19966442953020133,2020
199,(주)기가레인,49080,9440.0,-0.038135593220338986,2014
200,(주)기가레인,49080,5930.0,-0.5919055649241147,2015
201,(주)기가레인,49080,5280.0,-0.12310606060606061,2016
202,(주)기가레인,49080,2815.0,-0.8756660746003553,2017
203,(주)기가레인,49080,1970.0,-0.4289340101522843,2018
204,(주)기가레인,49080,800.0,-1.4625,2019
205,(주)기가레인,49080,2025.0,0.6049382716049383,2020
206,(주)기산텔레콤,35460,1940.0,-0.21391752577319587,2011
207,(주)기산텔레콤,35460,2450.0,0.20816326530612245,2012
208,(주)기산텔레콤,35460,2245.0,-0.09131403118040089,2013
209,(주)기산텔레콤,35460,2315.0,0.03023758099352052,2014
210,(주)기산텔레콤,35460,3220.0,0.281055900621118,2015
211,(주)기산텔레콤,35460,3790.0,0.1503957783641161,2016
212,(주)기산텔레콤,35460,2785.0,-0.3608617594254937,2017
213,(주)기산텔레콤,35460,2515.0,-0.1073558648111332,2018
214,(주)기산텔레콤,35460,1960.0,-0.28316326530612246,2019
215,(주)기산텔레콤,35460,2915.0,0.3276157804459691,2020
216,(주)까스텔바작,308100,13350.0,0.29213483146067415,2020
217,(주)나노,187790,1975.0,-0.8987341772151899,2015
218,(주)나노,187790,1920.0,-0.028645833333333332,2016
219,(주)나노,187790,3680.0,0.4782608695652174,2017
220,(주)나노,187790,2700.0,-0.362962962962963,2018
221,(주)나노,187790,1155.0,-1.3376623376623376,2019
222,(주)나노,187790,1515.0,0.2376237623762376,2020
223,(주)나노브릭,286750,19250.0,0.6228571428571429,2020
224,(주)나노신소재,121600,23950.0,0.22755741127348644,2011
225,(주)나노신소재,121600,21900.0,-0.09360730593607305,2012
226,(주)나노신소재,121600,20450.0,-0.07090464547677261,2013
227,(주)나노신소재,121600,17300.0,-0.18208092485549132,2014
228,(주)나노신소재,121600,16500.0,-0.048484848484848485,2015
229,(주)나노신소재,121600,12250.0,-0.3469387755102041,2016
230,(주)나노신소재,121600,17650.0,0.3059490084985836,2017
231,(주)나노신소재,121600,18600.0,0.051075268817204304,2018
232,(주)나노신소재,121600,10300.0,-0.8058252427184466,2019
233,(주)나노신소재,121600,28200.0,0.6347517730496454,2020
234,(주)나노엔텍,39860,3935.0,-0.5705209656925032,2011
235,(주)나노엔텍,39860,4700.0,0.16276595744680852,2012
236,(주)나노엔텍,39860,7680.0,0.3880208333333333,2013
237,(주)나노엔텍,39860,6210.0,-0.23671497584541062,2014
238,(주)나노엔텍,39860,6570.0,0.0547945205479452,2015
239,(주)나노엔텍,39860,4900.0,-0.3408163265306122,2016
240,(주)나노엔텍,39860,5620.0,0.12811387900355872,2017
241,(주)나노엔텍,39860,5440.0,-0.03308823529411765,2018
242,(주)나노엔텍,39860,5160.0,-0.05426356589147287,2019
243,(주)나노엔텍,39860,7110.0,0.2742616033755274,2020
244,(주)나노트로닉스,10670,3865.0,0.029754204398447608,2011
245,(주)나무가,190510,41650.0,-0.7959183673469388,2016
246,(주)나무가,190510,20700.0,-1.0120772946859904,2017
247,(주)나무가,190510,32800.0,0.36890243902439024,2018
248,(주)나무가,190510,11150.0,-1.9417040358744395,2019
249,(주)나무가,190510,10600.0,-0.05188679245283019,2020
250,(주)나스미디어,89600,32500.0,0.46923076923076923,2014
251,(주)나스미디어,89600,48750.0,0.3333333333333333,2015
