회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,label
(주)홈캐스트,64240,2014-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,-5.77,-28.96,96.5,69.9,75.31,46.47,0.0,-23.48,29.76,1.84,6.02,1.45,2.45,67.0,3392.07,0.79,1.29,1.53,9.68,3.95,11.36,32.12,37.69,92.45,0.01,0.44,0.94,1.62,1.95,130.99,115.0,31.24,61.99,10.84,580.31,87.74,45.84,61.73,8883.21,7.76,44.91,0.0,12.42,45.56,54.44,14.85,3.0,3.09,2014,12,0
(주)홈캐스트,64240,2015-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,35.88,-47.69,-17.72,7.53,40.1,37.37,468.69,75.42,33.81,7.96,6.95,6.52,9.13,254.0,3117.41,0.82,1.14,1.72,11.02,4.11,11.73,31.12,33.12,88.89,0.01,0.29,1.04,1.56,1.82,324.54,273.95,92.44,22.93,40.51,632.01,50.95,58.56,81.35,13229.67,10.75,127.86,0.0,13.61,32.26,67.74,58.49,6.45,13.19,2015,12,0
(주)홈캐스트,64240,2016-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,25.61,-6.39,-2.49,18.52,13.92,33.39,54.73,-6.09,32.99,9.93,13.59,9.01,11.32,387.0,3869.36,0.91,1.14,2.42,11.21,3.59,13.66,26.72,32.56,101.58,0.01,0.87,1.1,1.45,1.67,306.03,272.44,126.96,27.89,44.37,696.91,43.61,65.9,78.19,19246.83,13.2,198.72,22472.27,15.77,22.84,77.16,62.95,12.19,46.61,2016,12,0
(주)홈캐스트,64240,2017-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,-66.47,-0.57,32.94,-24.42,-16.28,-54.11,-241.23,-67.12,28.64,-41.82,-2.81,-13.37,-16.34,-536.0,1269.98,0.32,0.39,0.71,5.84,1.95,11.42,31.96,62.51,187.45,0.0,0.0,0.44,0.58,0.65,302.9,279.09,185.1,15.44,26.81,583.48,69.24,40.02,86.63,-12460.09,-11.31,-129.38,-15132.12,-30.45,0.0,0.0,0.0,4.24,-6.2,2017,12,0
(주)홈캐스트,64240,2018-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,-16.23,-0.67,-40.16,6.48,-20.6,76.37,17.6,279.97,16.72,-59.3,-4.42,-17.87,-23.5,-631.0,1061.98,0.3,0.36,0.65,4.12,1.97,6.79,53.79,88.62,185.73,0.0,0.0,0.44,0.56,0.65,385.43,320.13,166.14,20.83,49.09,462.45,40.73,66.29,82.76,-15668.0,-13.35,-163.78,-19140.93,-45.71,0.0,0.0,0.0,3.57,-9.39,2018,12,0
(주)홈캐스트,64240,2019-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,54.11,-1.65,-13.59,-17.72,-7.73,-19.83,-49.81,-15.74,22.08,-27.19,-7.98,-13.43,-13.86,-313.0,1636.62,0.49,0.57,1.43,4.35,1.9,9.42,38.75,83.88,192.39,0.0,0.0,0.62,0.75,0.91,663.75,545.57,241.74,11.02,54.86,416.34,39.31,64.6,90.07,-6394.33,-6.62,-67.96,-8412.15,-12.1,0.0,0.0,0.0,5.57,-25.76,2019,12,0
(주)홈캐스트,64240,2020-12-01,2003-06-11,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,-23.01,-0.75,-8.24,-1.94,-2.58,1.51,-82.95,5.19,27.66,-11.41,-2.0,-4.85,-2.49,-53.0,1229.01,0.43,0.48,1.24,3.57,2.0,20.7,17.63,102.23,182.45,0.0,0.0,0.55,0.65,0.79,516.56,421.26,207.1,15.19,53.93,405.61,38.16,66.87,86.81,2194.61,2.32,23.5,3027.5,5.4,246.13,-146.13,-211.47,4.34,-15.88,2020,12,0
(주)화신정공,126640,2012-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,68.92,19.79,-0.14,1.31,0.54,4.53,297.77,118.77,5.88,3.35,7.02,5.82,8.51,181.0,5249.65,1.73,2.54,2.53,64.45,12.16,8.39,43.49,5.66,30.02,0.0,0.01,3.06,5.5,6.01,122.32,108.31,32.54,46.82,5.85,2069.07,99.77,32.04,68.11,18154.26,16.73,49.63,143.0,9.71,42.75,57.25,34.54,5.15,26.47,2012,12,0
(주)화신정공,126640,2013-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,36.28,15.61,13.54,10.13,9.08,2.92,-14.22,12.55,4.97,2.11,7.79,4.72,6.96,156.0,7089.61,2.23,3.3,3.24,60.21,10.27,10.49,34.79,6.06,35.53,0.15,0.02,3.83,7.22,8.21,104.65,91.55,4.11,48.23,1.33,2243.15,103.85,29.94,67.46,20230.26,16.93,44.86,117.91,7.94,46.48,53.52,26.59,5.98,24.33,2013,12,0
(주)화신정공,126640,2014-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,-2.31,-1.22,-14.89,-6.9,-4.09,11.79,-6.83,-10.88,4.11,2.01,6.0,4.34,6.34,143.0,6844.2,2.16,3.15,3.21,58.74,7.68,9.63,37.9,6.21,47.5,0.06,0.02,3.53,6.57,7.4,128.24,115.44,1.61,43.88,7.92,2126.08,92.15,35.96,69.5,19864.53,17.85,44.65,115.01,7.98,48.31,51.69,25.23,5.48,42.23,2014,12,0
(주)화신정공,126640,2015-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,-6.67,-3.39,-12.53,-5.88,2.18,5.97,-13.29,2.43,3.95,1.87,5.19,4.02,5.56,124.0,6387.72,2.15,2.97,3.48,57.47,7.06,10.1,36.15,6.35,51.67,0.05,0.02,3.39,5.64,6.25,179.43,162.11,31.84,32.53,17.92,2172.53,78.88,40.48,75.45,20011.65,19.11,47.56,119.51,8.61,50.58,49.42,21.71,5.23,101.16,2015,12,0
(주)화신정공,126640,2016-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,-11.76,-1.98,4.99,12.19,4.09,22.78,-12.38,57.47,4.12,1.86,4.42,3.43,4.72,109.0,5636.84,1.85,2.54,3.21,38.93,6.09,8.57,42.58,9.38,59.93,0.04,0.03,2.71,4.34,4.89,156.38,137.02,25.19,42.85,15.97,2261.29,79.57,44.3,70.0,20422.54,17.38,49.95,124.74,9.96,53.75,46.25,18.64,4.75,4193.018749999999,2016,12,0
