회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,label
(주)대성파인텍,104040,2012-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,8.0,-8.08,-3.53,-3.81,17.6,-4.01,-2.95,-16.06,18.95,10.51,11.91,9.22,15.2,723.0,6732.38,0.88,1.44,2.09,7.91,3.23,6.52,55.95,46.13,112.99,0.01,0.22,0.95,1.51,1.87,189.54,155.79,37.39,49.19,27.39,1002.68,62.68,57.99,67.03,10565.87,26.97,82.69,160.4,30.13,42.36,57.64,34.88,2.63,16.88,2012,12,0
(주)대성파인텍,104040,2013-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,1.4,-1.35,-2.1,6.61,9.65,12.92,-14.0,-0.96,20.8,8.89,12.13,7.81,11.54,633.0,6826.54,0.88,1.29,2.18,8.83,3.06,7.56,48.31,41.32,119.29,0.01,0.23,0.99,1.47,1.76,218.37,184.27,77.33,45.16,33.29,1099.47,56.0,61.42,68.89,11375.84,27.23,100.24,208.6,31.99,45.01,54.99,27.79,2.8,40.85,2013,12,0
(주)대성파인텍,104040,2014-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,9.31,73.63,56.18,25.65,11.43,6.48,5.24,61.55,17.43,8.53,8.87,7.04,10.98,662.0,7409.03,0.82,1.28,1.88,7.42,3.35,8.43,43.32,49.2,108.93,0.01,0.43,0.94,1.47,1.83,153.3,116.98,37.85,63.81,18.1,1195.55,78.55,52.05,61.05,11437.62,21.79,52.65,148.18,29.42,49.76,50.24,28.99,2.25,19.72,2014,12,0
(주)대성파인텍,104040,2015-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,13.88,0.13,0.49,12.66,13.42,23.87,20.95,1.57,20.55,9.05,9.8,7.18,11.81,790.0,8292.63,0.79,1.3,1.75,6.79,3.47,9.63,37.91,53.79,105.22,0.01,1.6,0.91,1.45,1.84,187.68,151.22,59.02,62.87,26.74,1355.99,69.67,57.23,61.4,14034.18,23.73,64.44,183.14,31.7,51.22,48.78,28.54,2.02,18.82,2015,12,0
(주)대성파인텍,104040,2016-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,7.7,30.17,28.42,14.6,15.49,4.26,-1.4,-18.29,18.28,8.29,8.03,6.23,10.17,143.0,8931.41,0.75,1.22,1.65,7.98,3.48,10.2,35.79,45.73,104.97,0.01,0.79,0.9,1.38,1.67,184.52,156.43,75.38,61.72,23.85,1482.09,77.52,52.07,61.84,14811.26,21.86,51.94,175.53,31.07,52.42,47.58,26.68,1.89,8.21,2016,12,0
(주)대성파인텍,104040,2017-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,-9.32,80.34,70.12,29.21,16.58,-8.45,-45.76,20.37,20.61,4.94,4.34,2.75,4.75,77.0,1532.94,0.56,0.95,0.99,7.3,3.32,8.34,43.79,49.97,110.08,0.01,0.44,0.79,1.28,1.55,146.16,116.9,50.83,79.36,11.65,1556.81,113.19,36.89,55.75,13769.27,15.73,29.52,194.99,31.85,62.24,37.76,15.53,1.08,5.57,2017,12,0
(주)대성파인텍,104040,2018-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,-10.75,8.11,11.98,5.53,5.91,-5.5,38.24,17.49,15.6,7.73,1.02,3.31,5.93,95.0,1232.78,0.43,0.77,0.66,5.49,3.41,7.96,45.83,66.51,107.08,0.01,1.07,0.72,1.23,1.58,140.69,105.67,45.59,78.69,9.55,1648.76,119.66,33.03,55.96,13954.51,15.1,32.15,268.28,36.16,59.34,40.66,21.37,0.72,0.87,2018,12,0
(주)대성파인텍,104040,2019-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,-2.91,-7.06,4.93,-0.44,2.67,-11.32,-59.0,-19.59,12.65,3.52,0.64,1.43,2.33,39.0,1196.96,0.41,0.71,0.59,5.47,3.73,10.34,35.3,66.76,97.98,0.01,0.0,0.75,1.3,1.71,127.49,98.72,50.19,72.92,6.35,1692.73,122.04,29.42,57.83,10748.25,11.68,21.69,109.76,28.69,68.94,31.06,12.28,0.7,0.32,2019,12,0
(주)대성파인텍,104040,2020-12-01,2009-01-23,,  자동차 및 트레일러 제조업,5,-14.43,-13.86,-15.74,-3.99,3.81,27.74,691.08,-1.38,16.11,4.93,1.16,1.78,2.99,52.0,1025.12,0.36,0.61,0.53,5.29,3.48,11.07,32.97,69.01,104.96,0.01,0.0,0.61,1.15,1.48,112.52,90.8,46.52,61.33,4.0,1719.46,103.35,35.94,61.98,12143.14,13.98,27.74,127.41,37.84,52.99,47.01,13.03,0.67,1.48,2020,12,0
(주)대원,7680,2017-12-01,2017-12-01,,  종합 건설업,5,8.39,6.52,-19.18,-0.14,10.8,7.52,-39.84,13.15,14.38,8.14,5.94,5.49,9.93,2249.0,28650.18,0.67,1.16,2.6,2.81,147.66,6.64,54.94,130.08,2.47,0.01,0.01,0.62,0.91,1.35,242.32,161.76,86.79,64.77,45.1,4361.55,38.23,76.8,60.69,59986.24,13.96,200.07,679.41,20.69,33.63,66.37,39.35,9.84,82.37,2017,12,0
(주)대원,7680,2018-12-01,2017-12-01,,  종합 건설업,5,14.87,-37.84,-1.43,3.46,13.16,4.93,32.21,-47.09,13.66,9.22,7.5,7.03,11.72,2723.0,30139.7,0.76,1.22,3.36,3.97,197.15,8.84,41.3,91.92,1.85,0.02,0.01,0.73,0.99,1.31,335.14,278.96,126.83,54.88,54.65,4935.54,34.24,77.89,64.56,67056.7,15.09,356.47,2091.01,20.13,26.97,73.03,45.8,13.51,286.36,2018,12,0
(주)대원,7680,2019-12-01,2017-12-01,,  종합 건설업,5,-25.36,237.2,76.93,16.68,2.62,-0.42,-69.0,-55.71,13.95,3.73,3.55,1.92,3.38,845.0,22442.13,0.52,0.85,1.83,5.94,82.64,7.88,46.34,61.48,4.42,0.05,0.01,0.54,0.72,0.82,258.09,238.85,47.96,72.8,40.72,5052.13,57.93,66.48,57.87,37754.3,7.28,59.42,575.23,15.19,46.55,53.45,24.53,6.02,4.63,2019,12,0
(주)대원,7680,2020-12-01,2017-12-01,,  종합 건설업,5,-15.48,-51.56,-26.56,0.35,-3.89,13.92,0.0,578.5,18.52,-4.8,1.36,-1.94,-3.71,-889.0,18102.56,0.4,0.7,1.39,2.1,33.84,9.71,37.58,173.81,10.79,0.01,0.04,0.41,0.57,0.78,250.94,139.52,66.03,75.16,45.39,4494.78,42.97,75.47,57.09,17804.06,3.42,57.9,1184.51,8.47,124.19,-24.19,-56.63,4.44,1.17,2020,12,0
(주)대유,290380,2018-12-01,2018-08-10,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0.88,-0.65,-0.21,86.86,107.42,140.2,10.98,23.41,63.9,21.07,13.91,11.62,13.43,838.0,95815.43,0.55,0.64,2.08,4.21,15.55,62.84,5.81,86.76,23.47,0.01,0.0,0.7,0.75,0.91,2209.59,1901.56,677.18,11.59,76.11,1344.85,22.64,79.71,89.61,15220.19,22.41,139.13,7357.83,52.95,51.48,48.52,39.8,2.58,156.43,2018,12,0
(주)대유,290380,2019-12-01,2018-08-10,,  화학물질 및 화학제품 제조업; 의약품 제외,5,3.24,19.87,27.05,6.51,3.98,1.29,-18.9,-0.51,62.32,16.55,8.4,7.0,7.91,543.0,3278.31,0.42,0.48,1.9,3.94,15.64,61.44,5.94,92.6,23.34,0.01,0.0,0.52,0.54,0.63,1820.34,1571.07,228.11,14.31,71.64,1398.34,27.66,75.8,87.48,15192.69,21.0,138.65,6914.0,51.19,62.87,37.13,32.34,2.43,303.7,2019,12,0
(주)대유,290380,2020-12-01,2018-08-10,,  화학물질 및 화학제품 제조업; 의약품 제외,5,13.34,10.02,3.32,30.43,4.15,39.08,1.35,13.63,61.62,14.8,5.96,5.97,7.71,552.0,3715.68,0.4,0.52,1.89,4.19,19.3,70.83,5.15,87.05,18.91,0.01,0.0,0.43,0.51,0.58,327.94,291.25,193.84,43.16,56.18,1456.36,27.44,80.83,69.85,19319.33,20.47,133.35,10948.4,57.44,67.95,32.05,25.77,2.41,9.16,2020,12,0
(주)대유에이피,290120,2019-12-01,2018-12-07,,  자동차 및 트레일러 제조업,5,-18.82,24.56,32.66,56.81,16.19,84.02,-0.81,0.0,12.4,5.07,8.18,6.22,17.09,733.0,14466.44,1.23,3.28,2.74,12.28,6.15,7.14,51.11,29.72,59.4,0.03,0.09,1.11,2.22,2.72,99.32,81.33,10.9,167.21,-0.38,857.68,119.73,55.19,37.42,29112.3,22.69,98.66,298.65,18.49,50.6,49.4,27.4,5.11,10.99,2019,12,0
(주)대유에이피,290120,2020-12-01,2018-12-07,,  자동차 및 트레일러 제조업,5,9.14,21.37,46.8,34.81,7.11,25.08,-27.75,60.99,17.56,3.36,10.28,3.83,11.93,530.0,15789.08,1.14,3.5,2.42,10.27,6.8,6.76,53.96,35.54,53.64,0.03,0.1,1.03,2.16,2.73,85.03,65.21,19.48,245.41,-9.02,918.61,168.53,51.21,28.95,32166.1,18.6,102.65,349.82,18.72,58.66,41.34,17.94,5.03,6.43,2020,12,0
(주)대창솔루션,96350,2011-12-01,2007-12-17,,  기타 운송장비 제조업,5,10.47,-0.46,2.94,0.8,0.32,-5.49,-68.76,0.22,9.24,2.6,2.98,1.47,2.46,185.0,7044.38,0.56,0.94,0.75,5.89,5.16,9.78,37.33,61.94,70.71,0.01,0.78,1.08,2.29,3.74,99.75,59.86,19.83,67.79,-0.06,1496.01,127.78,23.84,59.6,15580.0,11.08,16.67,152.4,19.75,54.66,45.34,13.18,0.8,2.11,2011,12,0
(주)대창솔루션,96350,2012-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-12.63,14.5,20.61,21.49,-3.23,24.28,0.0,0.0,8.73,-3.34,0.85,-1.35,-2.85,-211.0,6154.85,0.4,0.85,0.53,4.88,4.36,5.09,71.64,74.77,83.74,0.01,0.24,0.72,1.66,2.5,76.76,50.73,8.9,110.64,-7.39,1446.24,159.27,24.39,47.47,10499.13,6.15,9.37,87.49,15.23,81.8,18.2,-21.95,0.61,0.62,2012,12,0
(주)대창솔루션,96350,2013-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,38.15,-9.79,-10.01,-1.77,-0.64,23.78,-70.82,34.72,7.15,-0.75,-1.88,-0.42,-0.83,-62.0,8502.97,0.56,1.18,0.78,5.75,6.07,7.43,49.16,63.52,60.13,0.01,0.23,0.94,2.04,3.17,93.23,58.83,23.63,108.02,-2.23,1436.99,144.09,30.74,48.07,17608.52,10.5,17.49,167.94,18.49,69.9,30.1,-4.05,0.89,-1.23,2013,12,0
(주)대창솔루션,96350,2014-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-13.21,-2.14,-5.59,-8.39,-18.99,-14.7,0.0,-16.14,3.08,-15.56,-4.19,-8.0,-17.16,-1173.0,7379.54,0.51,1.13,0.73,4.73,5.98,7.96,45.84,77.24,60.99,0.01,0.36,0.79,1.73,2.73,74.07,47.2,21.27,135.69,-10.02,1164.15,168.24,28.62,42.43,7544.34,4.91,7.68,84.27,9.13,192.81,-92.81,-170.51,0.82,-2.46,2014,12,0
(주)대창솔루션,96350,2015-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-27.8,7.98,6.74,0.18,-3.87,-16.2,-83.02,0.97,11.58,-3.65,0.18,-1.42,-3.32,-206.0,5328.29,0.39,0.93,0.53,3.72,4.89,8.44,43.26,98.06,74.66,0.01,5.74,0.57,1.48,2.45,53.78,30.27,5.19,145.58,-20.58,1119.09,186.78,23.94,40.72,14364.55,9.33,14.99,194.76,24.07,73.08,26.92,-15.17,0.58,-0.05,2015,12,0
(주)대창솔루션,96350,2016-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-17.34,0.8,-0.39,-4.82,-7.06,-18.89,294.56,-12.66,1.41,-16.97,-3.91,-5.57,-13.85,-814.0,4404.28,0.33,0.82,0.42,3.27,4.23,8.61,42.41,111.66,86.29,0.01,0.0,0.49,1.48,2.7,45.65,24.16,1.16,151.35,-24.29,1040.08,200.07,20.4,39.79,5883.58,4.02,5.44,36.25,11.93,171.38,-71.38,-142.31,0.46,-2.1,2016,12,0
(주)대창솔루션,96350,2017-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-13.28,-2.43,-2.79,-6.28,-3.56,-19.86,35.28,0.4,-2.23,-26.48,-5.56,-7.98,-19.8,-868.0,3819.18,0.3,0.75,0.37,3.03,4.71,7.31,49.91,120.31,77.47,0.01,2.32,0.47,1.59,3.34,38.99,16.0,1.09,144.26,-27.29,617.27,201.65,17.44,40.94,6402.94,4.66,6.12,44.88,14.97,148.56,-48.56,-176.89,0.4,-2.64,2017,12,0
(주)대창솔루션,96350,2018-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,20.79,-2.98,-3.47,10.17,-10.21,74.69,-1.89,1.84,-1.26,-21.5,-5.4,-7.7,-20.85,-116.0,2575.99,0.36,0.97,0.46,3.62,5.38,6.78,53.84,100.72,67.81,0.01,0.45,0.54,1.57,2.77,66.64,43.73,5.95,199.67,-13.85,465.04,216.78,27.66,33.37,5885.77,3.89,5.76,45.63,11.39,158.86,-58.86,-188.77,0.5,-2.2,2018,12,0
(주)대창솔루션,96350,2019-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,26.18,-3.94,-3.64,3.46,31.13,22.04,-56.71,37.75,11.88,-7.43,0.92,-3.15,-8.25,-39.0,601.1,0.42,1.12,0.61,3.81,4.36,6.66,54.79,95.75,83.66,0.01,0.66,0.57,1.4,2.22,69.85,42.74,7.0,136.62,-14.09,412.25,159.42,32.63,42.26,13682.76,8.74,13.89,128.79,20.99,77.83,22.17,-35.4,0.65,0.26,2019,12,0
(주)대창솔루션,96350,2020-12-01,2007-12-17,,  금속가공제품 제조업; 기계 및 가구 제외,5,-27.08,-11.11,-12.5,-20.37,-35.3,-36.63,454.05,-29.76,-9.93,-56.11,-7.8,-18.97,-48.93,-170.0,293.84,0.34,0.87,0.48,2.82,3.76,5.9,61.82,129.51,97.13,0.01,1.49,0.43,1.14,1.91,50.75,28.92,0.94,191.35,-25.2,261.29,215.7,25.97,34.32,-6563.19,-5.27,-7.49,-264.33,-13.81,0.0,0.0,0.0,0.51,-4.36,2020,12,0
(주)대창스틸,140520,2014-12-01,2014-12-05,,  1차 금속 제조업,5,-20.4,-2.91,-2.78,-8.39,6.38,-15.72,-60.85,-1.71,5.97,0.55,2.95,0.62,1.43,118.0,21643.31,1.13,2.61,1.94,6.88,4.75,8.39,43.51,53.02,76.85,0.01,0.31,1.23,2.72,4.5,83.06,47.47,0.67,113.83,-8.13,1440.53,128.58,39.87,46.77,12708.61,5.66,20.29,132.1,4.78,37.95,62.05,11.45,4.19,1.81,2014,12,0
(주)대창스틸,140520,2015-12-01,2014-12-05,,  1차 금속 제조업,5,-2.24,107.8,28.62,31.29,2.56,35.32,221.12,36.01,4.89,1.75,1.5,1.76,4.4,321.0,17857.41,1.0,2.25,1.69,5.75,4.72,9.31,39.21,63.46,77.33,0.01,0.86,1.12,2.47,4.33,83.08,47.3,0.48,132.49,-8.37,1477.38,136.96,41.09,43.01,18957.21,6.44,14.57,77.35,7.29,43.69,56.31,24.07,2.7,1.13,2015,12,0
(주)대창스틸,140520,2016-12-01,2014-12-05,,  1차 금속 제조업,5,16.36,-2.28,-2.11,0.13,-4.73,3.34,-173.23,-12.29,5.02,-1.5,-0.45,-1.54,-3.26,-235.0,20778.71,1.03,2.45,1.76,6.19,4.53,9.94,36.7,58.99,80.54,0.01,1.29,1.14,2.46,4.08,88.58,56.2,3.34,144.78,-5.47,1407.45,140.97,42.41,40.85,14000.9,4.75,11.01,63.44,4.63,76.24,23.76,-32.37,2.35,-0.38,2016,12,0
(주)대창스틸,140520,2017-12-01,2014-12-05,,  1차 금속 제조업,5,5.09,-2.78,-0.92,4.16,8.46,11.06,0.0,37.26,4.81,0.59,1.88,0.63,1.65,109.0,21835.45,1.06,2.55,1.88,5.86,4.57,10.02,36.44,62.24,79.91,0.01,2.41,1.19,2.41,4.09,107.71,59.06,0.98,137.6,3.24,1111.81,130.16,45.22,42.09,20839.4,6.78,16.85,106.32,6.55,48.69,51.31,9.06,2.54,1.27,2017,12,0
(주)대창스틸,140520,2018-12-01,2014-12-05,,  1차 금속 제조업,5,-28.19,-27.47,-18.42,-16.51,-13.5,-14.2,-757.37,-43.6,5.27,-8.57,1.04,-6.95,-11.14,-662.0,11419.81,0.81,1.98,1.49,4.65,3.86,8.59,42.49,78.42,94.61,0.01,0.0,0.86,1.77,2.86,83.16,58.47,0.91,153.56,-9.41,961.72,135.72,46.47,39.44,14757.71,5.75,16.46,148.09,6.46,52.76,47.24,-132.64,2.14,0.61,2018,12,0
(주)대창스틸,140520,2019-12-01,2014-12-05,,  1차 금속 제조업,5,-13.47,-35.02,8.6,-9.49,-2.58,-30.33,-93.92,-9.43,6.32,0.01,1.81,0.01,-0.74,-35.0,9881.81,0.81,1.97,1.38,5.86,4.39,11.38,32.08,62.28,83.07,0.01,0.0,0.85,1.95,2.93,68.35,41.97,3.81,133.57,-16.56,936.92,150.01,35.77,42.81,8538.06,3.68,14.65,105.93,4.32,74.95,25.05,0.33,2.67,0.95,2019,12,0
(주)대창스틸,140520,2020-12-01,2014-12-05,,  1차 금속 제조업,5,-13.31,-17.44,3.53,-2.92,-9.23,-14.52,802.76,-16.46,6.35,-3.82,-0.63,-2.86,-7.1,-317.0,8566.62,0.75,1.8,1.13,5.83,4.75,10.76,33.92,62.66,76.86,0.01,0.0,0.85,2.22,3.6,54.81,34.14,6.21,148.93,-25.97,850.44,170.51,31.5,40.17,3125.77,1.39,6.5,45.45,1.82,180.75,-80.75,-209.42,3.22,-0.78,2020,12,0
(주)대한과학,131220,2011-12-01,2011-10-11,,  도매 및 상품 중개업,5,23.61,0.22,1.88,14.76,54.29,29.32,-22.39,36.31,26.56,5.95,9.68,7.09,14.57,459.0,6233.81,1.19,2.45,2.39,4.53,8.3,10.41,35.05,80.64,43.97,0.01,0.41,1.61,2.38,5.02,284.68,131.59,31.06,80.93,34.32,617.43,85.22,52.9,55.27,8377.97,27.15,61.72,493.99,24.32,56.22,43.78,24.45,2.53,5.43,2011,12,0
(주)대한과학,131220,2012-12-01,2011-10-11,,  도매 및 상품 중개업,5,13.73,0.44,7.65,5.32,4.41,3.25,-38.95,0.0,25.05,3.26,6.11,3.93,7.1,226.0,7089.99,1.21,2.2,2.5,3.58,8.39,11.23,32.49,101.85,43.5,0.01,1.35,1.61,2.32,6.61,226.43,79.58,9.6,82.5,28.96,637.5,87.86,51.86,54.79,8491.45,26.13,62.23,538.49,21.68,65.84,34.16,15.04,2.86,4.77,2012,12,0
(주)대한과학,131220,2013-12-01,2011-10-11,,  도매 및 상품 중개업,5,1.23,-2.46,2.1,16.06,4.16,29.01,-44.51,27.89,26.61,1.82,3.44,2.06,3.86,117.0,6692.95,1.13,2.18,2.51,3.18,7.31,10.56,34.58,114.64,49.92,0.01,0.0,1.49,2.05,5.79,300.35,107.26,7.16,103.14,38.45,619.21,86.04,57.65,49.23,8797.94,23.32,66.25,628.51,22.19,73.12,26.88,8.22,2.93,2.58,2013,12,0
(주)대한과학,131220,2014-12-01,2011-10-11,,  도매 및 상품 중개업,5,-1.53,-2.29,-4.88,8.16,15.47,17.75,13.44,-11.83,26.31,2.24,2.83,2.23,3.98,130.0,6190.1,0.99,1.92,2.51,2.97,5.51,9.36,38.99,122.94,66.24,0.01,0.0,1.16,1.65,3.71,204.38,105.99,9.09,84.29,32.05,670.04,68.64,62.76,54.26,9304.4,22.81,71.97,772.19,23.83,71.73,28.27,9.41,2.95,2.33,2014,12,0
(주)대한과학,131220,2015-12-01,2011-10-11,,  도매 및 상품 중개업,5,6.54,0.54,3.19,-0.49,2.24,-2.68,-292.87,12.23,25.38,-3.02,-0.22,-3.09,-7.09,-217.0,5813.71,1.02,1.84,2.69,3.18,5.4,8.73,41.8,114.75,67.63,0.01,0.0,1.09,1.65,3.42,190.38,84.69,10.49,75.97,29.14,605.26,67.97,61.38,56.83,7736.37,19.06,58.89,741.18,18.6,95.82,4.18,-16.26,3.18,-0.33,2015,12,0
(주)대한과학,131220,2016-12-01,2011-10-11,,  도매 및 상품 중개업,5,10.74,-4.89,-7.4,0.38,7.62,5.27,0.0,1.63,25.21,4.88,4.08,5.53,8.11,255.0,6437.83,1.13,1.91,3.05,3.3,6.4,9.1,40.1,110.49,57.07,0.01,1.68,1.2,1.8,3.96,211.09,97.96,25.3,62.4,33.88,651.4,57.86,64.37,61.58,12566.47,30.84,100.57,1487.44,27.28,58.89,41.11,17.89,3.59,7.1,2016,12,0
(주)대한과학,131220,2017-12-01,2011-10-11,,  도매 및 상품 중개업,5,-10.21,-3.54,-5.91,-9.47,2.99,-11.44,-44.2,-1.73,28.55,3.25,5.01,3.47,4.3,142.0,5780.21,1.07,1.62,2.94,2.97,6.59,8.52,42.82,122.98,55.38,0.01,0.97,1.17,1.67,3.83,267.06,108.24,15.63,41.75,39.39,670.88,52.49,62.97,70.55,10146.84,27.5,84.19,1548.9,24.53,62.77,37.23,13.27,3.37,20.22,2017,12,0
(주)대한과학,131220,2018-12-01,2011-10-11,,  도매 및 상품 중개업,5,13.76,3.89,2.33,5.8,6.84,7.84,75.43,0.62,26.76,5.35,6.89,6.63,7.19,242.0,6312.38,1.24,1.7,3.4,3.4,8.87,9.71,37.6,107.5,41.17,0.01,0.39,1.46,1.95,4.58,334.83,149.05,37.93,32.7,45.01,688.08,47.53,64.18,75.36,12608.41,32.3,105.86,1431.98,26.79,60.5,39.5,19.96,3.83,93.88,2018,12,0
(주)대한과학,131220,2019-12-01,2011-10-11,,  도매 및 상품 중개업,5,17.23,15.73,17.67,13.86,10.12,11.73,-31.29,10.42,25.37,3.53,5.42,4.67,4.55,165.0,7400.28,1.32,1.77,3.63,3.77,11.21,10.78,33.85,96.77,32.56,0.01,0.24,1.59,2.08,4.64,323.57,146.13,39.43,35.51,43.52,757.69,50.16,62.98,73.8,13384.19,30.12,93.02,1934.58,24.26,65.08,34.92,14.57,4.08,41.33,2019,12,0
(주)대한과학,131220,2020-12-01,2011-10-11,,  도매 및 상품 중개업,5,11.5,-1.92,-2.38,1.17,3.47,3.25,39.35,-2.3,25.13,4.47,8.22,6.16,5.95,229.0,8251.16,1.38,1.82,3.78,4.05,12.32,12.63,28.91,90.04,29.63,0.01,0.27,1.63,2.16,4.63,296.96,142.87,50.98,29.87,42.64,783.96,46.39,64.28,77.0,14529.55,32.32,105.89,2276.76,23.62,63.32,36.68,18.94,4.29,78.77,2020,12,0
(주)대호특수강,21040,2011-12-01,1996-08-27,,  1차 금속 제조업,5,24.65,5.2,-2.94,-0.55,-6.07,0.33,0.0,18.79,4.98,-0.76,2.74,-1.36,-7.01,-60.0,6574.99,1.8,9.28,6.75,8.05,4.02,13.8,26.45,45.34,90.69,0.01,0.0,1.17,2.45,3.52,91.49,61.32,7.48,431.45,-6.85,137.33,139.76,73.7,18.82,15555.24,13.11,106.11,269.31,7.27,57.77,42.23,-10.38,14.91,0.54,2011,12,0
(주)대호특수강,21040,2012-12-01,1996-08-27,,  1차 금속 제조업,5,3.06,254.01,177.47,92.58,102.28,62.29,597.63,53.19,1.7,-5.11,-1.26,-6.49,-33.39,-386.0,6410.87,1.27,6.53,3.74,6.03,3.15,9.3,39.26,60.48,116.0,0.01,0.0,0.88,1.92,2.82,80.82,55.66,1.95,405.95,-14.74,166.21,191.71,62.11,19.76,3714.01,1.63,7.17,21.38,1.69,343.59,-243.59,-303.4,6.6,-0.45,2012,12,0
(주)대호특수강,21040,2013-12-01,1996-08-27,,  1차 금속 제조업,5,42.5,-4.48,-11.53,-8.19,-19.49,-6.15,-25.41,4.78,7.08,-2.68,3.05,-3.83,-20.62,-170.0,5777.43,1.43,7.7,3.85,6.94,3.69,10.98,33.24,52.59,99.0,0.01,0.0,1.02,2.28,3.4,80.42,52.47,3.78,477.0,-15.46,133.81,210.68,63.49,17.33,24502.02,11.68,49.28,151.9,7.8,75.37,24.63,-34.3,6.17,0.83,2013,12,0
(주)대호특수강,21040,2014-12-01,1996-08-27,,  1차 금속 제조업,5,-29.29,-11.46,-1.71,-19.38,-5.84,-29.54,-80.85,-10.5,9.66,-0.72,5.63,-0.85,-4.56,-33.0,4085.46,1.17,6.29,2.92,5.06,3.46,9.56,38.18,72.11,105.43,0.01,0.0,0.85,1.96,3.19,73.83,41.23,1.2,393.99,-19.67,126.0,219.9,55.48,20.24,31946.06,18.88,74.48,317.71,14.39,57.18,42.82,-5.04,4.74,2.03,2014,12,0
(주)대호특수강,21040,2015-12-01,1996-08-27,,  1차 금속 제조업,5,-9.54,3.8,-3.88,-8.83,5.23,-12.81,0.0,-32.98,9.45,1.24,5.44,1.54,7.11,51.0,3695.54,1.24,5.72,2.72,5.8,4.0,13.07,27.92,62.89,91.27,0.01,0.0,0.98,2.29,3.77,75.27,49.72,2.95,327.98,-17.44,132.6,200.87,53.06,23.37,28664.94,18.59,62.73,213.49,14.27,63.29,36.71,8.71,4.48,2.26,2015,12,0
(주)대호특수강,21040,2016-12-01,1996-08-27,,  1차 금속 제조업,5,-7.56,-4.64,-7.87,-8.46,13.66,-8.98,124.48,-18.17,12.03,3.02,8.07,3.79,14.56,114.0,3416.01,1.26,4.82,2.67,7.35,3.71,14.77,24.71,49.64,98.35,0.01,0.0,1.04,2.38,3.51,82.42,57.28,1.49,244.7,-11.25,150.71,162.83,52.76,29.01,32669.88,23.14,74.97,270.79,17.59,60.54,39.46,17.16,4.16,3.91,2016,12,0
(주)대호특수강,21040,2017-12-01,1996-08-27,,  1차 금속 제조업,5,10.57,12.09,2.78,7.0,68.58,10.79,-28.38,27.16,10.13,1.96,7.01,2.75,7.3,62.0,2936.33,1.4,3.73,3.04,7.95,4.04,14.27,25.59,45.89,90.38,0.01,0.0,1.28,2.62,3.9,113.14,73.52,2.27,118.79,6.34,178.52,99.27,54.63,45.71,31229.0,20.67,63.93,263.21,15.21,66.0,34.0,12.85,4.44,4.74,2017,12,0
(주)대호특수강,21040,2018-12-01,1996-08-27,,  1차 금속 제조업,5,2.22,7.54,2.74,4.11,4.9,5.25,-47.0,8.79,8.28,1.01,3.9,1.38,3.01,29.0,2712.98,1.36,2.97,3.02,6.96,3.95,12.87,28.37,52.47,92.5,0.01,0.0,1.4,2.48,3.85,153.19,97.74,0.01,117.15,19.17,187.26,97.23,55.23,46.05,29948.85,19.04,57.41,204.41,14.27,68.52,31.48,7.1,4.14,2.68,2018,12,0
