,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
63,(주)고바이오랩,348150,2019/12,-99.17854555,10000,10000,10000,10000,10000,10000,10000
64,(주)고바이오랩,348150,2020/12,696.4152092,3.729288594,-14.14896386,9.13696595,66.81431164,10000,65.7261848,24.97516433
65,(주)고영테크놀러지,98460,2010/12,1488.961545,10000,10000,10000,10000,10000,10000,10000
66,(주)고영테크놀러지,98460,2011/12,18.05706301,17.31270854,55.17724958,20.35580741,24.1642571,26.23339449,23.10308622,-4.463740871
67,(주)고영테크놀러지,98460,2012/12,25.20684062,3.364855572,24.52926577,7.562088688,22.98962953,19.79004528,18.78689543,-2.548455633
68,(주)고영테크놀러지,98460,2013/12,3.765764338,-4.645954093,17.62048534,2.20137049,21.88409441,17.88767162,17.02885088,-8.364923567
69,(주)고영테크놀러지,98460,2014/12,27.64669126,34.62478659,-13.41466946,26.92307766,14.49363002,17.81499253,17.17120326,58.83495443
70,(주)고영테크놀러지,98460,2015/12,2.145265465,-1.228801184,6.934759284,11.9513921,12.13509461,13.50228739,12.09222818,6.027448354
71,(주)고영테크놀러지,98460,2016/12,17.74408757,20.94369697,1.129805946,8.660538384,27.13286244,19.61727026,22.827745,26.71495456
72,(주)고영테크놀러지,98460,2017/12,18.37946274,6.272949594,13.99061261,9.002045943,4.173671123,2.574968725,5.169167615,-10.20426613
73,(주)고영테크놀러지,98460,2018/12,17.13157024,30.70426855,40.79643416,17.43376707,41.03161706,40.01400942,35.98898305,58.70699348
74,(주)고영테크놀러지,98460,2019/12,-6.780532706,12.58046101,15.71160887,54.73901334,-0.776262074,7.881592908,9.468143553,-30.13493463
75,(주)고영테크놀러지,98460,2020/12,-19.14458643,-3.951030926,0.112037674,36.99229211,-14.34190907,0.980666243,-0.951522762,-69.00833162
76,(주)골드앤에스,35290,2010/12,-71.88046266,10000,10000,10000,10000,10000,10000,10000
77,(주)골드앤에스,35290,2011/12,-5.871718808,-24.47328509,-6.663385949,-15.34717464,33.08291357,3.725314486,3.618557744,10000
78,(주)골드앤에스,35290,2012/12,-7.646234414,-3.8711504,-7.747562781,9.005330321,13.56310193,13.7318335,11.29773444,10000
79,(주)골드앤에스,35290,2013/12,-9.889194095,10000,18.51352997,40.96656498,-40.76431733,-48.55612061,-0.978046339,138.9478062
80,(주)골드앤에스,35290,2014/12,-20.8896475,-3.55206204,-6.145818739,-11.76249514,-4.563775405,-7.958450122,-9.552472221,-44.53092862
81,(주)골드앤에스,35290,2015/12,-29.05107241,-98.54644347,-20.77263704,-72.2218259,1.936675424,25.4715678,-48.19925966,6.682164774
82,(주)골드앤에스,35290,2016/12,-28.40102469,-38.30154984,-15.92915644,14.56861906,-43.6305663,-5.882005671,-22.53102988,10000
83,(주)골드앤에스,35290,2017/12,-19.45109741,65.79979724,-46.01273881,-36.64019738,25.05963743,-6.464935028,-8.021307604,10000
84,(주)골드앤에스,35290,2018/12,-32.19474873,10000,22.05388527,238.0338027,94.17754593,3.248093297,147.3086889,-45.01953591
85,(주)골드앤에스,35290,2019/12,-11.95466549,-66.73260928,-61.41474042,-43.16574478,-81.40782555,10000,-62.10225357,467.9367099
86,(주)골드앤에스,35290,2020/12,-45.8471204,-3.452541091,-26.93765022,-4.899966609,131.3264141,10000,28.19305462,10000
87,(주)골드퍼시픽,38530,2010/12,158.9682417,10000,10000,10000,10000,10000,10000,10000
