회사명,,,회사명,,중복
노바렉스,,,아우딘퓨쳐스,,3
노바텍,,,아이디스,,9
노바텍,,,아이디스홀딩스,,10
노블엠앤비,,,아이디에스,,5
노블엠앤비,,,아이비김영,,1
노블엠앤비,,,아이센스,,7
노블엠앤비,,,아이스크림에듀,,1
노블엠앤비,,,아이씨디,,9
노블엠앤비,,,아이앤씨테크놀로지,,10
노블엠앤비,,,아이에스시,,10
노블엠앤비,,,아이에스이커머스,,10
노터스,,,아이에이,,10
녹십자엠에스,,,아이엘사이언스,,2
녹십자엠에스,,,아이엠,,10
녹십자엠에스,,,아이엠비씨,,10
녹십자엠에스,,,아이오케이컴퍼니,,10
녹십자엠에스,,,아이윈,,10
녹십자엠에스,,,아이윈플러스,,4
녹십자웰빙,,,아이즈비전,,10
녹원씨엔아이,,,아이컴포넌트,,10
녹원씨엔아이,,,아이톡시,,10
녹원씨엔아이,,,아이티센,,6
녹원씨엔아이,,,아이티엑스에이아이,,10
녹원씨엔아이,,,아이티엠반도체,,1
녹원씨엔아이,,,아이팩토리,,5
녹원씨엔아이,,,아인스엠앤엠,,1
녹원씨엔아이,,,아즈텍더블유비이,,10
녹원씨엔아이,,,아진엑스텍,,6
녹원씨엔아이,,,아큐텍,,2
누리플랜,,,아톤,,1
누리플랜,,,아프리카티비,,10
누리플랜,,,안랩,,10
누리플랜,,,안트로젠,,4
누리플랜,,,알로이스,,3
누리플랜,,,알에프세미,,10
누리플랜,,,알에프텍,,10
누리플랜,,,알엔투테크놀로지,,4
누리플랜,,,알테오젠,,6
누리플랜,,,알톤스포츠,,10
누리플렉스,,,알티캐스트,,7
누리플렉스,,,알파홀딩스,,10
누리플렉스,,,애니플러스,,1
누리플렉스,,,애드바이오텍,,2
누리플렉스,,,액션스퀘어,,6
누리플렉스,,,액토즈소프트,,10
누리플렉스,,,액트로,,2
누리플렉스,,,앤디포스,,4
누리플렉스,,,앤씨앤,,10
누리플렉스,,,야스,,3
뉴로스,,,어스앤에어로스페이스,,3
뉴로스,,,얼라인드제네틱스,,4
뉴로스,,,에너토크,,10
뉴로스,,,에듀언스,,2
뉴로스,,,에스디생명공학,,3
뉴로스,,,에스디시스템,,10
뉴로스,,,에스마크,,9
뉴로스,,,에스비에스콘텐츠허브,,10
뉴보텍,,,에스비엠,,2
뉴보텍,,,에스씨디,,10
뉴보텍,,,에스아이리소스,,10
뉴보텍,,,에스앤더블류,,10
뉴보텍,,,에스앤에스텍,,10
뉴보텍,,,에스에너지,,10
뉴보텍,,,에스에스알,,2
뉴보텍,,,에스에스컴텍,,6
뉴보텍,,,에스에이엠티,,10
뉴보텍,,,에스에이티,,10
뉴인텍,,,에스에프씨,,8
뉴인텍,,,에스에프에이,,10
뉴인텍,,,에스에프에이반도체,,10
뉴인텍,,,에스엘바이오닉스,,5
뉴인텍,,,에스엠라이프디자인그룹,,10
뉴인텍,,,에스엠엔터테인먼트,,10
뉴인텍,,,에스엠컬처앤콘텐츠,,10
뉴인텍,,,에스엠코어,,9
뉴인텍,,,에스와이이노베이션,,1
뉴인텍,,,에스제이그룹,,1
뉴트리,,,에스지엔지,,10
뉴트리,,,에스코넥,,10
뉴파워프라즈마,,,에스텍파마,,10
뉴파워프라즈마,,,에스티아이,,10
뉴파워프라즈마,,,에스티오,,10
뉴파워프라즈마,,,에스티큐브,,10
뉴프렉스,,,에스폴리텍,,10
뉴프렉스,,,에스피시스템스,,1
뉴프렉스,,,에스피지,,10
뉴프렉스,,,에쎈테크,,10
뉴프렉스,,,에이디모터스,,1
뉴프렉스,,,에이디칩스,,10
뉴프렉스,,,에이디테크놀로지,,6
뉴프렉스,,,에이루트,,10
뉴프렉스,,,에이비프로바이오,,5
뉴프렉스,,,에이스침대,,10
다나와,,,에이스테크놀로지,,10
다나와,,,에이스토리,,1
다나와,,,에이제이에스,,3
다나와,,,에이치비테크놀러지,,10
다나와,,,에이치시티,,4
다나와,,,에이치알에스,,10
다나와,,,에이치앤비디자인,,2
다나와,,,에이치앤아이,,2
다나와,,,에이치엘사이언스,,4
다날,,,에이치케이,,10
다날,,,에이텍,,10
다날,,,에이텍티앤,,5
다날,,,에이트원,,4
다날,,,에이티세미콘,,9
다날,,,에이팩트,,6
다날,,,에이프로젠헬스케어앤게임즈,,10
다날,,,에임하이글로벌,,7
다날,,,에치에프알,,3
다날,,,에코마케팅,,4
다린,,,에코프로,,10
다린,,,에코프로비엠,,3
다산네트웍스,,,에프알텍,,10
다산네트웍스,,,에프앤리퍼블릭,,10
다산네트웍스,,,에프에스엔,,5
다산네트웍스,,,에프에스티,,10
다산네트웍스,,,에프엔씨엔터테인먼트,,6
다산네트웍스,,,에프티이앤이,,8
다산네트웍스,,,에피밸리,,1
다산네트웍스,,,엑사이엔씨,,10
다산네트웍스,,,엑세스바이오인코퍼레이션,,7
다산네트웍스,,,엑셈,,6
다우데이타,,,엑시콘,,5
다우데이타,,,엑큐리스,,1
다우데이타,,,엔바이오니아,,1
다우데이타,,,엔스퍼트,,1
다우데이타,,,엔에스,,5
다우데이타,,,엔에스브이,,6
다우데이타,,,엔에스엔,,10
다우데이타,,,엔에이치엔벅스,,10
다우데이타,,,엔이능률,,10
다우데이타,,,엔지스테크널러지,,4
다원시스,,,엔지켐생명과학,,2
다원시스,,,엔케이맥스,,5
다원시스,,,엔케이바이오,,1
다원시스,,,엔터기술,,2
다원시스,,,엔텔스,,10
다원시스,,,엔투텍,,2
다원시스,,,엔피케이,,10
다원시스,,,엘디티,,10
다원시스,,,엘아이에스,,9
다원시스,,,엘앤씨바이오,,2
대국,,,엘앤씨피,,1
대동스틸,,,엘앤에프,,10
대동스틸,,,엘앤케이바이오메드,,4
대동스틸,,,엘엑스세미콘,,10
대동스틸,,,엘엠에스,,10
대동스틸,,,엘오티베큠,,10
대동스틸,,,엘피케이로보틱스,,6
대동스틸,,,엠게임,,10
대동스틸,,,엠디에스테크,,10
대동스틸,,,엠아이텍,,2
대동스틸,,,엠에스씨,,10
대륙제관,,,엠에스오토텍,,10
대륙제관,,,엠제이비,,5
대륙제관,,,엠투엔,,10
대륙제관,,,엠플러스,,3
대륙제관,,,엠피대산,,10
대륙제관,,,연우,,5
대륙제관,,,연이비앤티,,10
대륙제관,,,영우디에스피,,6
대륙제관,,,영진코퍼레이션,,4
대륙제관,,,영현무역,,2
대림제지,,,예당컴퍼니,,2
대림제지,,,예림당,,10
대림제지,,,예선테크,,2
대림제지,,,예스티,,5
대림제지,,,오공,,10
대림제지,,,오디텍,,10
대림제지,,,오르비텍,,10
대림제지,,,오리엔탈정공,,10
대림제지,,,오리엔트정공,,10
대림제지,,,오리콤,,10
대명소노시즌,,,오스코텍,,10
대명소노시즌,,,오스테오닉,,2
대명소노시즌,,,오스템,,10
대명소노시즌,,,오이솔루션,,6
대명소노시즌,,,오킨스전자,,6
대명소노시즌,,,오텍,,10
대명소노시즌,,,오파스넷,,2
대명소노시즌,,,오픈베이스,,10
대명소노시즌,,,오하임아이엔티,,1
대명소노시즌,,,옵투스제약,,8
대성미생물연구소,,,옵트론텍,,10
대성미생물연구소,,,옵티팜,,2
대성미생물연구소,,,와이비엠넷,,10
대성미생물연구소,,,와이솔,,10
대성미생물연구소,,,와이어블,,10
대성미생물연구소,,,와이엔텍,,10
대성미생물연구소,,,와이오엠,,10
대성미생물연구소,,,와이제이엠게임즈,,6
대성미생물연구소,,,와이즈버즈,,1
대성미생물연구소,,,와이즈파워,,4
대성엘텍,,,와이지-원,,10
대성엘텍,,,와이지엔터테인먼트,,9
대성엘텍,,,와이티엔,,10
대성엘텍,,,우리기술,,10
대성엘텍,,,우리넷,,10
대성엘텍,,,우리로,,8
대성엘텍,,,우성아이비,,3
대성엘텍,,,우양,,1
대성엘텍,,,우전,,6
대성엘텍,,,우정바이오,,4
대성파인텍,,,우일렉트로닉스,,10
대성파인텍,,,원바이오젠,,1
대성파인텍,,,원익,,10
대성파인텍,,,원익머트리얼즈,,9
대성파인텍,,,원익아이피에스,,4
대성파인텍,,,원익큐브,,10
대성파인텍,,,원익큐엔씨,,10
대성파인텍,,,원익테라세미콘,,6
대성파인텍,,,원익피앤이,,9
대성파인텍,,,원익홀딩스,,10
대원,,,원일특강,,10
대원,,,원풍,,10
대원,,,월덱스,,10
대유,,,웨이브일렉트로닉스,,10
대유,,,웰크론,,10
대유에이피,,,웰크론한텍,,10
대유에이피,,,웹솔루스,,1
대창솔루션,,,웹스,,5
대창솔루션,,,웹젠,,10
대창솔루션,,,위너지스,,7
대창솔루션,,,위노바,,6
대창솔루션,,,위니아,,4
대창솔루션,,,위닉스,,10
대창솔루션,,,위다스,,2
대창솔루션,,,위메이드,,10
대창솔루션,,,위메이드맥스,,10
대창솔루션,,,위메이드플레이,,8
대창스틸,,,위지윅스튜디오,,2
대창스틸,,,위지트,,10
대창스틸,,,윈스,,9
대창스틸,,,윈팩,,7
대창스틸,,,윈하이텍,,6
대창스틸,,,윌링스,,1
대한과학,,,유니드코리아,,2
대한과학,,,유니온커뮤니티,,4
대한과학,,,유니크,,10
대한과학,,,유니테스트,,10
대한과학,,,유니테크노,,4
대한과학,,,유니트론텍,,4
대한과학,,,유디피,,3
대한과학,,,유라테크,,10
대한과학,,,유바이오로직스,,3
대호특수강,,,유비케어,,10
대호특수강,,,유비쿼스,,3
대호특수강,,,유비쿼스홀딩스,,10
대호특수강,,,유성티엔에스,,10
대호특수강,,,유신,,10
대호특수강,,,유쎌,,2
대호특수강,,,유씨아이,,10
대호특수강,,,유아이디,,10
대호특수강,,,유아이에너지,,1
대호특수강,,,유에스티,,3
더 미동,,,유에이블,,2
더 미동,,,유일엔시스,,2
더 미동,,,유진로봇,,10
더 미동,,,유진테크,,10
더 미동,,,유테크,,5
더 미동,,,유티아이,,3
더 미동,,,유틸렉스,,2
더블유게임즈,,,육일씨엔에쓰,,5
더블유게임즈,,,율호,,10
더블유아이,,,이건홀딩스,,10
더블유아이,,,이글루코퍼레이션,,10
더블유아이,,,이글벳,,10
더블유아이,,,이노메트리,,2
더블유아이,,,이노와이어리스,,10
더블유아이,,,이노인스트루먼트,,4
더블유아이,,,이노테라피,,1
더블유아이,,,이녹스,,10
더블유아이,,,이녹스첨단소재,,3
더블유아이,,,이라이콤,,10
더블유에스아이,,,이랜시스,,2
덕산테코피아,,,이랜텍,,10
덕신하우징,,,이루온,,10
덕신하우징,,,이미지스테크놀로지,,10
덕신하우징,,,이브이수성,,10
덕신하우징,,,이브이첨단소재,,10
덕신하우징,,,이상네트웍스,,10
덕신하우징,,,이수앱지스,,10
데이타솔루션,,,이스트소프트,,10
데이타솔루션,,,이엔에프테크놀로지,,10
데이타솔루션,,,이엔코퍼레이션,,10
데코앤이,,,이엘피,,3
데코앤이,,,이엠넷,,9
데코앤이,,,이엠앤아이,,10
데코앤이,,,이엠텍,,10
데코앤이,,,이오테크닉스,,10
데코앤이,,,이즈미디어,,3
데코앤이,,,이지,,10
데코앤이,,,이지홀딩스,,10
덱스터스튜디오,,,이큐셀,,4
덱스터스튜디오,,,이크레더블,,10
덱스터스튜디오,,,이푸른,,2
덱스터스튜디오,,,이퓨쳐,,9
덱스터스튜디오,,,인바디,,10
덴티스,,,인산가,,5
동구바이오제약,,,인성정보,,10
동구바이오제약,,,인스프리트,,1
동국알앤에스,,,인지디스플레이,,10
동국알앤에스,,,인콘,,10
동국알앤에스,,,인터로조,,10
동국알앤에스,,,인터파크,,5
동국알앤에스,,,인터플렉스,,10
동국알앤에스,,,인텍플러스,,9
동국알앤에스,,,인텔리안테크놀로지스,,4
동국알앤에스,,,인트로메딕,,7
동국알앤에스,,,인트론바이오테크놀로지,,9
동국알앤에스,,,인포마크,,5
동국에스엔씨,,,인포바인,,10
동국에스엔씨,,,인포피아,,5
동국에스엔씨,,,인프라웨어테크놀러지,,2
동국에스엔씨,,,인피니트헬스케어,,10
동국에스엔씨,,,일신바이오베이스,,10
동국에스엔씨,,,일야,,10
동국에스엔씨,,,일지테크,,10
동국에스엔씨,,,일진파워,,10
동국에스엔씨,,,잉크테크,,10
동국에스엔씨,,,자비스,,5
동방선기,,,자연과환경,,10
동방선기,,,자유투어,,2
동방선기,,,장원테크,,4
동방선기,,,정다운,,5
동방선기,,,정상제이엘에스,,10
동방선기,,,정원엔시스,,10
동방선기,,,제넥신,,10
동방선기,,,제넨바이오,,10
동방선기,,,제노레이,,2
동방선기,,,제노포커스,,5
동서,,,제닉,,9
동서,,,제로투세븐,,7
동서,,,제우스,,10
