[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
10.92,-1.27,23.63,10.45,25.5,1.35,40.05,0.11,0.0,2011,0
10.92,-22.11,18.03,16.7,11.4,0.75,34.76,0.07,0.0,2012,0
69.33,41.82,38.53,53.01,5.02,8.47,45.06,20.78,19.65,2011,0
60.24,24.26,53.75,16.29,4.81,5.84,47.63,13.66,25.41,2014,0
81.75,40.16,10.12,4.71,2.78,13.03,34.38,8.85,18.86,2016,0
36.58,-10.33,57.39,7.12,8.17,0.57,67.21,4.81,5.26,2013,0
37.04,-21.1,54.87,11.22,8.29,0.82,65.57,6.67,-4.87,2014,0
35.52,-26.5,60.08,0.98,8.58,-1.43,67.68,-9.16,-2.33,2017,0
61.59,42.65,43.76,11.92,4.06,8.88,42.18,7.62,19.09,2011,0
55.06,41.02,29.89,4.34,4.52,17.03,26.5,17.4,-0.96,2013,0
80.07,28.39,43.1,36.62,5.76,2.9,74.42,8.15,42.89,2018,0
80.24,34.51,26.6,23.84,10.62,3.58,89.34,18.52,68.88,2017,0
77.43,42.66,33.54,-4.39,8.56,4.46,86.01,14.53,58.08,2018,0
54.55,39.4,11.31,4.86,3.72,8.32,30.57,8.08,6.74,2011,0
26.18,8.43,45.34,2.64,5.59,9.01,55.82,3.49,35.25,2017,0
17.25,-1.7,44.67,-3.93,5.92,6.69,54.75,3.21,9.64,2018,0
65.64,20.44,42.59,8.88,7.25,3.21,54.93,9.7,20.8,2014,0
56.23,42.02,16.67,9.33,5.19,3.99,76.33,4.46,79.14,2018,0
42.37,39.22,23.69,3.25,6.73,16.25,22.71,3.95,6.46,2017,0
45.36,-17.16,52.61,4.67,4.88,-7.56,96.12,-19.74,-19.27,2011,0
52.87,38.1,47.35,9.27,4.76,6.37,55.75,6.93,12.76,2014,0
44.97,24.5,32.53,5.72,6.17,5.25,56.83,5.73,30.06,2018,0
31.44,-5.48,52.56,2.17,5.54,-2.78,102.77,-3.51,-23.66,2018,0
49.08,32.42,13.77,3.66,6.22,11.29,44.08,8.47,8.5,2013,0
62.25,37.39,20.52,39.11,5.6,11.44,46.96,9.5,25.26,2014,0
52.75,29.57,17.52,5.15,5.23,7.01,50.96,7.59,11.22,2015,0
23.77,-27.84,34.05,12.4,12.55,-5.24,90.49,-14.56,4.89,2013,0
54.12,40.43,8.73,11.54,5.4,8.36,55.15,9.25,41.53,2011,0
36.18,0.45,60.35,14.87,7.15,8.6,47.34,17.68,28.68,2015,0
37.6,1.44,60.48,18.93,5.84,6.16,43.42,11.96,28.58,2016,0
70.89,53.39,39.31,24.16,2.75,2.38,80.91,2.51,82.58,2012,0
15.63,1.15,12.2,-22.47,5.31,-10.09,46.81,-6.04,0.0,2016,0
25.02,-11.92,6.85,-7.85,7.02,1.48,44.34,2.56,0.97,2016,0
62.93,54.18,28.68,6.53,1.84,17.6,43.36,22.02,77.01,2012,0
51.02,37.27,23.79,7.09,3.74,3.48,54.74,4.9,29.39,2011,0
10.92,-9.91,1.07,6.12,18.53,-12.5,66.29,-6.21,-19.55,2018,0
50.32,14.54,46.7,15.29,4.2,3.09,64.27,4.79,25.67,2015,0
73.47,51.52,0.59,42.95,7.04,7.41,66.96,12.44,86.98,2015,0
72.64,61.22,18.26,63.54,4.69,-0.63,82.24,-0.93,39.95,2017,0
77.18,69.21,29.34,1.35,5.46,3.97,70.58,2.86,58.19,2018,0
66.15,47.9,25.96,39.79,4.15,7.04,54.58,6.13,24.06,2017,0
43.09,32.98,15.45,9.96,4.15,14.18,50.95,11.79,-0.32,2015,0
42.7,28.38,13.41,7.49,5.59,14.13,52.97,11.1,-4.18,2017,0
77.5,14.72,47.18,18.52,8.47,1.84,63.92,9.73,40.91,2011,0
28.0,-29.11,33.39,-7.78,10.56,-1.48,75.68,-7.48,-11.8,2017,0
70.46,43.26,51.72,14.1,8.52,6.43,64.08,6.92,0.0,2013,0
67.95,37.0,16.02,13.94,6.66,3.36,71.92,7.75,41.88,2017,0
57.96,26.62,24.68,11.55,9.5,2.85,52.85,7.72,31.95,2013,0
55.06,20.65,27.44,9.14,7.96,-1.08,66.48,-2.14,40.0,2017,0
63.71,44.46,26.44,10.27,7.71,10.23,73.17,8.77,58.26,2016,0
71.57,17.35,52.7,32.71,11.27,4.71,43.43,28.98,43.38,2012,0
59.92,33.79,28.65,13.21,16.6,9.24,51.08,12.44,24.48,2014,0
63.59,38.65,21.92,4.09,12.99,11.93,26.91,17.93,0.0,2012,0
71.76,46.69,22.98,17.84,10.44,12.5,28.49,17.61,0.0,2013,0
49.62,37.42,27.66,13.43,11.4,7.87,65.09,11.73,32.68,2013,0
54.59,41.97,25.88,13.64,13.83,8.13,57.32,12.99,26.04,2014,0
67.43,18.54,37.84,20.07,7.61,1.08,58.06,3.54,27.67,2014,0
74.18,1.87,22.84,-1.87,10.71,-0.34,116.13,-5.07,65.94,2014,0
50.79,23.82,43.59,9.0,10.78,4.8,52.33,6.7,17.86,2016,0
25.25,-24.69,22.39,6.77,10.66,-5.27,53.77,-11.67,1.77,2014,0
67.91,59.38,32.53,22.81,9.1,-10.07,114.53,-4.27,31.95,2018,0
62.36,33.59,68.94,21.52,8.15,8.7,31.97,10.41,28.97,2013,0
63.68,20.58,58.91,13.5,3.55,3.37,59.76,6.75,22.03,2014,0
44.4,-6.07,69.84,-5.01,4.98,-7.51,85.08,-21.02,-21.16,2012,0
61.94,42.41,28.35,-0.27,10.87,13.25,40.47,27.22,-19.02,2017,0
50.28,32.36,27.6,22.92,11.52,2.96,70.51,4.4,0.0,2018,0
48.99,40.1,26.3,1.32,4.57,5.79,56.42,5.66,29.78,2012,0
43.07,34.1,25.8,11.08,4.36,4.17,62.14,3.69,-12.31,2013,0
43.84,34.17,22.56,4.73,4.53,8.24,52.96,7.1,-8.12,2014,0
69.91,34.96,33.71,8.64,3.11,10.53,30.89,19.18,34.75,2012,0
68.98,36.24,43.45,9.67,2.76,8.08,39.84,10.77,34.75,2013,0
50.9,30.58,17.2,-3.0,10.52,4.92,50.31,7.21,26.77,2018,0
21.09,-33.3,9.8,13.5,8.4,-13.0,55.59,-31.92,0.0,2014,0
16.68,-33.25,20.4,5.19,16.79,3.11,54.35,10.05,0.0,2018,0
67.7,38.4,43.31,17.63,5.84,8.59,62.13,14.92,57.52,2014,0
33.86,-17.82,9.59,0.57,6.7,0.8,37.45,0.87,1.6,2012,0
29.68,-18.98,13.01,2.3,4.14,-13.43,42.83,-10.74,-9.88,2013,0
49.36,24.7,72.4,19.82,3.72,0.52,101.5,0.57,2.94,2015,0
67.96,42.45,36.32,0.12,5.35,17.36,40.97,39.22,-0.37,2014,0
78.38,59.42,40.89,44.16,14.27,3.1,48.12,3.16,-2.86,2015,0
62.4,44.49,31.48,21.74,14.87,-6.94,81.58,-4.78,36.45,2016,0
51.12,26.72,40.41,6.76,5.83,-1.96,65.78,-1.78,87.44,2011,0
60.86,14.8,42.05,4.43,2.47,-1.21,48.1,-1.25,29.91,2013,0
58.81,19.7,42.46,15.75,6.11,5.77,57.65,15.84,53.9,2014,0
72.2,46.87,59.89,-0.62,7.23,5.82,56.71,8.57,10.72,2018,0
69.23,46.4,39.87,8.56,2.07,9.74,53.16,11.4,27.3,2015,0
85.79,51.48,61.37,23.94,3.12,11.6,58.81,18.64,0.0,2013,0
47.0,38.66,13.31,2.69,15.36,5.33,36.18,7.27,15.81,2012,0
68.87,43.58,59.87,36.74,3.9,8.77,43.37,23.5,60.76,2011,0
64.93,35.51,39.39,33.27,1.39,5.18,62.17,3.12,9.39,2016,0
83.64,58.09,48.81,11.62,5.3,6.18,54.2,11.4,70.61,2018,0
75.18,56.29,31.31,15.95,4.28,10.58,51.08,11.94,45.37,2013,0
76.75,55.37,28.08,15.9,4.9,9.77,53.65,12.17,50.65,2014,0
77.31,56.22,29.72,7.91,4.62,9.35,54.98,11.49,83.96,2015,0
78.6,52.06,31.86,14.11,4.17,7.3,57.94,10.47,68.45,2016,0
34.3,-20.23,20.6,11.93,8.01,-1.12,53.26,-56.19,24.35,2014,0
31.52,-29.27,26.64,-2.8,8.62,0.17,48.1,-11.65,-14.51,2015,0
29.74,-39.38,44.31,-1.33,4.54,0.93,58.81,2.7,23.69,2011,0
25.85,-5.04,44.9,4.14,4.63,8.57,47.96,8.29,-12.22,2017,0
32.82,-31.25,47.1,-15.48,23.0,1.59,65.25,12.56,0.0,2012,0
66.58,41.18,35.46,42.15,8.56,9.77,38.98,30.1,23.66,2017,0
35.89,24.19,31.73,31.69,5.29,4.78,78.78,6.69,56.43,2016,0
25.49,-35.56,64.9,26.26,9.29,2.46,45.27,8.75,0.0,2015,0
58.4,18.1,53.5,-6.69,4.78,-1.8,98.91,-2.12,-49.86,2018,0
56.72,47.17,19.79,8.53,5.85,26.71,30.32,16.89,13.09,2015,0
36.4,-22.63,51.5,-5.79,4.32,1.59,40.44,7.03,-10.42,2016,0
31.0,-18.19,38.92,-1.78,5.39,4.49,43.37,5.25,-13.26,2017,0
29.51,-18.13,47.21,5.26,5.82,2.01,51.99,3.67,7.06,2018,0
14.21,4.93,23.05,-0.16,5.8,8.86,40.23,6.48,-0.79,2011,0
15.96,0.59,14.79,0.75,6.01,8.95,42.19,6.56,-4.31,2012,0
26.39,-22.17,15.69,-0.34,6.27,-28.11,105.89,-16.22,13.17,2014,0
66.76,39.29,17.88,25.99,4.14,8.95,62.57,10.95,29.38,2013,0
71.34,49.3,30.46,0.53,3.46,6.27,76.53,5.79,51.28,2016,0
32.93,-33.66,39.13,-9.08,4.02,-14.86,72.3,-19.69,-8.06,2012,0
29.28,-29.93,44.66,10.62,3.38,8.78,37.6,13.05,-3.16,2013,0
28.35,-24.82,43.21,-4.34,3.69,0.56,60.3,0.58,-2.3,2014,0
55.07,24.61,42.9,24.42,9.0,4.53,72.56,5.17,81.69,2015,0
66.72,34.03,21.82,18.67,3.28,3.07,54.11,7.22,32.31,2017,0
42.81,23.44,36.35,3.77,6.88,4.78,55.03,8.98,19.65,2011,0
48.16,32.6,33.28,0.07,5.94,5.06,50.77,7.33,0.08,2013,0
43.51,32.95,25.24,3.55,5.91,6.98,56.93,7.24,20.64,2016,0
52.92,8.84,45.23,13.11,4.36,3.38,57.17,-3.05,29.15,2011,0
76.05,28.01,45.49,43.5,4.91,8.52,39.34,16.68,49.76,2012,0
65.34,32.55,51.64,13.67,3.17,-1.66,92.53,-3.59,-30.87,2015,0
54.22,40.66,23.7,10.55,3.76,13.12,56.91,10.2,32.25,2016,0
69.44,49.81,36.41,30.01,4.45,17.72,49.33,21.3,27.58,2013,0
71.91,50.32,63.47,10.96,3.13,9.24,63.43,9.01,0.9,2014,0
70.44,49.25,64.08,9.15,2.93,15.79,52.48,13.32,71.96,2015,0
48.94,38.71,26.04,14.96,4.18,16.28,58.81,12.04,33.67,2018,0
29.5,-22.7,28.32,0.54,14.91,-15.13,79.93,-24.87,23.64,2017,0
15.47,-34.63,22.91,5.5,14.25,2.18,64.41,4.19,-28.23,2018,0
59.11,42.96,16.79,24.87,5.57,11.81,37.27,20.68,-9.41,2014,0
67.51,47.27,33.48,53.12,2.91,13.34,39.51,25.07,21.72,2016,0
62.63,40.82,21.36,4.14,4.71,7.05,45.98,12.22,44.4,2016,0
81.85,55.53,37.0,21.74,7.24,10.44,67.77,14.64,47.75,2015,0
51.02,4.55,61.38,30.04,4.29,-4.54,100.1,-8.44,0.0,2015,0
75.47,64.59,29.37,40.87,3.15,7.88,80.69,9.03,56.37,2012,0
63.3,48.87,10.32,18.52,4.54,20.98,33.12,23.25,-5.26,2011,0
54.92,36.67,32.28,45.86,2.64,-8.49,95.57,-6.99,35.92,2018,0
78.2,27.7,40.97,42.95,6.05,5.32,42.55,24.99,78.63,2013,0
75.02,44.91,53.15,-6.52,5.29,6.13,49.41,17.91,24.12,2015,0
79.12,48.12,54.65,14.55,3.49,2.24,69.57,3.97,16.12,2018,0
31.4,-22.43,49.4,-8.09,3.63,12.86,27.52,21.74,3.37,2011,0
29.79,-14.63,55.12,-7.64,3.61,7.35,44.16,9.21,1.17,2012,0
34.93,3.41,52.81,-0.31,4.3,7.28,46.05,9.57,17.59,2014,0
40.56,30.88,7.01,3.18,4.25,7.02,52.02,4.51,-13.31,2015,0
58.4,40.99,24.97,7.31,4.19,10.64,35.9,12.7,-3.97,2017,0
49.63,30.75,35.82,22.16,14.15,0.84,77.7,1.74,78.96,2016,0
55.86,45.33,39.02,8.18,1.96,2.21,64.29,1.12,31.1,2016,0
82.75,15.17,65.58,6.15,3.49,1.58,63.87,10.47,17.01,2011,0
85.68,18.51,68.82,6.91,3.46,0.97,66.76,5.94,9.59,2012,0
89.67,18.1,75.56,18.47,3.02,-1.3,86.42,-7.32,11.5,2014,0
67.53,44.34,29.3,22.88,5.74,11.48,66.22,10.77,45.86,2012,0
45.58,25.21,11.25,18.13,4.55,3.81,71.6,2.4,-30.63,2013,0
52.19,34.51,29.46,0.75,1.72,8.17,50.29,6.54,6.79,2011,0
40.58,29.92,34.19,-2.84,3.36,10.52,51.98,4.49,0.0,2013,0
36.78,-32.41,77.79,0.05,4.26,5.51,39.79,16.07,-7.79,2016,0
32.94,-17.44,50.58,-4.37,4.36,-7.51,81.42,-24.08,-3.49,2016,0
35.63,23.53,1.93,2.71,17.74,10.92,46.03,15.31,-12.41,2012,0
62.1,-5.96,49.93,-16.28,4.65,-1.18,94.24,-10.89,-44.07,2011,0
61.35,60.43,6.85,107.14,5.19,22.97,42.02,3.5,33.59,2016,0
46.12,32.62,25.4,16.25,10.62,3.08,62.28,3.61,21.99,2014,0
72.72,33.13,33.9,32.86,5.57,8.55,55.43,16.33,78.31,2013,0
69.26,28.01,32.74,19.08,7.12,6.84,47.19,15.7,35.4,2018,0
42.58,14.69,49.26,2.5,3.64,7.87,49.64,6.68,11.11,2018,0
48.61,22.85,48.56,0.58,3.87,8.64,54.28,14.27,38.87,2011,0
38.16,-9.24,22.64,-1.56,6.64,0.93,32.14,-11.06,0.32,2013,0
65.13,45.27,19.86,18.92,6.67,-9.51,117.74,-10.55,74.22,2013,0
61.53,45.53,26.67,13.49,6.55,2.36,79.69,3.99,66.74,2011,0
28.33,-9.23,31.72,7.52,10.33,1.48,49.96,6.19,-1.92,2012,0
84.71,49.79,20.64,6.43,6.68,3.37,56.94,8.93,40.7,2017,0
46.21,35.75,19.16,2.48,25.38,9.4,44.06,6.09,-5.54,2015,0
28.01,-15.56,73.86,20.03,6.35,3.88,29.94,11.99,13.67,2011,0
22.61,-13.41,75.28,3.63,6.38,3.26,29.04,9.21,5.74,2012,0
58.5,40.53,3.69,-46.95,4.38,19.18,17.17,19.91,-16.88,2012,0
55.1,32.2,30.92,3.28,4.13,5.19,46.49,14.56,19.33,2014,0
64.74,23.26,47.85,13.71,4.46,4.1,50.77,9.9,27.13,2017,0
10.92,-5.91,21.43,3.19,11.04,8.07,70.98,3.56,0.0,2017,0
10.92,-8.22,0.0,4.76,12.78,-4.82,68.01,-2.45,0.0,2018,0
25.39,-4.66,23.79,16.42,10.96,-7.97,115.2,-9.85,22.83,2011,0
16.62,10.73,26.05,-0.85,22.17,7.28,55.68,5.12,-12.48,2017,0
60.16,52.77,17.87,18.21,6.9,22.14,29.24,19.55,0.0,2018,0
49.95,35.62,68.27,30.27,3.52,-2.31,80.37,-1.22,-4.72,2014,0
54.56,16.51,50.76,16.96,5.37,3.16,60.4,5.22,33.0,2011,0
58.46,29.16,37.89,21.71,6.7,4.47,53.35,8.51,23.81,2014,0
26.29,15.21,0.0,10.53,4.17,14.91,59.91,6.3,-17.73,2011,0
57.62,29.97,21.42,14.73,6.29,3.87,67.98,6.07,28.48,2018,0
87.51,34.41,0.4,10.45,5.59,11.26,23.82,11.91,0.0,2011,0
69.7,31.24,1.06,2.56,8.97,5.97,35.13,6.04,-29.81,2018,0
58.23,38.9,34.9,3.63,6.29,1.42,55.12,1.58,76.18,2017,0
59.08,35.96,34.36,5.63,7.76,0.32,57.55,0.43,36.43,2018,0
21.41,-24.79,26.14,12.12,4.88,-11.08,107.58,-8.85,0.0,2012,0
17.35,-15.99,45.92,4.48,3.64,17.35,42.07,13.69,-0.36,2016,0
66.65,31.54,38.61,8.38,4.35,5.22,53.94,12.14,10.55,2017,0
55.33,36.51,44.68,3.02,7.09,6.65,53.97,6.73,6.97,2011,0
51.38,36.27,23.51,7.7,6.98,12.74,41.57,9.2,13.13,2014,0
54.2,44.94,21.56,5.51,7.05,17.98,32.48,12.87,1.68,2015,0
47.59,-10.62,67.44,1.95,6.84,-3.14,81.75,-10.13,-6.88,2016,0
62.64,37.0,39.86,36.92,3.59,1.59,57.39,1.73,42.14,2017,0
37.69,8.1,52.15,9.37,3.97,3.19,55.89,4.62,10.05,2013,0
66.35,39.44,18.51,5.04,4.39,6.77,31.63,16.43,8.56,2012,0
71.05,41.9,24.17,16.29,4.21,9.46,31.8,14.97,26.57,2016,0
75.13,44.64,38.39,14.12,3.62,4.15,48.18,6.01,41.65,2017,0
62.41,26.29,40.25,29.67,4.71,6.11,55.38,16.08,58.14,2017,0
61.56,29.62,48.88,23.86,4.67,7.19,47.92,20.01,30.68,2018,0
42.67,21.15,46.88,1.29,7.87,4.59,47.61,7.41,29.5,2011,0
48.53,30.72,41.25,1.54,8.66,3.68,48.55,6.04,15.99,2014,0
39.08,27.33,32.06,-2.46,8.88,4.41,48.28,4.69,1.88,2017,0
64.62,41.85,52.44,26.89,4.82,3.21,27.59,3.47,20.51,2011,0
37.32,29.93,40.83,2.53,3.83,-1.96,48.74,-0.94,14.86,2017,0
65.93,46.01,31.59,9.05,13.27,12.41,45.45,14.11,55.99,2015,0
61.34,41.81,28.69,7.91,9.76,1.26,72.56,1.9,52.91,2017,0
