회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장일,상장폐지일,소속코드,산업명
(주)미래SCI,28040,Dec-12,0,0,0,0,0,0,0,0,-14.79,-75.15,-14.84,-34.49,-226.43,-2015,2658.29,0.46,3.01,3.07,9.75,4.48,0.01,0,0.57,0.56,0.54,28.26,12.92,81.48,15.38,23.73,22.92,7.22,0.13,176.46,-50.26,556.59,-3.69,558.43,14.95,15.23,-6811.63,-14.85,-18.13,-93.3,-32.37,0,0,0,1996-07-27,2021-04-13,4,    일반 목적용 기계 제조업
(주)미래SCI,28040,Dec-13,-1.02,-0.88,0.15,-7.69,-6.39,112.73,0,-46.48,-23.34,-48.58,-11.81,-11.99,-50.1,-618,1143.09,0.25,1.03,1.71,5.51,2.48,0.01,0,0.33,0.3,0.29,48.09,7.59,147.38,24.73,14.76,25.64,7.82,0.12,174.79,-40.43,205.49,-3.28,262.9,13.94,32.73,1030.36,2.27,2.77,16.37,9.15,364.46,-264.46,-531.05,1996-07-27,2021-04-13,4,    일반 목적용 기계 제조업
(주)미래SCI,28040,Dec-14,-12.76,-13.65,-12.39,-15.08,-15.09,-24.36,0,-31.7,-30.49,-141.56,-11.65,-25.63,-83.46,-515,341.27,0.18,0.59,1.31,4.31,1.89,0,0,0.26,0.22,0.21,55.85,6.54,192.92,23.13,15.78,22.68,6.92,0.35,60.1,-46.26,252.35,-3.12,304.52,13.57,28.38,-5589.47,-14.12,-17.48,-116.26,-72.66,0,0,0,1996-07-27,2021-04-13,4,    일반 목적용 기계 제조업
(주)미래SCI,28040,Dec-15,10.73,-14.58,-14.7,172.65,-24.53,6.51,0,88.69,14.47,-29.61,1.24,-10.3,-37.04,-341,401.84,0.35,1.25,1.45,2.15,4.43,0.01,0.52,0.4,0.49,0.46,154.16,2.37,82.38,74.62,4.89,49.99,40.38,0,152.57,-33.44,266.3,0.37,243.88,33.42,27.3,1764.74,4.02,6.43,50.49,12.16,107.32,-7.32,-243.58,1996-07-27,2021-04-13,4,    일반 목적용 기계 제조업
(주)미래SCI,28040,Dec-16,3.59,-90.4,-73.43,157.04,-87.64,36.88,0,13.73,27.03,-44.17,4.72,-16.34,-51.43,-430,980.01,0.37,1.16,0.63,0.67,10.43,0.01,0.12,0.3,1.1,0.89,233.39,1.56,35,103.56,3.52,137.59,136.32,0.09,177.92,22.66,177.23,1.86,47.33,82.93,36.07,1549.92,3.41,58.81,42922.1,9.39,63.65,36.35,-470.45,1996-07-27,2021-04-13,4,    일반 목적용 기계 제조업
(주)미래SCI,28040,Dec-17,15.27,6.59,68.36,4.34,778.82,11.73,0,15.75,2.25,-34.88,-8.18,-13.63,-38.43,-354,1037.54,0.39,1.1,0.5,0.52,11.21,0.01,0.1,0.28,7.02,1.84,165.86,2.2,32.57,100.48,3.63,116.57,107.49,0.88,176.27,10.67,186.03,-2.2,71.33,75.06,34.96,-3147.67,-6.01,-112.05,-87168.88,-16.47,0,0,0,1996-07-27,2021-04-13,4,    기타 비금속 광물제품 제조업
(주)미래SCI,28040,Dec-18,26.36,7.69,3.4,33.99,-31.65,28,0,201.4,2.33,-37.06,-7.1,-36.02,-102.28,-791,1986.18,0.97,2.76,1.25,1.33,22.34,0.02,0.06,0.7,19.74,4.34,59.23,6.16,16.33,29.13,12.53,131.56,126.33,0.97,152.09,19.09,182.36,-1.59,57.62,79.59,35.42,-16422.6,-24.82,-551.53,-1364003.26,-28.51,0,0,0,1996-07-27,2021-04-13,4,    기타 비금속 광물제품 제조업
(주)미래SCI,28040,Dec-19,-17.77,-4.75,41.26,-32.9,-49.28,-27.8,0,-74.31,5.98,-139.33,-9.52,-34.2,-102.2,-582,424.42,0.25,0.73,0.34,0.35,9.38,0.01,0,0.18,5.01,0.91,141.14,2.59,38.9,30.14,12.11,100.57,97.55,0.97,75.22,0.37,221.59,-1.83,112.73,64.95,31.1,-15288.76,-28.1,-539.47,-1906329.02,-103.32,0,0,0,1996-07-27,2021-04-13,4,    기타 비금속 광물제품 제조업
(주)아이엠텍,226350,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-03,2021-06-11,4,    전자부품 제조업
(주)아이엠텍,226350,Dec-17,0,0,0,0,0,0,0,0,5.37,-30.38,-13.69,-44.04,-92.73,-1216,3618.92,1.45,3.05,2.8,4.02,9.19,0.04,0.09,1.61,5.05,3.01,39.82,9.17,39.7,51.09,7.14,136.07,94.71,5.61,237.14,13.75,110.56,-28.34,101.37,51.86,47.49,-6019.92,-12.65,-49.19,-79.84,-8.72,0,0,0,2016-02-03,2021-06-11,4,    전자부품 제조업
