[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
69.27,1.0,0.11,19.18,24.06,63.94,-5.3,-5.29,-26.82,2017,0
47.9,0.67,0.14,26.03,5.47,82.54,-1.32,0.32,11.77,2018,0
51.55,1.48,44.99,31.33,4.8,1.51,3.37,4.63,34.91,2011,0
53.9,1.35,46.57,22.99,4.57,5.56,5.92,7.05,43.67,2013,0
52.87,1.28,47.35,25.92,4.76,11.7,6.37,6.93,44.25,2014,0
34.42,1.37,46.32,29.37,4.92,50.48,5.55,5.51,43.5,2015,0
49.99,1.01,48.47,31.16,9.45,8.65,9.08,8.53,36.97,2014,0
48.91,1.18,35.9,105.01,6.83,-2.16,-2.73,-6.44,15.13,2016,0
49.08,0.84,4.17,24.15,6.36,94.61,19.49,14.73,68.55,2012,0
50.7,1.46,36.7,46.17,5.12,90.8,12.95,27.09,71.34,2014,0
48.11,1.82,25.39,45.24,7.69,88.07,10.71,23.0,73.52,2017,0
54.12,1.26,8.73,29.21,5.4,40.69,8.36,9.25,44.85,2011,0
58.46,1.01,25.19,39.86,3.46,-0.7,5.78,6.35,50.68,2017,0
37.6,1.14,60.48,126.06,5.84,16.27,6.16,11.96,56.58,2016,0
59.89,0.83,1.59,30.69,59.98,24.2,14.84,12.18,40.79,2011,0
43.16,1.0,1.19,27.65,59.98,62.25,10.02,7.53,36.64,2013,0
41.97,1.01,5.13,22.92,36.26,18.03,14.36,8.98,46.51,2015,0
35.82,1.04,13.37,37.28,28.84,29.37,9.27,6.63,33.73,2016,0
30.34,1.25,13.94,28.85,15.12,10.75,12.62,10.76,40.22,2017,0
37.13,1.18,5.11,32.81,8.98,-0.69,10.98,8.23,41.97,2018,0
72.56,1.27,31.37,25.78,3.56,57.02,5.45,8.19,33.05,2011,0
78.21,0.48,25.62,43.42,1.24,2.62,10.41,5.89,49.12,2015,0
75.01,0.44,25.34,45.97,1.37,22.71,9.72,5.14,47.43,2016,0
38.99,0.84,23.39,107.51,3.57,-4.81,-2.22,-2.88,14.1,2016,0
88.29,0.64,30.88,7.83,5.89,106.51,13.54,8.93,77.86,2017,0
51.02,1.54,23.79,43.42,3.74,6.66,3.48,4.9,45.26,2011,0
59.76,0.95,10.06,19.5,55.2,57.99,2.41,2.37,48.35,2015,0
76.68,1.54,42.06,101.03,4.47,14.34,0.26,0.82,20.91,2014,0
48.94,0.38,36.85,13.99,4.3,50.55,-25.69,-7.05,0.0,2015,0
37.04,1.93,10.65,15.6,8.17,30.63,14.98,17.32,53.97,2013,0
49.76,0.68,0.98,18.68,4.61,98.88,18.38,13.14,28.91,2017,0
48.29,1.9,8.85,18.25,11.34,35.66,10.16,5.03,60.18,2013,0
66.15,0.8,25.96,35.13,4.15,52.41,7.04,6.13,45.42,2017,0
64.96,0.49,18.7,4.23,6.88,89.48,23.4,9.42,68.93,2011,0
34.79,1.09,3.25,24.62,7.14,79.84,28.32,19.97,69.57,2011,0
31.98,1.09,7.68,37.09,7.74,86.62,10.98,10.74,54.78,2014,0
44.6,1.69,25.25,101.29,8.05,-4.53,0.74,2.65,25.95,2015,0
69.32,1.11,38.96,25.06,9.15,55.16,8.65,10.89,0.0,2011,0
